Date and Time:                Fri Sep 9 18:56:16.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              276
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



254.33386	306
254.35513	306
254.37642	303
254.39769	306
254.41898	313
254.44025	302
254.46153	303
254.4828	300
254.50407	307
254.52536	305
254.54663	312
254.56792	301
254.58919	302
254.61046	304
254.63174	308
254.65302	302
254.67429	303
254.69557	304
254.71684	302
254.73811	306
254.75938	300
254.78067	302
254.80194	302
254.82321	301
254.84448	304
254.86575	301
254.88704	312
254.90831	309
254.92958	303
254.95085	305
254.97212	306
254.99339	306
255.01468	299
255.03595	303
255.05722	302
255.07849	303
255.09976	302
255.12103	308
255.1423	307
255.16357	307
255.18484	305
255.20612	308
255.22739	301
255.24866	306
255.26993	305
255.2912	302
255.31247	304
255.33374	303
255.35501	303
255.37628	310
255.39755	307
255.41882	306
255.44008	309
255.46135	302
255.48262	302
255.50389	305
255.52516	301
255.54643	301
255.56769	304
255.58896	303
255.61023	303
255.6315	308
255.65277	305
255.67403	300
255.6953	302
255.71657	305
255.73784	307
255.75909	299
255.78036	297
255.80164	303
255.82289	305
255.84416	302
255.86543	305
255.88669	298
255.90796	302
255.92921	304
255.95049	304
255.97176	301
255.99301	303
256.01428	301
256.03555	301
256.05679	303
256.07806	302
256.09933	306
256.12061	305
256.14185	299
256.16312	302
256.18439	307
256.20566	301
256.2269	304
256.24817	303
256.26944	302
256.29068	303
256.31195	305
256.33322	306
256.35449	305
256.37573	302
256.397	301
256.41827	306
256.43951	302
256.46078	297
256.48206	303
256.5033	303
256.52457	301
256.54581	301
256.56708	303
256.58835	305
256.60959	297
256.63086	305
256.65213	307
256.67337	307
256.69464	303
256.71588	304
256.73715	303
256.75839	305
256.77966	301
256.80093	301
256.82217	304
256.84344	299
256.86469	305
256.88596	306
256.9072	307
256.92847	299
256.94971	302
256.97098	303
256.99222	306
257.01349	301
257.03473	303
257.056	303
257.07724	305
257.09851	312
257.11975	309
257.14102	294
