Date and Time:                Fri Sep 9 18:55:17.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              276
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



254.33386	3856
254.35513	3712
254.37642	3670
254.39769	3694
254.41898	3748
254.44025	3770
254.46153	3742
254.4828	3751
254.50407	3739
254.52536	3745
254.54663	3737
254.56792	3714
254.58919	3716
254.61046	3741
254.63174	3787
254.65302	3789
254.67429	3760
254.69557	3803
254.71684	3801
254.73811	3792
254.75938	3774
254.78067	3796
254.80194	3806
254.82321	3799
254.84448	3795
254.86575	3800
254.88704	3789
254.90831	3772
254.92958	3777
254.95085	3804
254.97212	3824
254.99339	3876
255.01468	3875
255.03595	3842
255.05722	3826
255.07849	3832
255.09976	3845
255.12103	3903
255.1423	3920
255.16357	3937
255.18484	3944
255.20612	3963
255.22739	3933
255.24866	3945
255.26993	3939
255.2912	3974
255.31247	3978
255.33374	3974
255.35501	3969
255.37628	3932
255.39755	3957
255.41882	3983
255.44008	3963
255.46135	3968
255.48262	3984
255.50389	3971
255.52516	3979
255.54643	3966
255.56769	4010
255.58896	4000
255.61023	4046
255.6315	4045
255.65277	4051
255.67403	4057
255.6953	4079
255.71657	4089
255.73784	4105
255.75909	4063
255.78036	4087
255.80164	4058
255.82289	4075
255.84416	4068
255.86543	4033
255.88669	4031
255.90796	4013
255.92921	4037
255.95049	4042
255.97176	4062
255.99301	4047
256.01428	4036
256.03555	4029
256.05679	4060
256.07806	4076
256.09933	4086
256.12061	4128
256.14185	4123
256.16312	4120
256.18439	4111
256.20566	4104
256.2269	4090
256.24817	4113
256.26944	4113
256.29068	4136
256.31195	4144
256.33322	4139
256.35449	4152
256.37573	4144
256.397	4133
256.41827	4183
256.43951	4176
256.46078	4188
256.48206	4206
256.5033	4192
256.52457	4200
256.54581	4232
256.56708	4240
256.58835	4281
256.60959	4332
256.63086	4299
256.65213	4297
256.67337	4350
256.69464	4329
256.71588	4318
256.73715	4340
256.75839	4358
256.77966	4350
256.80093	4373
