Date and Time:                Fri Sep 9 16:27:09.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              312
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



290.52313	3388
290.54425	3240
290.56534	3227
290.58646	3262
290.60754	3284
290.62863	3320
290.64975	3282
290.67084	3289
290.69193	3286
290.71304	3293
290.73413	3294
290.75522	3222
290.77634	3251
290.79742	3261
290.81851	3278
290.83963	3278
290.86072	3286
290.88181	3299
290.90292	3331
290.92401	3304
290.9451	3295
290.96619	3312
290.9873	3325
291.00839	3324
291.02948	3315
291.05057	3276
291.07169	3283
291.09277	3246
291.11386	3266
291.13495	3274
291.15607	3319
291.17715	3347
291.19824	3308
291.21933	3300
291.24042	3263
291.26154	3281
291.28262	3314
291.30371	3337
291.3248	3374
291.34589	3365
291.36697	3363
291.38806	3326
291.40918	3346
291.43027	3319
291.45135	3356
291.47244	3353
291.49353	3370
291.51462	3347
291.53571	3350
291.55679	3348
291.57791	3305
291.599	3343
291.62009	3333
291.64117	3359
291.66226	3362
291.68335	3348
291.70444	3322
291.72552	3334
291.74661	3333
291.7677	3363
291.78879	3371
291.80988	3373
291.83096	3386
291.85205	3359
291.87314	3343
291.89423	3332
291.91531	3355
291.9364	3330
291.95749	3306
291.97858	3292
291.99966	3279
292.02075	3289
292.04184	3290
292.06293	3295
292.08401	3289
292.1051	3303
292.12619	3285
292.14725	3270
292.16833	3275
292.18942	3263
292.21051	3307
292.2316	3304
292.25269	3319
292.27377	3345
292.29486	3333
292.31595	3359
292.33701	3367
292.35809	3324
292.37918	3317
292.40027	3308
292.42136	3319
292.44244	3357
292.4635	3349
292.48459	3319
292.50568	3335
292.52676	3358
292.54785	3327
292.56891	3360
292.59	3383
292.61108	3386
292.63217	3387
292.65326	3362
292.67432	3353
292.6954	3398
292.71649	3421
292.73758	3438
292.75864	3454
292.77972	3498
292.80081	3507
292.82187	3538
292.84296	3515
292.86404	3539
292.8851	3540
292.90619	3562
292.92728	3594
292.94836	3588
292.96942	3585
