Date and Time:                Fri Sep 9 16:46:31.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.27
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              347
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



325.71838	303
325.73929	302
325.76022	307
325.78113	297
325.80203	304
325.82297	301
325.84387	303
325.86478	300
325.88571	299
325.90662	297
325.92752	298
325.94846	302
325.96936	304
325.99026	305
326.01117	303
326.0321	296
326.05301	299
326.07391	299
326.09482	302
326.11575	304
326.13666	300
326.15756	302
326.17847	310
326.19937	303
326.22031	303
326.24121	304
326.26212	306
326.28302	299
326.30392	301
326.32486	305
326.34576	293
326.36667	305
326.38757	302
326.40848	299
326.42938	299
326.45029	295
326.47122	302
326.49213	303
326.51303	296
326.53394	300
326.55484	306
326.57574	299
326.59665	297
326.61755	296
326.63846	297
326.65936	299
326.68027	301
326.70117	301
326.72208	302
326.74301	301
326.76392	305
326.78482	297
326.80573	304
326.82663	310
326.84753	299
326.86844	303
326.88934	302
326.91025	296
326.93112	302
326.95203	303
326.97293	302
326.99384	298
327.01474	303
327.03564	301
327.05655	300
327.07745	296
327.09836	306
327.11926	304
327.14017	305
327.16107	299
327.18198	307
327.20285	301
327.22375	300
327.24466	305
327.26556	303
327.28647	301
327.30737	303
327.32828	303
327.34915	300
327.37006	299
327.39096	299
327.41187	303
327.43277	303
327.45367	302
327.47455	300
327.49545	300
327.51636	303
327.53726	296
327.55814	302
327.57904	302
327.59995	296
327.62085	302
327.64172	304
327.66263	296
327.68353	300
327.70444	304
327.72531	304
327.74622	298
327.76712	297
327.78799	304
327.8089	303
327.8298	297
327.85068	300
327.87158	296
327.89249	303
327.91336	301
327.93427	304
327.95517	307
327.97604	303
327.99695	306
328.01785	296
328.03873	301
328.05963	293
328.08051	306
328.10141	304
328.12231	303
328.14319	296
328.16409	302
328.18497	299
328.20587	296
328.22675	299
328.24765	298
328.26852	300
328.28943	297
328.31033	304
328.33121	299
328.35211	300
328.37299	305
328.39389	300
328.41476	305
328.43564	304
328.45654	299
328.47742	306
