Date and Time:                Fri Sep 9 16:43:55.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.27
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              347
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



325.71838	17952
325.73929	17125
325.76022	17042
325.78113	17064
325.80203	17261
325.82297	17337
325.84387	17206
325.86478	17079
325.88571	17050
325.90662	17011
325.92752	16845
325.94846	16724
325.96936	16631
325.99026	16671
326.01117	16745
326.0321	16658
326.05301	16609
326.07391	16607
326.09482	16582
326.11575	16347
326.13666	16280
326.15756	16273
326.17847	16190
326.19937	16106
326.22031	15900
326.24121	15836
326.26212	15742
326.28302	15584
326.30392	15538
326.32486	15595
326.34576	15680
326.36667	15708
326.38757	15733
326.40848	15533
326.42938	15380
326.45029	15334
326.47122	15364
326.49213	15414
326.51303	15602
326.53394	15553
326.55484	15497
326.57574	15402
326.59665	15411
326.61755	15404
326.63846	15366
326.65936	15448
326.68027	15425
326.70117	15374
326.72208	15302
326.74301	15230
326.76392	15249
326.78482	15245
326.80573	15271
326.82663	15216
326.84753	15281
326.86844	15228
326.88934	15171
326.91025	15226
326.93112	15317
326.95203	15385
326.97293	15512
326.99384	15540
327.01474	15670
327.03564	15668
327.05655	15631
327.07745	15689
327.09836	15714
327.11926	15787
327.14017	15767
327.16107	15803
327.18198	15832
327.20285	15870
327.22375	15731
327.24466	15739
327.26556	15898
327.28647	15920
327.30737	15980
327.32828	16040
327.34915	16150
327.37006	16114
327.39096	16229
327.41187	16293
327.43277	16462
327.45367	16566
327.47455	16796
327.49545	16849
327.51636	17014
327.53726	16909
327.55814	16940
327.57904	16996
327.59995	17037
327.62085	17242
327.64172	17354
327.66263	17392
327.68353	17379
327.70444	17422
327.72531	17440
327.74622	17591
327.76712	17765
327.78799	17924
327.8089	17967
327.8298	18052
327.85068	18051
327.87158	18044
327.89249	18218
327.91336	18354
327.93427	18525
327.95517	18637
327.97604	18627
327.99695	18646
328.01785	18773
328.03873	18888
328.05963	18918
328.08051	18915
328.10141	18882
328.12231	18850
