Date and Time:                Fri Sep 9 16:45:05.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.06
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              347
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



325.71838	21806
325.73929	20711
325.76022	20697
325.78113	20843
325.80203	21061
325.82297	21146
325.84387	21087
325.86478	20980
325.88571	20986
325.90662	20945
325.92752	20788
325.94846	20721
325.96936	20634
325.99026	20768
326.01117	20883
326.0321	20883
326.05301	20802
326.07391	20938
326.09482	20931
326.11575	20782
326.13666	20651
326.15756	20800
326.17847	20750
326.19937	20743
326.22031	20645
326.24121	20503
326.26212	20398
326.28302	20290
326.30392	20337
326.32486	20524
326.34576	20665
326.36667	20728
326.38757	20664
326.40848	20653
326.42938	20472
326.45029	20541
326.47122	20676
326.49213	20720
326.51303	20990
326.53394	21006
326.55484	20898
326.57574	20888
326.59665	20925
326.61755	20933
326.63846	20913
326.65936	21034
326.68027	21075
326.70117	20952
326.72208	20882
326.74301	20838
326.76392	20876
326.78482	20875
326.80573	20836
326.82663	20825
326.84753	20767
326.86844	20820
326.88934	20644
326.91025	20682
326.93112	20755
326.95203	20897
326.97293	20948
326.99384	21062
327.01474	21127
327.03564	20991
327.05655	20956
327.07745	21008
327.09836	20986
327.11926	20856
327.14017	20777
327.16107	20806
327.18198	20826
327.20285	20666
327.22375	20514
327.24466	20412
327.26556	20466
327.28647	20536
327.30737	20416
327.32828	20406
327.34915	20452
327.37006	20348
327.39096	20366
327.41187	20250
327.43277	20413
327.45367	20525
327.47455	20650
327.49545	20645
327.51636	20670
327.53726	20440
327.55814	20306
327.57904	20303
327.59995	20413
327.62085	20379
327.64172	20528
327.66263	20470
327.68353	20366
327.70444	20260
327.72531	20255
327.74622	20314
327.76712	20497
327.78799	20440
327.8089	20552
327.8298	20573
327.85068	20469
327.87158	20468
327.89249	20585
327.91336	20623
327.93427	20756
327.95517	20911
327.97604	20807
327.99695	20774
328.01785	20964
328.03873	21000
328.05963	21064
328.08051	21006
328.10141	20962
328.12231	20944
