Date and Time:                Fri Sep 9 17:13:15.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.16
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              384.5
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



363.44	21785
363.46072	20703
363.48141	20639
363.50214	20840
363.52283	21096
363.54355	21199
363.56424	21022
363.58496	20972
363.60565	20973
363.62634	20963
363.64706	20894
363.66776	20704
363.68848	20620
363.70917	20848
363.72986	20840
363.75058	20902
363.77127	20804
363.79199	20848
363.81268	20780
363.83337	20606
363.8541	20452
363.87479	20533
363.89548	20530
363.9162	20412
363.93689	20303
363.95758	20200
363.9783	20004
363.99899	19761
364.01968	19736
364.04037	19890
364.0611	19978
364.08179	19930
364.10248	19850
364.12317	19653
364.14389	19495
364.16458	19407
364.18527	19511
364.20596	19598
364.22668	19669
364.24738	19662
364.26807	19534
364.28876	19442
364.30945	19387
364.33017	19259
364.35086	19192
364.37155	19251
364.39224	19110
364.41293	19058
364.43362	18841
364.45435	18738
364.47504	18748
364.49573	18632
364.51642	18510
364.53711	18492
364.5578	18363
364.57849	18226
364.59918	18176
364.61987	18003
364.64056	18043
364.66129	18023
364.68198	18059
364.70267	18088
364.72336	18089
364.74405	17870
364.76474	17766
364.78543	17736
364.80612	17690
364.82681	17508
364.8475	17447
364.86819	17399
364.88889	17441
364.90958	17221
364.93027	17046
364.95096	16873
364.97165	16962
364.99234	16859
365.01303	16812
365.03369	16785
365.05438	16740
365.07507	16666
365.09576	16602
365.11646	16575
365.13715	16636
365.15784	16673
365.17853	16754
365.19922	16704
365.21991	16709
365.24057	16572
365.26126	16403
365.28195	16388
365.30264	16483
365.32333	16516
365.34402	16562
365.36469	16542
365.38538	16461
365.40607	16489
365.42676	16390
365.44745	16471
365.46811	16542
365.4888	16571
365.50949	16644
365.53018	16651
365.55084	16594
365.57153	16665
365.59222	16760
365.61292	16816
365.63358	16974
365.65427	16984
365.67496	17089
365.69565	16968
365.71631	17185
365.737	17242
365.75769	17375
365.77835	17349
365.79904	17314
365.81973	17322
