Date and Time:                Sat Nov 11 15:11:50.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.02
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.45877	7661
278.47992	7277
278.50107	7338
278.52225	7388
278.5434	7406
278.56454	7365
278.58572	7408
278.60687	7412
278.62802	7413
278.6492	7400
278.67035	7357
278.6915	7410
278.71268	7399
278.73383	7440
278.75497	7404
278.77615	7440
278.7973	7466
278.81845	7472
278.83963	7466
278.86078	7458
278.88193	7446
278.90308	7478
278.92426	7440
278.9454	7487
278.96655	7487
278.9877	7486
279.00888	7530
279.03003	7539
279.05118	7478
279.07233	7525
279.09348	7566
279.11465	7517
279.1358	7523
279.15695	7526
279.1781	7552
279.19925	7536
279.22043	7550
279.24158	7547
279.26273	7583
279.28387	7543
279.30502	7571
279.32617	7588
279.34732	7598
279.3685	7589
279.38965	7597
279.4108	7612
279.43195	7669
279.45309	7638
279.47424	7679
279.49539	7626
279.51654	7694
279.53769	7695
279.55884	7697
279.58002	7696
279.60117	7746
279.62231	7726
279.64346	7692
279.66461	7736
279.68576	7733
279.70691	7805
279.72806	7747
279.74921	7733
279.77036	7770
279.7915	7835
279.81265	7808
279.8338	7765
279.85495	7775
279.8761	7801
279.89725	7794
279.9184	7822
279.93954	7823
279.96069	7871
279.98184	7841
280.00299	7836
280.02411	7860
280.04526	7875
280.06641	7868
280.08755	7891
280.1087	7921
280.12985	7924
280.151	7905
280.17215	7882
280.1933	7934
280.21445	7974
280.23557	7932
280.25671	7919
280.27786	7933
280.29901	7923
280.32016	7971
280.34131	7946
280.36246	7929
280.38358	7966
280.40472	7957
280.42587	7962
280.44702	7975
280.46817	7949
280.48929	8013
280.51044	8000
280.53159	8000
280.55273	7976
280.57388	7967
280.595	7974
280.61615	7994
280.6373	8026
280.65845	8037
280.67957	8040
280.70071	8040
280.72186	8128
280.74301	8066
280.76413	8022
280.78528	8073
280.80643	8081
280.82755	8085
280.84869	8061
280.86984	8071
280.89096	8112
280.91211	8059
