Date and Time:                Sat Nov 11 15:23:38.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.45877	634
278.47992	622
278.50107	615
278.52225	611
278.5434	609
278.56454	601
278.58572	608
278.60687	605
278.62802	600
278.6492	597
278.67035	604
278.6915	628
278.71268	606
278.73383	608
278.75497	601
278.77615	612
278.7973	604
278.81845	597
278.83963	624
278.86078	597
278.88193	599
278.90308	598
278.92426	612
278.9454	589
278.96655	594
278.9877	609
279.00888	602
279.03003	601
279.05118	591
279.07233	582
279.09348	578
279.11465	591
279.1358	597
279.15695	591
279.1781	591
279.19925	605
279.22043	602
279.24158	607
279.26273	605
279.28387	614
279.30502	590
279.32617	604
279.34732	581
279.3685	580
279.38965	649
279.4108	591
279.43195	592
279.45309	573
279.47424	601
279.49539	591
279.51654	591
279.53769	598
279.55884	582
279.58002	608
279.60117	600
279.62231	601
279.64346	585
279.66461	622
279.68576	600
279.70691	581
279.72806	596
279.74921	578
279.77036	624
279.7915	587
279.81265	582
279.8338	574
279.85495	600
279.8761	600
279.89725	617
279.9184	588
279.93954	577
279.96069	589
279.98184	617
280.00299	579
280.02411	594
280.04526	599
280.06641	592
280.08755	572
280.1087	591
280.12985	581
280.151	579
280.17215	587
280.1933	580
280.21445	575
280.23557	574
280.25671	581
280.27786	579
280.29901	590
280.32016	570
280.34131	589
280.36246	584
280.38358	575
280.40472	591
280.42587	579
280.44702	561
280.46817	568
280.48929	581
280.51044	584
280.53159	567
280.55273	562
280.57388	558
280.595	562
280.61615	564
280.6373	579
280.65845	556
280.67957	563
280.70071	561
280.72186	574
280.74301	581
280.76413	610
280.78528	557
280.80643	568
280.82755	566
280.84869	570
280.86984	572
280.89096	571
280.91211	560
280.93326	573
280.95438	575
280.97552	583
280.99667	550
281.01779	554
281.03894	562
281.06009	554
281.08121	561
281.10236	584
281.12347	571
281.14462	556
281.16577	556
281.18689	586
281.20804	562
281.22916	559
281.25031	551
281.27145	559
