Date and Time:                Sat Nov 11 15:13:17.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.45877	2233
278.47992	2116
278.50107	2117
278.52225	2120
278.5434	2153
278.56454	2129
278.58572	2127
278.60687	2136
278.62802	2104
278.6492	2119
278.67035	2128
278.6915	2157
278.71268	2112
278.73383	2115
278.75497	2119
278.77615	2110
278.7973	2108
278.81845	2095
278.83963	2148
278.86078	2103
278.88193	2092
278.90308	2091
278.92426	2126
278.9454	2127
278.96655	2101
278.9877	2096
279.00888	2112
279.03003	2080
279.05118	2082
279.07233	2082
279.09348	2063
279.11465	2062
279.1358	2080
279.15695	2082
279.1781	2082
279.19925	2082
279.22043	2091
279.24158	2063
279.26273	2100
279.28387	2093
279.30502	2068
279.32617	2076
279.34732	2076
279.3685	2065
279.38965	2123
279.4108	2064
279.43195	2067
279.45309	2026
279.47424	2077
279.49539	2045
279.51654	2076
279.53769	2053
279.55884	2060
279.58002	2083
279.60117	2058
279.62231	2078
279.64346	2065
279.66461	2087
279.68576	2074
279.70691	2044
279.72806	2064
279.74921	2046
279.77036	2139
279.7915	2061
279.81265	2042
279.8338	2055
279.85495	2072
279.8761	2062
279.89725	2091
279.9184	2053
279.93954	2055
279.96069	2082
279.98184	2080
280.00299	2056
280.02411	2079
280.04526	2079
280.06641	2069
280.08755	2060
280.1087	2084
280.12985	2081
280.151	2088
280.17215	2082
280.1933	2068
280.21445	2073
280.23557	2063
280.25671	2076
280.27786	2083
280.29901	2070
280.32016	2079
280.34131	2101
280.36246	2086
280.38358	2081
280.40472	2095
280.42587	2077
280.44702	2056
280.46817	2051
280.48929	2099
280.51044	2080
280.53159	2060
280.55273	2056
280.57388	2067
280.595	2075
280.61615	2066
280.6373	2074
280.65845	2044
280.67957	2061
280.70071	2074
280.72186	2070
280.74301	2084
280.76413	2090
280.78528	2058
280.80643	2083
280.82755	2062
280.84869	2067
280.86984	2074
280.89096	2076
280.91211	2056
