Date and Time:                Tue Apr 26 11:52:38.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              370
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



348.85278	315
348.87357	312
348.89435	311
348.91513	310
348.93594	313
348.95673	306
348.97751	316
348.99829	313
349.01907	309
349.03986	315
349.06064	316
349.08145	318
349.10223	315
349.12302	326
349.1438	336
349.16458	328
349.18536	320
349.20615	313
349.22693	317
349.24771	316
349.26849	308
349.28928	317
349.31006	315
349.33084	314
349.35162	315
349.37241	309
349.39319	316
349.41397	316
349.43475	308
349.45554	312
349.47632	305
349.4971	311
349.51788	314
349.53867	314
349.55945	305
349.58023	312
349.60101	308
349.6218	323
349.64258	315
349.66336	317
349.68414	316
349.70493	309
349.72571	308
349.74649	307
349.76727	316
349.78802	309
349.80881	316
349.82959	309
349.85037	313
349.87115	314
349.89194	313
349.91272	314
349.93347	307
349.95425	318
349.97504	308
349.99582	309
350.0166	310
350.03735	316
350.05814	312
350.07892	317
350.0997	311
350.12048	311
350.14124	317
350.16202	310
350.1828	307
350.20358	315
350.22433	312
350.24512	308
350.2659	311
350.28665	312
350.30743	308
350.32822	311
350.349	314
350.36975	312
350.39053	318
350.41132	318
350.43207	313
350.45285	316
350.47363	311
350.49438	314
350.51517	312
350.53592	313
350.5567	314
350.57748	309
350.59824	305
350.61902	313
350.63977	307
350.66055	312
350.68134	310
350.70209	309
350.72287	305
350.74362	310
350.7644	312
350.78516	308
350.80594	312
350.82669	310
350.84747	311
350.86823	307
350.88901	311
350.90976	311
350.93054	313
350.95129	316
350.97208	328
350.99283	317
351.01361	310
351.03436	313
351.05515	312
351.0759	311
351.09668	312
351.11743	318
351.13821	304
351.15897	311
351.17972	307
351.2005	311
351.22125	307
351.24203	309
351.26279	315
351.28354	304
351.30432	307
351.32507	313
351.34583	313
351.36661	305
351.38736	308
351.40811	312
351.42889	314
351.44965	313
351.4704	311
351.49118	309
351.51193	312
351.53268	321
351.55344	309
351.57422	308
351.59497	311
351.61572	315
