# wl 	 %tx
 167.87467  2.31290
 167.89632  2.16267
 167.91797  2.26120
 167.93965  2.32404
 167.96130  2.24839
 167.98298  2.27052
 168.00463  2.14097
 168.02628  2.27500
 168.04796  2.24375
 168.06961  2.32129
 168.09127  2.29017
 168.11294  2.20556
 168.13460  2.19497
 168.15626  2.23583
 168.17793  2.25731
 168.19958  2.21453
 168.22124  2.24045
 168.24289  2.33933
 168.26457  2.25238
 168.28622  2.22083
 168.30787  2.23018
 168.32954  2.20522
 168.35120  2.20801
 168.37286  2.33999
 168.39452  2.36664
 168.41617  2.30613
 168.43783  2.20063
 168.45950  2.34852
 168.48115  2.25837
 168.50281  2.26309
 168.52447  2.21523
 168.54613  2.25024
 168.56778  2.33297
 168.58943  2.23446
 168.61110  2.27904
 168.63275  2.20350
 168.65442  2.25786
 168.67608  2.33167
 168.69773  2.25882
 168.71939  2.25538
 168.74104  2.28948
 168.76270  2.34814
 168.78436  2.28232
 168.80601  2.38411
 168.82767  2.20408
 168.84933  2.09470
 168.87098  2.25822
 168.89264  2.14487
 168.91429  2.23344
 168.93594  2.24846
 168.95761  2.25872
 168.97926  2.26356
 169.00091  2.41814
 169.02256  2.25019
 169.04421  2.27458
 169.06587  2.27421
 169.08752  2.27607
 169.10919  2.35663
 169.13084  2.19187
 169.15249  2.28750
 169.17415  2.43811
 169.19579  2.28411
 169.21744  2.17445
 169.23910  2.33746
 169.26076  2.23224
 169.28242  2.16924
 169.30406  2.14409
 169.32571  2.24859
 169.34737  2.29972
 169.36902  2.43620
 169.39067  2.33089
 169.41232  2.27820
 169.43397  2.36324
 169.45564  2.23062
 169.47727  2.26919
 169.49893  2.18784
 169.52059  2.24095
 169.54222  2.25519
 169.56389  2.29056
 169.58554  2.32821
 169.60718  2.42576
 169.62884  2.34853
 169.65049  2.25705
 169.67214  2.21634
 169.69379  2.19459
 169.71543  2.34781
 169.73709  2.22633
 169.75874  2.33863
 169.78039  2.35257
 169.80204  2.18046
 169.82368  2.35477
 169.84534  2.34852
 169.86698  2.30974
 169.88863  2.24719
 169.91028  2.34963
 169.93193  2.30769
 169.95357  2.31117
 169.97523  2.24621
 169.99686  2.23502
 170.01853  2.25992
 170.04016  2.35073
 170.06183  2.40163
 170.08346  2.31721
 170.10511  2.27167
 170.12676  2.33495
 170.14840  2.21875
 170.17006  2.28893
 170.19170  2.25806
 170.21333  2.21638
 170.23500  2.20851
 170.25663  2.40532
 170.27829  2.17560
 170.29993  2.32118
 170.32157  2.19212
 170.34323  2.25116
 170.36487  2.29411
 170.38651  2.26157
 170.40815  2.27364
 170.42981  2.37341
 170.45145  2.21912
 170.47309  2.23526
 170.49473  2.25159
 170.51639  2.26743
 170.53803  2.16082
 170.55967  2.23464
 170.58131  2.31507
 170.60295  2.21979
 170.62461  2.32422
 170.64625  2.26006
 170.66788  2.33184
 170.68953  2.19780
 170.71117  2.17256
 170.73281  2.27602
 170.75447  2.29154
 170.77610  2.24103
 170.79775  2.31624
 170.81939  2.27860
 170.84103  2.18327
 170.86267  2.34825
 170.88431  2.18933
 170.90595  2.32938
 170.92759  2.20178
 170.94924  2.20347
 170.97088  2.24064
 170.99251  2.16433
 171.01416  2.22869
 171.03580  2.13187
 171.05744  2.32036
 171.07908  2.30460
 171.10072  2.26218
 171.12236  2.20419
 171.14400  2.33277
 171.16564  2.32317
 171.18728  2.22256
 171.20892  2.19178
 171.23057  2.30115
 171.25221  2.22528
 171.27383  2.24424
 171.29547  2.23375
 171.31711  2.27494
 171.33876  2.29956
 171.36040  2.35653
 171.38203  2.23071
 171.40368  2.24699
 171.42530  2.29604
 171.44695  2.24282
 171.46858  2.25000
 171.49022  2.26518
 171.51187  2.41249
 171.53349  2.31656
 171.55514  2.25095
 171.57677  2.27321
 171.59841  2.26782
 171.62004  2.33151
 171.64168  2.24316
 171.66333  2.16331
