# wl 	 %tx
 240.72948  6.98446
 240.75082  7.13277
 240.77217  7.23374
 240.79353  7.27489
 240.81487  7.29459
 240.83621  7.23703
 240.85757  7.22300
 240.87891  7.27877
 240.90026  7.32328
 240.92160  7.31518
 240.94295  7.33846
 240.96431  7.40171
 240.98565  7.41592
 241.00699  7.33877
 241.02834  7.29261
 241.04969  7.20576
 241.07103  7.09202
 241.09238  6.98403
 241.11372  6.88001
 241.13507  6.82492
 241.15641  6.82571
 241.17776  6.79012
 241.19910  6.67738
 241.22044  6.67642
 241.24179  6.60163
 241.26313  6.60426
 241.28449  6.58380
 241.30582  6.47161
 241.32716  6.45973
 241.34851  6.42602
 241.36985  6.36760
 241.39119  6.31980
 241.41254  6.29085
 241.43388  6.25774
 241.45522  6.19709
 241.47657  6.19132
 241.49791  6.13512
 241.51925  6.06638
 241.54059  6.02695
 241.56194  6.05476
 241.58328  5.97851
 241.60462  5.94704
 241.62596  5.90363
 241.64729  5.84433
 241.66865  5.81909
 241.68999  5.76970
 241.71132  5.73236
 241.73266  5.69039
 241.75400  5.67412
 241.77534  5.64030
 241.79668  5.58531
 241.81803  5.55928
 241.83937  5.47238
 241.86071  5.47892
 241.88204  5.44448
 241.90338  5.41064
 241.92472  5.35699
 241.94606  5.30818
 241.96740  5.30060
 241.98874  5.29291
 242.01007  5.24722
 242.03141  5.18496
 242.05275  5.15210
 242.07409  5.14080
 242.09543  5.07981
 242.11676  5.08011
 242.13810  5.02841
 242.15944  5.01146
 242.18078  4.95357
 242.20210  4.93311
 242.22344  4.90150
 242.24478  4.85625
 242.26612  4.82839
 242.28745  4.78809
 242.30879  4.77386
 242.33013  4.73100
 242.35145  4.69599
 242.37279  4.66509
 242.39413  4.63448
 242.41546  4.58826
 242.43681  4.58749
 242.45813  4.52376
 242.47947  4.51480
 242.50081  4.48975
 242.52212  4.46017
 242.54347  4.42511
 242.56481  4.40179
 242.58614  4.37589
 242.60747  4.34892
 242.62881  4.30928
 242.65014  4.28985
 242.67147  4.25508
 242.69281  4.22360
 242.71412  4.20786
 242.73547  4.17691
 242.75680  4.15067
 242.77812  4.11573
 242.79947  4.08877
 242.82078  4.06456
 242.84212  4.04232
 242.86345  4.01127
 242.88478  3.99311
 242.90611  3.95656
 242.92745  3.93370
 242.94877  3.92057
 242.97011  3.89522
 242.99143  3.84690
 243.01277  3.83941
 243.03409  3.79692
 243.05543  3.78159
 243.07675  3.76040
 243.09809  3.73011
 243.11941  3.71806
 243.14074  3.68179
 243.16208  3.66653
 243.18340  3.63382
 243.20472  3.62093
 243.22605  3.59312
 243.24738  3.55291
 243.26871  3.53266
 243.29004  3.51405
 243.31136  3.49305
 243.33269  3.46909
 243.35401  3.44673
 243.37535  3.43099
 243.39668  3.40098
 243.41799  3.38141
 243.43932  3.36915
 243.46066  3.33933
 243.48198  3.31615
 243.50330  3.29213
 243.52462  3.27379
 243.54595  3.24199
 243.56729  3.23324
 243.58861  3.21337
 243.60993  3.18842
 243.63126  3.17021
 243.65258  3.13788
 243.67390  3.13875
 243.69523  3.11388
 243.71654  3.08453
 243.73787  3.07404
 243.75919  3.04044
 243.78051  3.02643
 243.80184  3.00513
 243.82316  2.98791
 243.84448  2.96862
 243.86581  2.94897
 243.88713  2.92408
 243.90845  2.90257
 243.92978  2.89277
 243.95110  2.88240
 243.97242  2.84626
 243.99375  2.83870
 244.01507  2.81718
 244.03639  2.80208
 244.05771  2.78041
 244.07904  2.76177
 244.10035  2.75179
 244.12166  2.72797
 244.14299  2.70899
 244.16432  2.69276
 244.18563  2.67474
 244.20696  2.65485
 244.22827  2.63411
 244.24959  2.62413
 244.27091  2.60843
 244.29224  2.59047
 244.31354  2.57824
 244.33487  2.55848
 244.35618  2.53618
 244.37750  2.52635
 244.39882  2.50973
 244.42014  2.48587
 244.44145  2.47920
 244.46278  2.46099
 244.48409  2.44539
 244.50540  2.42354
 244.52673  2.41381
 244.54805  2.40233
 244.56936  2.38804
 244.59069  2.36936
 244.61199  2.35685
 244.63331  2.33230
 244.65461  2.32656
 244.67594  2.31512
 244.69727  2.29543
 244.71857  2.27329
 244.73990  2.26474
 244.76121  2.25331
 244.78251  2.23902
 244.80383  2.22704
 244.82515  2.20974
 244.84646  2.19522
 244.86777  2.17392
 244.88910  2.16600
 244.91040  2.15186
 244.93171  2.13532
 244.95303  2.12784
 244.97434  2.11277
 244.99567  2.09934
 245.01697  2.08462
 245.03828  2.06964
 245.05961  2.06281
 245.08091  2.04815
 245.10222  2.03613
 245.12353  2.02286
 245.14485  1.99689
 245.16616  1.99734
 245.18747  1.98884
 245.20877  1.96952
 245.23010  1.95702
 245.25141  1.94121
 245.27271  1.93655
 245.29402  1.91317
 245.31532  1.91773
 245.33665  1.89956
 245.35796  1.88780
 245.37926  1.87266
 245.40057  1.86634
 245.42188  1.85269
 245.44318  1.84101
 245.46450  1.82736
 245.48581  1.82031
 245.50712  1.81120
 245.52844  1.79913
 245.54975  1.77996
 245.57105  1.77483
 245.59236  1.77114
 245.61367  1.75486
 245.63497  1.73850
 245.65628  1.73284
 245.67758  1.72171
 245.69890  1.71053
 245.72021  1.70136
 245.74149  1.69076
 245.76280  1.67716
 245.78411  1.65285
 245.80542  1.66410
 245.82673  1.65117
 245.84804  1.63932
 245.86934  1.63164
 245.89065  1.62186
 245.91196  1.61214
 245.93325  1.60045
 245.95456  1.59191
 245.97587  1.58831
 245.99717  1.57573
 246.01848  1.56130
 246.03977  1.55267
 246.06108  1.54005
 246.08239  1.54007
 246.10369  1.52457
 246.12499  1.51522
 246.14630  1.50496
 246.16760  1.50312
 246.18890  1.48785
 246.21021  1.48186
 246.23151  1.47588
 246.25281  1.46336
 246.27412  1.45607
