# wl 	 tx
283.6103516 0.0003206
283.6314565 0.0003155
283.6525915 0.0003193
283.6736964 0.0003190
283.6948314 0.0003196
283.7159263 0.0003192
283.7370612 0.0003184
283.7581662 0.0003171
283.7793011 0.0003163
283.8004061 0.0003154
283.8215410 0.0003132
283.8426460 0.0003156
283.8637709 0.0003185
283.8848759 0.0003180
283.9060108 0.0003177
283.9271158 0.0003160
283.9482507 0.0003131
283.9693557 0.0003128
283.9904806 0.0003112
284.0115856 0.0003102
284.0327205 0.0003126
284.0538255 0.0003127
284.0749304 0.0003156
284.0960654 0.0003144
284.1171603 0.0003119
284.1382953 0.0003112
284.1594003 0.0003101
284.1805052 0.0003137
284.2016402 0.0003114
284.2227451 0.0003120
284.2438801 0.0003142
284.2649751 0.0003122
284.2860800 0.0003115
284.3072150 0.0003075
284.3283199 0.0003076
284.3494249 0.0003093
284.3705599 0.0003087
284.3916548 0.0003113
284.4127598 0.0003103
284.4338948 0.0003119
284.4549997 0.0003088
284.4761047 0.0003086
284.4972397 0.0003037
284.5183346 0.0003067
284.5394396 0.0003067
284.5605746 0.0003097
284.5816795 0.0003086
284.6027845 0.0003102
284.6238795 0.0003069
284.6450145 0.0003065
284.6661194 0.0003037
284.6872244 0.0003046
284.7083294 0.0003037
284.7294644 0.0003059
284.7505593 0.0003068
284.7716643 0.0003086
284.7927693 0.0003078
284.8139043 0.0003052
284.8350093 0.0003047
284.8561142 0.0003032
284.8772092 0.0003052
284.8983142 0.0003055
284.9194492 0.0003064
284.9405542 0.0003055
284.9616591 0.0003097
284.9827641 0.0003059
285.0038591 0.0003036
285.0249641 0.0003025
285.0460991 0.0003029
285.0672041 0.0003036
285.0883091 0.0003045
285.1094141 0.0003059
285.1305091 0.0003069
285.1516140 0.0003072
285.1727190 0.0003051
285.1938240 0.0003042
285.2149290 0.0003031
285.2360540 0.0003044
285.2571590 0.0003044
285.2782640 0.0003055
285.2993690 0.0003083
285.3204740 0.0003061
285.3415790 0.0003048
285.3626740 0.0003028
285.3837790 0.0003012
285.4048840 0.0003032
285.4259890 0.0003040
285.4470940 0.0003062
285.4681890 0.0003079
285.4892940 0.0003058
285.5103990 0.0003064
285.5315040 0.0003028
285.5526090 0.0003030
285.5737140 0.0003021
285.5948090 0.0003019
285.6159140 0.0003043
285.6370190 0.0003070
285.6581240 0.0003076
285.6792290 0.0003061
285.7003240 0.0003026
285.7214291 0.0003043
285.7425341 0.0003033
285.7636391 0.0003027
285.7847441 0.0003037
285.8058491 0.0003046
285.8269141 0.0003060
285.8480191 0.0003049
285.8691242 0.0003052
285.8902292 0.0003034
285.9113342 0.0003022
285.9324292 0.0002992
285.9535342 0.0003041
285.9746392 0.0003042
285.9957442 0.0003068
286.0168193 0.0003072
286.0379143 0.0003060
286.0590193 0.0003047
286.0801243 0.0003028
286.1012294 0.0003028
286.1223344 0.0003028
286.1433994 0.0003056
286.1645044 0.0003047
286.1856095 0.0003095
286.2067145 0.0003066
286.2278195 0.0003073
286.2488845 0.0003043
286.2699896 0.0003032
286.2910946 0.0003034
286.3121996 0.0003072
286.3332747 0.0003081
286.3543697 0.0003095
286.3754747 0.0003097
286.3965797 0.0003073
286.4176548 0.0003075
286.4387598 0.0003014
286.4598648 0.0003034
286.4809599 0.0003057
286.5020349 0.0003069
286.5231400 0.0003074
286.5442450 0.0003080
286.5653101 0.0003113
286.5864151 0.0003075
286.6075201 0.0003030
286.6285952 0.0003033
286.6497002 0.0003053
286.6708052 0.0003062
286.6918703 0.0003091
286.7129753 0.0003100
286.7340804 0.0003110
286.7551554 0.0003110
286.7762505 0.0003098
286.7973255 0.0003063
286.8184306 0.0003050
286.8395356 0.0003083
286.8606107 0.0003091
286.8817057 0.0003108
286.9027808 0.0003133
286.9238858 0.0003115
286.9449908 0.0003093
286.9660659 0.0003088
286.9871610 0.0003072
287.0082360 0.0003070
287.0293411 0.0003108
287.0504161 0.0003110
287.0715212 0.0003124
287.0925862 0.0003149
287.1136913 0.0003125
287.1347664 0.0003107
287.1558714 0.0003083
287.1769465 0.0003085
287.1980415 0.0003106
287.2191166 0.0003127
287.2402216 0.0003127
287.2612967 0.0003159
287.2824018 0.0003163
287.3034668 0.0003148
287.3245719 0.0003081
287.3456470 0.0003087
287.3667520 0.0003123
287.3878171 0.0003144
287.4089222 0.0003141
287.4299972 0.0003161
287.4510723 0.0003188
287.4721774 0.0003170
287.4932425 0.0003138
287.5143475 0.0003101
287.5354226 0.0003117
287.5564977 0.0003135
287.5776027 0.0003149
287.5986678 0.0003153
287.6197729 0.0003167
287.6408480 0.0003175
287.6619230 0.0003146
287.6830181 0.0003143
287.7040932 0.0003107
287.7251683 0.0003132
287.7462733 0.0003154
287.7673484 0.0003159
287.7884135 0.0003190
287.8095186 0.0003201
287.8305937 0.0003212
287.8516687 0.0003158
287.8727338 0.0003153
287.8938389 0.0003130
287.9149140 0.0003152
287.9359891 0.0003162
287.9570942 0.0003180
287.9781593 0.0003209
287.9992343 0.0003218
288.0203094 0.0003188
288.0414145 0.0003159
288.0624796 0.0003132
288.0835547 0.0003168
288.1046298 0.0003176
288.1257049 0.0003192
288.1468100 0.0003214
288.1678751 0.0003229
288.1889502 0.0003217
288.2100253 0.0003196
288.2311004 0.0003157
288.2521954 0.0003157
288.2732705 0.0003187
288.2943456 0.0003200
288.3154207 0.0003213
288.3364958 0.0003241
288.3575609 0.0003251
288.3786360 0.0003235
288.3997411 0.0003196
288.4208162 0.0003164
288.4418813 0.0003169
288.4629564 0.0003188
288.4840315 0.0003206
288.5051066 0.0003236
288.5261718 0.0003267
288.5472469 0.0003234
288.5683220 0.0003216
288.5893971 0.0003196
288.6104722 0.0003154
288.6315673 0.0003192
288.6526424 0.0003223
288.6737175 0.0003231
