# wl 	 tx
203.2718536 0.0511278
203.2933560 0.0512411
203.3148385 0.0515317
203.3363309 0.0518010
203.3578333 0.0520071
203.3793258 0.0522128
203.4008082 0.0525574
203.4223106 0.0527187
203.4438031 0.0529455
203.4652855 0.0532327
203.4867880 0.0534411
203.5082804 0.0536404
203.5297628 0.0538538
203.5512653 0.0538412
203.5727577 0.0539004
203.5942401 0.0542475
203.6157426 0.0545095
203.6372250 0.0547066
203.6587175 0.0548171
203.6802199 0.0550125
203.7017024 0.0554225
203.7231948 0.0555607
203.7446773 0.0559271
203.7661697 0.0559877
203.7876521 0.0563291
203.8091546 0.0568004
203.8306370 0.0566483
203.8521295 0.0571499
203.8736119 0.0575036
203.8951144 0.0578404
203.9165968 0.0581458
203.9380893 0.0584041
203.9595717 0.0584197
203.9810742 0.0589169
204.0025566 0.0590742
204.0240491 0.0593707
204.0455316 0.0594860
204.0670140 0.0599576
204.0885165 0.0603040
204.1099989 0.0606675
204.1314814 0.0609217
204.1529738 0.0611311
204.1744563 0.0611865
204.1959488 0.0613416
204.2174312 0.0618768
204.2389137 0.0619050
204.2603962 0.0620878
204.2818986 0.0624422
204.3033811 0.0630312
204.3248635 0.0629445
204.3463560 0.0634022
204.3678385 0.0638449
204.3893209 0.0639821
204.4108034 0.0642842
204.4322859 0.0644748
204.4537883 0.0648205
204.4752708 0.0649672
204.4967533 0.0654762
204.5182358 0.0656266
204.5397082 0.0659768
204.5612107 0.0661327
204.5826932 0.0667064
204.6041756 0.0668274
204.6256581 0.0670097
204.6471406 0.0674619
204.6686231 0.0677740
204.6901056 0.0679701
204.7115880 0.0681588
204.7330705 0.0685105
204.7545530 0.0688008
204.7760355 0.0691408
204.7975180 0.0691703
204.8190004 0.0697695
204.8404729 0.0698864
204.8619754 0.0703991
204.8834379 0.0706371
204.9049204 0.0710944
204.9264029 0.0713513
204.9478853 0.0717676
204.9693678 0.0718955
204.9908503 0.0719774
205.0123328 0.0726721
205.0338153 0.0728436
205.0552978 0.0731712
205.0767803 0.0735484
205.0982628 0.0739174
205.1197452 0.0741131
205.1412277 0.0742360
205.1626902 0.0748412
205.1841727 0.0750066
205.2056552 0.0753641
205.2271377 0.0757209
205.2486202 0.0757771
205.2701027 0.0762513
205.2915752 0.0765592
205.3130577 0.0772753
205.3345402 0.0772749
205.3560227 0.0778232
205.3774852 0.0780859
205.3989677 0.0783243
205.4204502 0.0787180
205.4419327 0.0789587
205.4633952 0.0794190
205.4848777 0.0797833
205.5063602 0.0800636
205.5278327 0.0801182
205.5493152 0.0808327
205.5707977 0.0811914
205.5922603 0.0814968
205.6137428 0.0817593
205.6352053 0.0820824
205.6566878 0.0826635
205.6781703 0.0825572
205.6996428 0.0828868
205.7211253 0.0834384
205.7425878 0.0837793
205.7640703 0.0841048
205.7855429 0.0842838
205.8070254 0.0848625
205.8285079 0.0850171
205.8499704 0.0854171
205.8714529 0.0858435
205.8929154 0.0863029
205.9143880 0.0866947
205.9358705 0.0868851
205.9573330 0.0873624
205.9788155 0.0875881
206.0002880 0.0878531
206.0217706 0.0881305
206.0432331 0.0885195
206.0646956 0.0890600
206.0861781 0.0897167
206.1076507 0.0897097
206.1291332 0.0899289
206.1505957 0.0902884
206.1720683 0.0909238
206.1935508 0.0912739
206.2150133 0.0915553
206.2364858 0.0920267
206.2579684 0.0921923
206.2794309 0.0927072
206.3008934 0.0935052
206.3223660 0.0936764
206.3438485 0.0940353
206.3653110 0.0945229
206.3867836 0.0949329
206.4082461 0.0953244
206.4297286 0.0956677
206.4512012 0.0960738
206.4726637 0.0967271
206.4941263 0.0968307
206.5155988 0.0972566
206.5370813 0.0978877
206.5585439 0.0984457
206.5800164 0.0986637
206.6014790 0.0993169
206.6229515 0.0996076
206.6444140 0.0997955
206.6658766 0.1002772
206.6873491 0.1005993
206.7088117 0.1014550
206.7302942 0.1016165
206.7517668 0.1020458
206.7732293 0.1023585
206.7947019 0.1030475
206.8161644 0.1030989
206.8376270 0.1039606
206.8590995 0.1040634
206.8805621 0.1047114
206.9020346 0.1051949
206.9234972 0.1057947
206.9449697 0.1057955
206.9664223 0.1063343
206.9878849 0.1067335
207.0093474 0.1075041
207.0308200 0.1075002
207.0522825 0.1079602
207.0737551 0.1083315
207.0952176 0.1087527
207.1166902 0.1091580
207.1381528 0.1102046
207.1596053 0.1099585
207.1810679 0.1105159
207.2025404 0.1110632
207.2240030 0.1113761
207.2454756 0.1119394
207.2669381 0.1122755
207.2883907 0.1125328
207.3098533 0.1129743
207.3313258 0.1135242
207.3527884 0.1138673
207.3742410 0.1144345
207.3957135 0.1151558
207.4171761 0.1151219
207.4386287 0.1154617
207.4600913 0.1159466
207.4815638 0.1164479
207.5030164 0.1170313
207.5244790 0.1174456
207.5459515 0.1180831
207.5674041 0.1182264
207.5888667 0.1186147
207.6103293 0.1189917
207.6317819 0.1194991
207.6532544 0.1197454
207.6747070 0.1203221
207.6961696 0.1210474
207.7176422 0.1213569
207.7390948 0.1220166
207.7605573 0.1219632
207.7820099 0.1224389
207.8034725 0.1227072
207.8249251 0.1231466
207.8463977 0.1235997
207.8678503 0.1246215
207.8893128 0.1246254
207.9107654 0.1252588
207.9322180 0.1255958
207.9536806 0.1264308
207.9751332 0.1264959
207.9966058 0.1267579
208.0180584 0.1274530
208.0395210 0.1276147
208.0609736 0.1281243
208.0824262 0.1285133
208.1038888 0.1292310
208.1253413 0.1291530
208.1467939 0.1298108
208.1682665 0.1303171
208.1897091 0.1306455
208.2111617 0.1312410
208.2326343 0.1318668
208.2540869 0.1321285
208.2755395 0.1326419
208.2969921 0.1328799
208.3184547 0.1331560
208.3399073 0.1340731
208.3613599 0.1339090
208.3828125 0.1348192
208.4042651 0.1350207
208.4257277 0.1351909
208.4471804 0.1360224
208.4686330 0.1362917
208.4900856 0.1368012
208.5115382 0.1372236
208.5329908 0.1377833
208.5544534 0.1378750
208.5759060 0.1382747
208.5973586 0.1386072
208.6188112 0.1391667
208.6402638 0.1400684
208.6617164 0.1399499
208.6831591 0.1408420
208.7046117 0.1408495
208.7260643 0.1411384
208.7475169 0.1414678
208.7689695 0.1420535
208.7904221 0.1422662
208.8118748 0.1434556
208.8333274 0.1434719
208.8547800 0.1435497
208.8762326 0.1446132
208.8976852 0.1444605
208.9191379 0.1449201
208.9405805 0.1455773
208.9620331 0.1459566
208.9834857 0.1462564
209.0049384 0.1466883
209.0263810 0.1471822
209.0478236 0.1472318
209.0692762 0.1479743
209.0907289 0.1484776
209.1121815 0.1486637
209.1336341 0.1492248
209.1550668 0.1496307
209.1765194 0.1496444
209.1979720 0.1504944
209.2194246 0.1504153
209.2408773 0.1508632
209.2623199 0.1516129
209.2837626 0.1518834
209.3052152 0.1517743
209.3266678 0.1527236
209.3481105 0.1532414
209.3695631 0.1530961
209.3910057 0.1541899
209.4124484 0.1540670
209.4339010 0.1546314
209.4553536 0.1546464
209.4767863 0.1552390
209.4982389 0.1557311
209.5196716 0.1562805
209.5411242 0.1564648
209.5625769 0.1571176
209.5840195 0.1573451
209.6054622 0.1574469
209.6269048 0.1583049
209.6483574 0.1586311
209.6697901 0.1587359
209.6912427 0.1588986
209.7126754 0.1595895
209.7341280 0.1598834
209.7555707 0.1603231
209.7770233 0.1608112
209.7984560 0.1607650
209.8199086 0.1610046
209.8413413 0.1619677
209.8627940 0.1620687
209.8842366 0.1624673
209.9056893 0.1620729
209.9271219 0.1635781
209.9485546 0.1636851
209.9700072 0.1637103
209.9914499 0.1641032
210.0128826 0.1647494
210.0343352 0.1650139
210.0557679 0.1653468
210.0772105 0.1654907
210.0986632 0.1659627
210.1200959 0.1660022
210.1415285 0.1666393
210.1629812 0.1669050
210.1844239 0.1674108
210.2058565 0.1676654
210.2272892 0.1683828
210.2487419 0.1687453
210.2701845 0.1688895
210.2916172 0.1693385
210.3130599 0.1696054
210.3344925 0.1697483
210.3559452 0.1702554
210.3773779 0.1701572
210.3988205 0.1709071
210.4202532 0.1714855
210.4416859 0.1714080
210.4631286 0.1723182
210.4845613 0.1721299
210.5060039 0.1729704
210.5274466 0.1728443
210.5488893 0.1729535
210.5703220 0.1736186
210.5917646 0.1740919
210.6131973 0.1742583
210.6346300 0.1743630
210.6560727 0.1746338
210.6775054 0.1753603
210.6989480 0.1756986
210.7203807 0.1760998
210.7418134 0.1765277
210.7632561 0.1766977
210.7846888 0.1766722
210.8061215 0.1773127
210.8275442 0.1772872
210.8489868 0.1778405
210.8704195 0.1782388
210.8918522 0.1786200
210.9132949 0.1786959
210.9347276 0.1789329
210.9561703 0.1796774
210.9776030 0.1796100
210.9990257 0.1802684
211.0204584 0.1803503
211.0419011 0.1808824
211.0633338 0.1809946
211.0847665 0.1812651
211.1061892 0.1817966
211.1276319 0.1822254
211.1490646 0.1824175
211.1704973 0.1824375
211.1919200 0.1833569
211.2133627 0.1837928
211.2347954 0.1837351
211.2562181 0.1842366
211.2776508 0.1845098
211.2990935 0.1847490
211.3205162 0.1851108
211.3419489 0.1855895
211.3633816 0.1861668
211.3848043 0.1857303
211.4062470 0.1863408
211.4276797 0.1864692
211.4491024 0.1864474
211.4705351 0.1873366
211.4919578 0.1871544
211.5133905 0.1875394
211.5348133 0.1877083
211.5562560 0.1882241
211.5776787 0.1886927
211.5991114 0.1886337
211.6205341 0.1891052
211.6419668 0.1890052
211.6633895 0.1894202
211.6848223 0.1900931
211.7062450 0.1902638
211.7276877 0.1903060
211.7491104 0.1907406
211.7705231 0.1909921
211.7919659 0.1910428
211.8133886 0.1910798
211.8348213 0.1913289
211.8562440 0.1922901
211.8776667 0.1921712
211.8990995 0.1925462
211.9205222 0.1929821
211.9419449 0.1930432
211.9633776 0.1934520
211.9848004 0.1937522
212.0062231 0.1938498
212.0276458 0.1939871
212.0490786 0.1945678
212.0705013 0.1951585
212.0919240 0.1954235
212.1133468 0.1952863
212.1347795 0.1953418
212.1562022 0.1959215
212.1776250 0.1957833
212.1990477 0.1961868
212.2204704 0.1964246
212.2418832 0.1968167
212.2633259 0.1970149
212.2847486 0.1968577
212.3061714 0.1973760
212.3275841 0.1979244
212.3490069 0.1977718
212.3704296 0.1983158
212.3918523 0.1983042
212.4132751 0.1986141
212.4346978 0.1991120
212.4561206 0.1988333
212.4775333 0.1994679
212.4989561 0.1993959
212.5203788 0.1995252
212.5418015 0.1999053
212.5632243 0.2002920
212.5846470 0.2000118
212.6060698 0.2005620
212.6274825 0.2003523
212.6489053 0.2009766
212.6703280 0.2014580
212.6917508 0.2013768
212.7131735 0.2017583
212.7345963 0.2016586
212.7560190 0.2019665
