# wl 	 tx
203.2718536 0.0194024
203.2933560 0.0194750
203.3148385 0.0193085
203.3363309 0.0192951
203.3578333 0.0195041
203.3793258 0.0195175
203.4008082 0.0195240
203.4223106 0.0195228
203.4438031 0.0195512
203.4652855 0.0195059
203.4867880 0.0195195
203.5082804 0.0193651
203.5297628 0.0192242
203.5512653 0.0190991
203.5727577 0.0188160
203.5942401 0.0184957
203.6157426 0.0184334
203.6372250 0.0186007
203.6587175 0.0187260
203.6802199 0.0189028
203.7017024 0.0191149
203.7231948 0.0193043
203.7446773 0.0194723
203.7661697 0.0193983
203.7876521 0.0197843
203.8091546 0.0200787
203.8306370 0.0203524
203.8521295 0.0204070
203.8736119 0.0206616
203.8951144 0.0210078
203.9165968 0.0212317
203.9380893 0.0213093
203.9595717 0.0216606
203.9810742 0.0216471
204.0025566 0.0217862
204.0240491 0.0220585
204.0455316 0.0221365
204.0670140 0.0223200
204.0885165 0.0224618
204.1099989 0.0225092
204.1314814 0.0226104
204.1529738 0.0226336
204.1744563 0.0227169
204.1959488 0.0225718
204.2174312 0.0228698
204.2389137 0.0229074
204.2603962 0.0230040
204.2818986 0.0232076
204.3033811 0.0234093
204.3248635 0.0233659
204.3463560 0.0235118
204.3678385 0.0236774
204.3893209 0.0237453
204.4108034 0.0240071
204.4322859 0.0242095
204.4537883 0.0243240
204.4752708 0.0246335
204.4967533 0.0245877
204.5182358 0.0247143
204.5397082 0.0248611
204.5612107 0.0250022
204.5826932 0.0249720
204.6041756 0.0252647
204.6256581 0.0253214
204.6471406 0.0253184
204.6686231 0.0255641
204.6901056 0.0256822
204.7115880 0.0256609
204.7330705 0.0257969
204.7545530 0.0257694
204.7760355 0.0260603
204.7975180 0.0262455
204.8190004 0.0264058
204.8404729 0.0264391
204.8619754 0.0265258
204.8834379 0.0267354
204.9049204 0.0267778
204.9264029 0.0270533
204.9478853 0.0270752
204.9693678 0.0272291
204.9908503 0.0273048
205.0123328 0.0274224
205.0338153 0.0273584
205.0552978 0.0277041
205.0767803 0.0276372
205.0982628 0.0279544
205.1197452 0.0280602
205.1412277 0.0279405
205.1626902 0.0282265
205.1841727 0.0284266
205.2056552 0.0284500
205.2271377 0.0285069
205.2486202 0.0288125
205.2701027 0.0288378
205.2915752 0.0290797
205.3130577 0.0292053
205.3345402 0.0293005
205.3560227 0.0294433
205.3774852 0.0295613
205.3989677 0.0295601
205.4204502 0.0298146
205.4419327 0.0298403
205.4633952 0.0298695
205.4848777 0.0301969
205.5063602 0.0300940
205.5278327 0.0301859
205.5493152 0.0302436
205.5707977 0.0302814
205.5922603 0.0304340
205.6137428 0.0305245
205.6352053 0.0305429
205.6566878 0.0307689
205.6781703 0.0307612
205.6996428 0.0309397
205.7211253 0.0311241
205.7425878 0.0311869
205.7640703 0.0311746
205.7855429 0.0312765
205.8070254 0.0315902
205.8285079 0.0316553
205.8499704 0.0317423
205.8714529 0.0318496
205.8929154 0.0319290
205.9143880 0.0318962
205.9358705 0.0318648
205.9573330 0.0320918
205.9788155 0.0321952
206.0002880 0.0319953
206.0217706 0.0320115
206.0432331 0.0319014
206.0646956 0.0320261
206.0861781 0.0317937
206.1076507 0.0318062
206.1291332 0.0315889
206.1505957 0.0314148
206.1720683 0.0316382
206.1935508 0.0314709
206.2150133 0.0317602
