# wl 	 tx
178.1793750 0.0024908
178.2009766 0.0023855
178.2225782 0.0024490
178.2441699 0.0023923
178.2657715 0.0024196
178.2873732 0.0024423
178.3089648 0.0024077
178.3305665 0.0023724
178.3521681 0.0024822
178.3737597 0.0023200
178.3953614 0.0023618
178.4169630 0.0023508
178.4385547 0.0022717
178.4601563 0.0022156
178.4817480 0.0022654
178.5033496 0.0023040
178.5249513 0.0023889
178.5465429 0.0023228
178.5681446 0.0023276
178.5897362 0.0024061
178.6113379 0.0023804
178.6329196 0.0023003
178.6545312 0.0024503
178.6761129 0.0022569
178.6977145 0.0022920
178.7193062 0.0023785
178.7409078 0.0023550
178.7624995 0.0023052
178.7841011 0.0024317
178.8056928 0.0024307
178.8272945 0.0023925
178.8488861 0.0022664
178.8704878 0.0024391
178.8920695 0.0023920
178.9136611 0.0023271
178.9352628 0.0022809
178.9568544 0.0024121
178.9784561 0.0023041
179.0000478 0.0023617
179.0216294 0.0023575
179.0432311 0.0024020
179.0648228 0.0025964
179.0864144 0.0025555
179.1080161 0.0024007
179.1296078 0.0023040
179.1511895 0.0024744
179.1727811 0.0023128
179.1943828 0.0023787
179.2159745 0.0023208
179.2375562 0.0023517
179.2591478 0.0024829
179.2807495 0.0023339
179.3023412 0.0023395
179.3239229 0.0023556
179.3455145 0.0023682
179.3671162 0.0024525
179.3887079 0.0024126
179.4102996 0.0023726
179.4318813 0.0023799
179.4534729 0.0023886
179.4750546 0.0024233
179.4966663 0.0024367
179.5182480 0.0023635
179.5398397 0.0024032
179.5614314 0.0025819
179.5830131 0.0023813
179.6046047 0.0024070
179.6261864 0.0024486
179.6477781 0.0023603
179.6693698 0.0022659
179.6909515 0.0023426
179.7125432 0.0024274
179.7341349 0.0023894
179.7557166 0.0024554
179.7773083 0.0024134
179.7989000 0.0023468
179.8204817 0.0024579
179.8420733 0.0022907
179.8636650 0.0023023
179.8852467 0.0023671
179.9068384 0.0024260
179.9284301 0.0023907
179.9500118 0.0024234
179.9716035 0.0024941
179.9931852 0.0023877
180.0147769 0.0024318
180.0363686 0.0024574
180.0579503 0.0024503
180.0795320 0.0023610
180.1011137 0.0024351
180.1227054 0.0023993
180.1442872 0.0023979
180.1658789 0.0024392
180.1874706 0.0024487
180.2090423 0.0024214
180.2306240 0.0025063
180.2522157 0.0023929
180.2738074 0.0024789
180.2953791 0.0023842
180.3169708 0.0024071
180.3385525 0.0025164
180.3601442 0.0024286
180.3817160 0.0023526
180.4033077 0.0024837
180.4248894 0.0024693
180.4464611 0.0024557
180.4680528 0.0024759
180.4896445 0.0023765
180.5112263 0.0023501
180.5327980 0.0023300
180.5543897 0.0025220
180.5759614 0.0024814
180.5975531 0.0024474
180.6191349 0.0023795
180.6407166 0.0024927
180.6622983 0.0027269
180.6838700 0.0024991
180.7054618 0.0024440
180.7270535 0.0024730
180.7486252 0.0024959
180.7702069 0.0024968
180.7917887 0.0024539
180.8133704 0.0025548
180.8349421 0.0024657
180.8565338 0.0024968
180.8781056 0.0025021
180.8996973 0.0024626
180.9212690 0.0025111
180.9428508 0.0023713
180.9644325 0.0025116
180.9860042 0.0024217
181.0075860 0.0024563
181.0291577 0.0025937
181.0507494 0.0024946
181.0723212 0.0025899
181.0938929 0.0024927
181.1154847 0.0025046
181.1370564 0.0024018
181.1586481 0.0025474
181.1802199 0.0025201
181.2017916 0.0023493
181.2233834 0.0024459
181.2449551 0.0024437
181.2665269 0.0025299
181.2880986 0.0024569
181.3096903 0.0024560
181.3312621 0.0024489
181.3528338 0.0024391
181.3744256 0.0024712
181.3959973 0.0024074
181.4175691 0.0023891
181.4391408 0.0024267
181.4607126 0.0024496
181.4823043 0.0024702
181.5038761 0.0023746
181.5254478 0.0024511
181.5470196 0.0024458
181.5685914 0.0025119
181.5901831 0.0025781
181.6117549 0.0023599
181.6333266 0.0026126
181.6548984 0.0024602
181.6764701 0.0025844
181.6980419 0.0025487
181.7196137 0.0025061
181.7411954 0.0025586
181.7627672 0.0025780
181.7843389 0.0024224
181.8059107 0.0021969
181.8274825 0.0025589
181.8490542 0.0024144
181.8706460 0.0025164
181.8922177 0.0025052
181.9137895 0.0026133
181.9353513 0.0025079
181.9569231 0.0025839
181.9784948 0.0024830
182.0000666 0.0025172
182.0216384 0.0025312
182.0432101 0.0025952
182.0647819 0.0026007
182.0863537 0.0025989
182.1079354 0.0025987
182.1295072 0.0025778
