# wl 	 %tx
 238.43392  10.65512
 238.45526  10.87914
 238.47660  10.98496
 238.49794  10.98620
 238.51927  10.86406
 238.54060  10.89807
 238.56195  10.79930
 238.58327  10.76150
 238.60461  10.73510
 238.62595  10.61955
 238.64729  10.59484
 238.66862  10.55153
 238.68996  10.44674
 238.71130  10.44364
 238.73262  10.38340
 238.75397  10.33665
 238.77530  10.27786
 238.79663  10.26950
 238.81796  10.19198
 238.83931  10.14844
 238.86064  10.14020
 238.88196  10.07480
 238.90330  9.97190
 238.92463  10.00456
 238.94597  9.92900
 238.96731  9.89807
 238.98863  9.89364
 239.00997  9.76021
 239.03130  9.78497
 239.05262  9.74962
 239.07396  9.67331
 239.09530  9.62459
 239.11663  9.57322
 239.13797  9.54202
 239.15930  9.45178
 239.18062  9.43026
 239.20196  9.38886
 239.22329  9.34285
 239.24461  9.30512
 239.26595  9.29896
 239.28728  9.19658
 239.30861  9.16471
 239.32994  9.07503
 239.35127  9.02583
 239.37261  8.99441
 239.39393  8.95620
 239.41526  8.93190
 239.43660  8.86304
 239.45791  8.83305
 239.47924  8.79197
 239.50057  8.75186
 239.52190  8.75057
 239.54323  8.62897
 239.56456  8.65867
 239.58589  8.60266
 239.60721  8.56899
 239.62854  8.50274
 239.64987  8.43032
 239.67120  8.42392
 239.69253  8.38302
 239.71384  8.36032
 239.73518  8.27433
 239.75651  8.22617
 239.77783  8.21882
 239.79916  8.16581
 239.82048  8.10229
 239.84181  8.05488
 239.86313  8.00556
 239.88446  7.99194
 239.90580  7.91291
 239.92711  7.87686
 239.94843  7.83265
 239.96977  7.79824
 239.99108  7.73288
 240.01241  7.68814
 240.03375  7.67809
 240.05506  7.62946
 240.07639  7.56680
 240.09771  7.53838
 240.11904  7.52181
 240.14035  7.47474
 240.16168  7.42967
 240.18300  7.40583
 240.20433  7.37431
 240.22564  7.31748
 240.24697  7.28939
 240.26829  7.25814
 240.28962  7.23889
 240.31093  7.19426
 240.33227  7.13061
 240.35358  7.07720
 240.37489  7.05267
 240.39623  6.98182
 240.41754  6.96470
 240.43887  6.93191
 240.46019  6.91803
 240.48150  6.86797
 240.50284  6.81005
 240.52415  6.79364
 240.54546  6.75938
 240.56680  6.73444
 240.58811  6.69842
 240.60942  6.65574
 240.63075  6.59495
 240.65207  6.55068
 240.67338  6.52839
 240.69471  6.51554
 240.71602  6.45812
