# wl 	 tx
207.3002317 0.0035215
207.3217142 0.0035256
207.3431768 0.0035439
207.3646593 0.0035545
207.3861419 0.0035710
207.4076144 0.0035178
207.4290970 0.0034934
207.4505596 0.0035044
207.4720421 0.0035402
207.4935147 0.0035245
207.5149972 0.0035363
207.5364598 0.0032475
207.5579424 0.0035453
207.5794049 0.0035505
207.6008875 0.0035630
207.6223601 0.0035327
207.6438426 0.0035378
207.6653052 0.0035225
207.6867878 0.0035348
207.7082603 0.0035215
207.7297429 0.0035213
207.7512055 0.0035044
207.7726880 0.0034789
207.7941506 0.0034920
207.8156232 0.0035070
207.8371058 0.0034998
207.8585683 0.0034752
207.8800409 0.0034576
207.9015235 0.0034420
207.9229861 0.0034497
207.9444586 0.0034605
207.9659412 0.0034369
207.9874038 0.0034904
208.0088664 0.0034462
208.0303490 0.0034573
208.0518215 0.0034519
208.0732841 0.0034325
208.0947567 0.0034187
208.1162393 0.0033921
208.1377019 0.0034250
208.1591745 0.0034229
208.1806370 0.0034338
208.2020996 0.0034572
208.2235822 0.0034491
208.2450548 0.0034339
208.2665174 0.0034506
208.2879900 0.0034073
208.3094526 0.0034210
208.3309252 0.0033944
208.3523878 0.0034169
208.3738703 0.0034100
208.3953329 0.0034148
208.4168055 0.0034052
208.4382681 0.0033977
208.4597407 0.0034223
208.4812033 0.0034055
208.5026759 0.0033868
208.5241385 0.0033598
208.5456011 0.0033773
208.5670737 0.0033775
208.5885363 0.0034083
208.6100089 0.0033634
208.6314715 0.0034018
208.6529441 0.0033820
208.6744067 0.0033933
208.6958793 0.0034248
208.7173419 0.0034098
208.7388045 0.0034057
208.7602771 0.0034142
208.7817297 0.0033968
208.8031923 0.0033815
208.8246649 0.0034162
208.8461275 0.0033975
208.8675902 0.0033934
208.8890628 0.0034238
208.9105254 0.0034073
208.9319980 0.0034117
208.9534506 0.0034167
208.9749132 0.0033996
208.9963858 0.0034160
209.0178484 0.0034066
209.0393011 0.0033969
209.0607637 0.0034248
209.0822363 0.0033884
209.1036989 0.0034073
209.1251515 0.0034135
209.1466241 0.0033540
209.1680867 0.0033785
