# wl 	 tx
233.4041513 0.0036233
233.4255147 0.0029825
233.4468780 0.0035437
233.4682314 0.0034141
233.4895948 0.0039312
233.5109582 0.0037755
233.5323216 0.0037042
233.5536649 0.0033419
233.5750283 0.0038866
233.5963817 0.0037404
233.6177451 0.0036425
233.6391085 0.0038275
233.6604718 0.0036801
233.6818252 0.0038712
233.7031786 0.0032031
233.7245320 0.0037553
233.7458954 0.0034320
233.7672588 0.0036147
233.7886221 0.0039950
233.8099655 0.0033018
233.8313289 0.0031931
233.8526823 0.0032676
233.8740357 0.0038394
233.8953891 0.0036148
233.9167525 0.0033353
233.9381159 0.0033382
233.9594593 0.0029582
233.9808227 0.0039658
234.0021861 0.0032675
234.0235295 0.0037872
234.0448929 0.0034500
234.0662363 0.0037660
234.0875996 0.0030798
234.1089530 0.0032790
234.1303064 0.0034319
234.1516598 0.0030950
234.1730132 0.0032308
234.1943666 0.0030476
234.2157201 0.0033737
234.2370735 0.0035885
234.2584368 0.0032598
234.2797803 0.0032731
234.3011437 0.0036360
234.3224871 0.0034129
234.3438505 0.0039333
234.3651939 0.0036128
234.3865373 0.0036158
234.4079007 0.0036766
234.4292441 0.0040282
234.4506075 0.0033014
234.4719509 0.0035866
234.4933043 0.0029733
234.5146577 0.0032416
234.5360112 0.0034538
234.5573646 0.0035567
234.5787180 0.0036240
234.6000614 0.0032142
234.6214248 0.0036623
234.6427682 0.0036284
234.6641117 0.0032832
234.6854751 0.0037028
234.7068185 0.0034603
234.7281619 0.0039320
234.7495153 0.0036258
234.7708687 0.0039268
234.7922222 0.0033845
234.8135656 0.0038163
234.8349090 0.0034794
234.8562524 0.0036792
234.8776159 0.0033848
234.8989593 0.0039218
234.9203027 0.0034957
234.9416561 0.0034127
234.9629996 0.0034650
234.9843430 0.0035152
235.0057064 0.0035587
235.0270498 0.0033146
235.0483933 0.0037421
235.0697467 0.0038877
235.0910901 0.0038875
235.1124336 0.0033640
235.1337770 0.0033176
235.1551204 0.0035977
235.1764739 0.0033060
235.1978173 0.0037774
235.2191607 0.0037071
235.2405042 0.0031290
235.2618576 0.0036609
235.2832011 0.0033282
235.3045445 0.0036883
235.3258879 0.0030941
235.3472414 0.0035419
235.3685848 0.0036959
235.3899282 0.0037960
235.4112717 0.0034697
235.4326151 0.0030999
235.4539486 0.0032525
235.4752920 0.0034432
235.4966455 0.0038328
235.5179889 0.0033774
235.5393324 0.0038455
235.5606758 0.0032859
235.5820292 0.0037021
235.6033527 0.0033035
235.6247062 0.0036841
235.6460496 0.0032161
235.6673931 0.0036735
235.6887265 0.0038458
235.7100700 0.0034669
