# wl 	 %tx
 268.55490  34.51940
 268.57610  35.49854
 268.59729  36.05988
 268.61849  36.70904
 268.63968  37.12954
 268.66088  37.61483
 268.68207  38.12508
 268.70327  38.05206
 268.72446  38.23975
 268.74564  38.27592
 268.76684  38.36492
 268.78803  38.30768
 268.80923  38.28141
 268.83039  38.34875
 268.85159  38.50803
 268.87278  38.32327
 268.89398  38.37309
 268.91517  38.32663
 268.93637  38.27131
 268.95756  38.41006
 268.97875  38.21133
 268.99995  38.37509
 269.02114  38.36507
 269.04234  38.29103
 269.06350  38.35932
 269.08470  38.31591
 269.10589  38.26622
 269.12709  38.28430
 269.14828  38.20698
 269.16947  38.35465
 269.19067  38.26878
 269.21183  38.37727
 269.23303  38.35251
 269.25422  38.38815
 269.27542  38.23208
 269.29661  38.31344
 269.31778  38.32396
 269.33896  38.37540
 269.36015  38.38385
 269.38135  38.38286
 269.40254  38.31208
 269.42371  38.37167
 269.44490  38.30856
 269.46610  38.28992
 269.48729  38.34113
 269.50846  38.33163
 269.52965  38.47759
 269.55085  38.32867
 269.57204  38.28485
 269.59320  38.34106
 269.61440  38.24270
 269.63559  38.20999
 269.65676  38.22336
 269.67795  38.22460
 269.69915  38.29424
 269.72031  38.19688
 269.74151  38.22829
 269.76270  38.15321
 269.78390  38.18346
 269.80506  38.14064
 269.82625  38.11345
 269.84741  38.08868
 269.86860  38.10791
 269.88980  38.12509
 269.91096  38.05987
 269.93216  38.09955
 269.95335  38.12749
 269.97452  38.09825
 269.99571  38.03354
 270.01687  38.15213
 270.03807  37.85978
 270.05926  38.02828
 270.08043  37.96075
 270.10162  38.01512
 270.12279  37.94376
 270.14398  37.90475
 270.16515  38.01832
 270.18634  37.96904
 270.20754  37.95773
 270.22870  37.96962
 270.24989  38.03992
 270.27105  38.04261
 270.29224  37.95626
 270.31341  38.07683
 270.33460  38.16992
 270.35577  38.11716
 270.37696  38.08615
 270.39813  38.07180
 270.41932  38.01832
 270.44049  38.15619
 270.46168  38.16088
 270.48284  38.19570
 270.50404  38.22590
 270.52520  38.28675
 270.54637  38.27084
 270.56756  38.19646
 270.58873  38.31426
 270.60992  38.28847
 270.63109  38.46848
 270.65227  38.45839
 270.67344  38.53858
 270.69460  38.50016
 270.71579  38.37649
 270.73696  38.45952
 270.75815  38.62247
 270.77932  38.62707
 270.80048  38.59820
 270.82168  38.79269
 270.84284  38.76349
 270.86401  38.84456
 270.88520  38.77661
 270.90637  38.78928
 270.92753  38.87152
 270.94872  39.03381
 270.96989  38.97815
 270.99104  38.99411
 271.01224  39.16954
 271.03340  39.16721
 271.05457  39.05190
 271.07576  39.19929
 271.09693  39.17186
 271.11809  39.32132
 271.13929  39.31778
 271.16045  39.31020
 271.18161  39.45971
 271.20278  39.38738
 271.22397  39.51180
 271.24514  39.51257
 271.26630  39.60887
 271.28747  39.75047
 271.30862  39.76409
 271.32982  39.79869
 271.35098  39.96828
 271.37215  39.91475
 271.39331  39.92773
 271.41450  39.94421
 271.43567  39.88880
 271.45683  40.05674
 271.47800  40.11601
 271.49916  40.15111
 271.52033  40.20055
 271.54152  40.21280
 271.56269  40.24738
 271.58385  40.31039
 271.60502  40.39394
 271.62617  40.52390
 271.64733  40.43114
 271.66850  40.51319
 271.68966  40.47336
 271.71086  40.62455
 271.73202  40.62420
 271.75319  40.76716
 271.77435  40.79421
 271.79552  40.79447
 271.81668  40.92951
 271.83785  41.00325
 271.85901  40.86919
 271.88018  40.95299
 271.90133  40.94472
 271.92249  41.03851
 271.94366  41.07123
 271.96482  41.12526
 271.98599  41.14401
 272.00715  41.17144
 272.02832  41.27876
 272.04948  41.34479
 272.07065  41.32916
 272.09181  41.39451
 272.11298  41.38697
 272.13414  41.51345
 272.15529  41.53130
 272.17646  41.53267
 272.19762  41.61140
 272.21879  41.70692
 272.23995  41.57654
 272.26112  41.65932
 272.28228  41.78673
 272.30345  41.70965
 272.32461  41.73233
 272.34578  41.78494
 272.36694  41.81892
 272.38811  41.93947
 272.40927  41.78256
 272.43042  41.92413
 272.45156  41.87007
 272.47272  41.84905
 272.49389  41.96465
 272.51505  42.01974
 272.53622  42.01750
 272.55738  41.99907
 272.57855  41.97269
 272.59968  42.05906
 272.62085  42.08132
 272.64201  42.03689
 272.66317  42.01211
 272.68433  42.06806
 272.70549  42.10727
 272.72663  42.11799
 272.74779  42.13366
 272.76896  42.03269
 272.79012  42.05553
 272.81129  41.95225
 272.83242  42.16752
 272.85359  42.01412
 272.87475  42.08381
 272.89591  42.14498
 272.91704  41.96206
 272.93821  42.10921
 272.95937  42.02446
 272.98053  42.15971
 273.00167  42.03258
 273.02283  42.13645
 273.04400  42.03305
 273.06513  42.14494
 273.08630  42.06467
 273.10746  42.09618
 273.12862  42.05897
 273.14975  42.15161
 273.17092  42.01858
 273.19208  41.95869
 273.21322  42.00412
 273.23438  42.09156
 273.25551  41.98707
 273.27668  41.96152
 273.29784  41.94616
 273.31898  41.98376
 273.34013  41.92975
 273.36130  41.90161
 273.38243  41.76016
 273.40360  41.93537
 273.42473  41.87496
 273.44590  41.88979
 273.46706  41.89647
 273.48820  41.90072
 273.50936  41.73664
 273.53049  41.84678
 273.55165  41.75422
 273.57278  41.76273
 273.59395  41.81541
 273.61511  41.80842
 273.63625  41.76873
 273.65741  41.76842
 273.67855  41.69689
 273.69971  41.74472
 273.72085  41.69319
 273.74200  41.67096
 273.76314  41.65801
 273.78430  41.73771
 273.80544  41.61557
 273.82660  41.58987
 273.84773  41.71719
 273.86890  41.75368
 273.89003  41.69443
 273.91117  41.60037
 273.93233  41.71768
 273.95346  41.64997
 273.97462  41.76470
 273.99576  41.59398
 274.01692  41.69803
 274.03806  41.83445
 274.05919  41.58920
 274.08036  41.58288
 274.10149  41.73328
 274.12266  41.66005
 274.14378  41.64422
 274.16491  41.77327
 274.18608  41.62182
 274.20721  41.66227
 274.22835  41.65212
 274.24951  41.79275
 274.27065  41.60832
 274.29178  41.68869
 274.31294  41.72445
 274.33407  41.72731
 274.35521  41.74765
 274.37637  41.72479
