# wl center_tx left_tx right_tx top_tx bottom_tx
233.4041513 0.0036233 0.0033167 0.0034840 0.0035397 0.0037348
233.4255147 0.0029825 0.0030117 0.0033041 0.0033333 0.0033333
233.4468780 0.0035437 0.0036901 0.0035144 0.0034851 0.0040416
233.4682314 0.0034141 0.0036496 0.0039734 0.0040617 0.0037968
233.4895948 0.0039312 0.0038725 0.0037258 0.0037552 0.0036085
233.5109582 0.0037755 0.0037174 0.0037465 0.0033399 0.0036884
233.5323216 0.0037042 0.0035306 0.0035595 0.0037332 0.0035885
233.5536649 0.0033419 0.0036616 0.0038360 0.0038069 0.0035454
233.5750283 0.0038866 0.0036821 0.0038282 0.0040327 0.0036821
233.5963817 0.0037404 0.0034481 0.0037696 0.0035650 0.0037696
233.6177451 0.0036425 0.0038481 0.0041125 0.0036719 0.0038775
233.6391085 0.0038275 0.0035901 0.0036198 0.0041538 0.0037088
233.6604718 0.0036801 0.0038878 0.0035317 0.0034426 0.0035614
233.6818252 0.0038712 0.0034574 0.0036052 0.0035757 0.0036052
233.7031786 0.0032031 0.0033206 0.0031737 0.0034088 0.0036732
233.7245320 0.0037553 0.0037260 0.0039607 0.0040780 0.0034913
233.7458954 0.0034320 0.0035786 0.0034906 0.0034906 0.0033440
233.7672588 0.0036147 0.0037617 0.0037617 0.0036735 0.0039968
233.7886221 0.0039950 0.0037326 0.0038201 0.0039659 0.0036743
233.8099655 0.0033018 0.0035648 0.0034479 0.0038570 0.0032726
233.8313289 0.0031931 0.0029880 0.0037204 0.0033689 0.0034567
233.8526823 0.0032676 0.0035301 0.0032384 0.0031800 0.0035301
233.8740357 0.0038394 0.0035195 0.0039267 0.0037231 0.0038104
233.8953891 0.0036148 0.0034690 0.0033233 0.0035856 0.0034107
233.9167525 0.0033353 0.0034803 0.0033063 0.0037413 0.0030452
233.9381159 0.0033382 0.0035123 0.0034833 0.0035123 0.0036284
233.9594593 0.0029582 0.0031613 0.0032193 0.0032193 0.0032483
233.9808227 0.0039658 0.0038790 0.0041395 0.0041106 0.0039658
234.0021861 0.0032675 0.0034700 0.0034989 0.0031808 0.0035567
234.0235295 0.0037872 0.0035849 0.0037872 0.0037872 0.0038450
234.0448929 0.0034500 0.0034788 0.0035938 0.0034213 0.0034788
234.0662363 0.0037660 0.0035378 0.0039943 0.0036805 0.0035949
234.0875996 0.0030798 0.0032794 0.0036501 0.0033935 0.0037642
234.1089530 0.0032790 0.0035071 0.0038493 0.0035642 0.0035071
234.1303064 0.0034319 0.0032889 0.0037179 0.0035463 0.0034319
234.1516598 0.0030950 0.0030377 0.0033243 0.0031237 0.0032096
234.1730132 0.0032308 0.0032594 0.0034881 0.0032594 0.0034309
234.1943666 0.0030476 0.0031330 0.0030760 0.0029621 0.0032469
234.2157201 0.0033737 0.0032036 0.0033454 0.0035155 0.0036289
234.2370735 0.0035885 0.0037015 0.0038145 0.0035885 0.0033907
234.2584368 0.0032598 0.0035149 0.0030330 0.0034865 0.0035149
234.2797803 0.0032731 0.0032162 0.0034723 0.0030454 0.0032446
234.3011437 0.0036360 0.0032924 0.0036932 0.0037505 0.0032638
234.3224871 0.0034129 0.0029540 0.0036137 0.0030974 0.0035563
234.3438505 0.0039333 0.0037053 0.0035058 0.0036768 0.0034773
234.3651939 0.0036128 0.0035275 0.0038973 0.0036697 0.0033852
234.3865373 0.0036158 0.0033051 0.0034463 0.0039548 0.0033616
234.4079007 0.0036766 0.0039029 0.0032241 0.0039311 0.0032241
234.4292441 0.0040282 0.0036878 0.0038864 0.0039431 0.0039148
234.4506075 0.0033014 0.0033578 0.0029628 0.0035553 0.0033296
234.4719509 0.0035866 0.0037278 0.0037278 0.0040102 0.0039254
234.4933043 0.0029733 0.0035680 0.0033698 0.0030866 0.0032848
234.5146577 0.0032416 0.0030443 0.0032980 0.0027906 0.0031852
234.5360112 0.0034538 0.0033134 0.0036785 0.0033415 0.0033134
234.5573646 0.0035567 0.0037247 0.0033606 0.0036407 0.0033606
234.5787180 0.0036240 0.0034273 0.0033711 0.0035116 0.0032869
234.6000614 0.0032142 0.0031014 0.0035807 0.0036371 0.0034680
234.6214248 0.0036623 0.0038021 0.0036902 0.0033548 0.0036902
234.6427682 0.0036284 0.0033214 0.0034051 0.0033772 0.0031260
234.6641117 0.0032832 0.0033389 0.0037841 0.0037006 0.0035058
234.6854751 0.0037028 0.0034801 0.0037585 0.0036750 0.0036471
234.7068185 0.0034603 0.0035998 0.0035998 0.0034603 0.0034324
234.7281619 0.0039320 0.0036252 0.0038483 0.0039041 0.0038762
234.7495153 0.0036258 0.0037653 0.0036537 0.0035980 0.0036258
234.7708687 0.0039268 0.0038711 0.0035926 0.0035090 0.0036204
234.7922222 0.0033845 0.0038320 0.0037481 0.0038041 0.0034404
234.8135656 0.0038163 0.0033954 0.0036199 0.0034796 0.0036480
234.8349090 0.0034794 0.0035916 0.0036197 0.0036197 0.0035074
234.8562524 0.0036792 0.0034528 0.0034811 0.0034811 0.0034528
234.8776159 0.0033848 0.0032426 0.0031003 0.0033279 0.0031857
234.8989593 0.0039218 0.0036092 0.0039503 0.0042629 0.0039503
234.9203027 0.0034957 0.0037515 0.0035809 0.0037230 0.0035525
234.9416561 0.0034127 0.0033558 0.0030715 0.0032705 0.0030430
234.9629996 0.0034650 0.0035503 0.0034934 0.0035503 0.0037491
234.9843430 0.0035152 0.0036853 0.0032318 0.0036003 0.0035436
235.0057064 0.0035587 0.0037865 0.0034448 0.0035018 0.0035587
235.0270498 0.0033146 0.0036004 0.0034004 0.0032289 0.0032575
235.0483933 0.0037421 0.0040563 0.0034564 0.0037421 0.0035707
235.0697467 0.0038877 0.0038019 0.0041163 0.0040592 0.0040306
235.0910901 0.0038875 0.0036874 0.0034016 0.0036017 0.0035159
235.1124336 0.0033640 0.0032499 0.0032499 0.0034495 0.0031359
235.1337770 0.0033176 0.0034310 0.0032326 0.0034310 0.0034594
235.1551204 0.0035977 0.0034278 0.0035411 0.0036827 0.0034844
235.1764739 0.0033060 0.0034473 0.0032212 0.0033625 0.0032495
235.1978173 0.0037774 0.0033828 0.0034955 0.0036365 0.0038056
235.2191607 0.0037071 0.0037071 0.0038194 0.0038475 0.0038756
235.2405042 0.0031290 0.0031290 0.0034364 0.0033246 0.0032687
235.2618576 0.0036609 0.0037173 0.0033793 0.0036891 0.0041115
235.2832011 0.0033282 0.0034410 0.0035820 0.0032718 0.0035538
235.3045445 0.0036883 0.0035194 0.0036602 0.0034912 0.0037446
235.3258879 0.0030941 0.0032629 0.0033473 0.0031223 0.0036286
235.3472414 0.0035419 0.0034576 0.0034857 0.0036544 0.0034014
235.3685848 0.0036959 0.0036394 0.0038369 0.0033573 0.0038369
235.3899282 0.0037960 0.0034561 0.0036544 0.0037394 0.0037110
