# wl center_tx left_tx right_tx top_tx bottom_tx
318.8020755 0.0089603 0.0090954 0.0092982 0.0093995 0.0093725
318.8230216 0.0091198 0.0091973 0.0097039 0.0097250 0.0097672
318.8439476 0.0092789 0.0094545 0.0098338 0.0097987 0.0098198
318.8648936 0.0095085 0.0098473 0.0102074 0.0101438 0.0100803
318.8858496 0.0098547 0.0101928 0.0103971 0.0104535 0.0104957
318.9067657 0.0098105 0.0101498 0.0105721 0.0105929 0.0106483
318.9277217 0.0103881 0.0104646 0.0109726 0.0108960 0.0109099
318.9486377 0.0105145 0.0108638 0.0112969 0.0111642 0.0113179
318.9695937 0.0111664 0.0112721 0.0117086 0.0116593 0.0117438
318.9905098 0.0113365 0.0116819 0.0122459 0.0120485 0.0121049
319.0114658 0.0116086 0.0121756 0.0126079 0.0123669 0.0124803
319.0323919 0.0121095 0.0125813 0.0130531 0.0129745 0.0130674
319.0533379 0.0124768 0.0127576 0.0136359 0.0133335 0.0137223
319.0742639 0.0129316 0.0135177 0.0142755 0.0138823 0.0139752
319.0952099 0.0134844 0.0139970 0.0147232 0.0141821 0.0146164
319.1161360 0.0139358 0.0144346 0.0154463 0.0149547 0.0153536
319.1370820 0.0147222 0.0153368 0.0161372 0.0155512 0.0160657
319.1580081 0.0152577 0.0160498 0.0169775 0.0163852 0.0171060
319.1789541 0.0161718 0.0171553 0.0182387 0.0173905 0.0182886
319.1998801 0.0171290 0.0182263 0.0190386 0.0182477 0.0193236
319.2208262 0.0181676 0.0194821 0.0205252 0.0191464 0.0206109
319.2417522 0.0193124 0.0205743 0.0217791 0.0203604 0.0219930
319.2626982 0.0206196 0.0223748 0.0234593 0.0217898 0.0239801
319.2836243 0.0219605 0.0240197 0.0252453 0.0231077 0.0256158
319.3045703 0.0236428 0.0260501 0.0270245 0.0246960 0.0278842
319.3254964 0.0258355 0.0284600 0.0295458 0.0265330 0.0307179
319.3464524 0.0277707 0.0310002 0.0314462 0.0283390 0.0335752
319.3673684 0.0301559 0.0338044 0.0346208 0.0308495 0.0366943
319.3882945 0.0333230 0.0374731 0.0374082 0.0333590 0.0404847
319.4092405 0.0362595 0.0412759 0.0408441 0.0360795 0.0447306
319.4301666 0.0396999 0.0456820 0.0446659 0.0394637 0.0495819
319.4511126 0.0434817 0.0506181 0.0493063 0.0431894 0.0551238
319.4720387 0.0484081 0.0563873 0.0540568 0.0471433 0.0614746
319.4929547 0.0531501 0.0625329 0.0593222 0.0518972 0.0684487
319.5139108 0.0591602 0.0705054 0.0656729 0.0574081 0.0765514
319.5348268 0.0657287 0.0783471 0.0723451 0.0624419 0.0854994
319.5557529 0.0728169 0.0868885 0.0796111 0.0690574 0.0955376
