# wl 	 %tx
 251.90397  0.03629
 251.91388  0.03586
 251.92379  0.03578
 251.93369  0.03579
 251.94360  0.03580
 251.95349  0.03573
 251.96340  0.03641
 251.97330  0.03600
 251.98321  0.03575
 251.99310  0.03600
 252.00300  0.03601
 252.01291  0.03588
 252.02282  0.03619
 252.03271  0.03585
 252.04261  0.03595
 252.05252  0.03632
 252.06241  0.03580
 252.07231  0.03550
 252.08223  0.03531
 252.09211  0.03530
 252.10202  0.03581
 252.11193  0.03570
 252.12182  0.03583
 252.13172  0.03586
 252.14163  0.03644
 252.15152  0.03625
 252.16142  0.03604
 252.17131  0.03584
 252.18122  0.03599
 252.19113  0.03629
 252.20101  0.03599
 252.21093  0.03589
 252.22082  0.03615
 252.23072  0.03595
 252.24062  0.03574
 252.25052  0.03606
 252.26041  0.03605
 252.27032  0.03611
 252.28021  0.03634
 252.29011  0.03622
 252.30001  0.03668
 252.30991  0.03778
 252.31980  0.03597
 252.32970  0.03548
 252.33960  0.03609
 252.34950  0.03571
 252.35939  0.03618
 252.36929  0.03579
 252.37919  0.03553
 252.38908  0.03566
 252.39899  0.03521
 252.40888  0.03521
 252.41877  0.03508
 252.42868  0.03500
 252.43857  0.03519
 252.44847  0.03516
 252.45836  0.03557
 252.46826  0.03523
 252.47816  0.03498
 252.48805  0.03532
 252.49794  0.03520
 252.50783  0.03546
 252.51773  0.03526
 252.52763  0.03549
 252.53752  0.03566
 252.54741  0.03557
 252.55732  0.03578
 252.56721  0.03551
 252.57710  0.03550
 252.58699  0.03528
 252.59690  0.03566
 252.60678  0.03542
 252.61667  0.03569
 252.62657  0.03511
 252.63646  0.03518
 252.64636  0.03524
 252.65626  0.03531
 252.66615  0.03514
 252.67603  0.03541
 252.68593  0.03535
 252.69582  0.03541
 252.70571  0.03531
 252.71562  0.03546
 252.72551  0.03577
 252.73539  0.03574
 252.74529  0.03574
 252.75518  0.03560
 252.76507  0.03585
 252.77496  0.03576
 252.78485  0.03540
 252.79474  0.03564
 252.80463  0.03558
 252.81453  0.03578
 252.82441  0.03556
 252.83430  0.03530
 252.84420  0.03529
 252.85409  0.03488
 252.86397  0.03491
 252.87387  0.03529
 252.88376  0.03505
 252.89365  0.03530
 252.90355  0.03527
 252.91343  0.03498
 252.92332  0.03542
 252.93321  0.03553
 252.94311  0.03536
 252.95298  0.03561
 252.96287  0.03571
 252.97276  0.03559
 252.98265  0.03695
 252.99254  0.03529
 253.00244  0.03469
 253.01233  0.03482
 253.02220  0.03499
 253.03210  0.03509
 253.04198  0.03484
 253.05187  0.03473
 253.06177  0.03451
 253.07164  0.03434
 253.08153  0.03433
 253.09142  0.03476
 253.10131  0.03450
 253.11119  0.03448
 253.12107  0.03451
 253.13097  0.03427
 253.14086  0.03438
 253.15073  0.03432
 253.16063  0.03463
 253.17052  0.03417
 253.18039  0.03440
 253.19029  0.03442
 253.20017  0.03446
 253.21006  0.03476
 253.21995  0.03512
 253.22983  0.03634
 253.23971  0.03527
 253.24959  0.03511
 253.25949  0.03484
 253.26936  0.03469
 253.27925  0.03495
 253.28913  0.03463
 253.29902  0.03439
 253.30891  0.03460
 253.31879  0.03467
 253.32868  0.03430
 253.33855  0.03439
 253.34845  0.03470
 253.35832  0.03451
 253.36821  0.03480
 253.37809  0.03442
 253.38798  0.03426
 253.39785  0.03466
 253.40774  0.03483
 253.41762  0.03488
 253.42751  0.03479
 253.43738  0.03454
 253.44728  0.03481
 253.45715  0.03475
 253.46704  0.03467
 253.47692  0.03476
 253.48679  0.03480
 253.49668  0.03487
 253.50656  0.03464
 253.51645  0.03480
 253.52632  0.03453
 253.53621  0.03447
 253.54609  0.03423
 253.55597  0.03473
 253.56584  0.03460
 253.57574  0.03477
 253.58561  0.03471
 253.59548  0.03441
 253.60538  0.03439
 253.61525  0.03452
 253.62512  0.03443
 253.63501  0.03465
 253.64490  0.03456
 253.65477  0.03435
 253.66465  0.03444
 253.67452  0.03435
 253.68441  0.03421
 253.69429  0.03443
 253.70416  0.03436
 253.71404  0.03421
 253.72391  0.03439
 253.73381  0.03429
 253.74368  0.03426
 253.75355  0.03416
 253.76343  0.03404
 253.77331  0.03394
 253.78318  0.03398
 253.79308  0.03360
 253.80295  0.03385
 253.81282  0.03389
 253.82270  0.03384
 253.83258  0.03386
 253.84245  0.03384
 253.85233  0.03365
 253.86220  0.03386
 253.87208  0.03408
 253.88195  0.03417
 253.89183  0.03430
 253.90170  0.03430
 253.91158  0.03449
 253.92146  0.03420
 253.93133  0.03399
 253.94120  0.03401
 253.95109  0.03451
 253.96096  0.03416
 253.97083  0.03394
 253.98071  0.03399
 253.99059  0.03402
 254.00046  0.03388
 254.01034  0.03396
 254.02021  0.03400
 254.03009  0.03427
 254.03997  0.03406
 254.04984  0.03388
 254.05971  0.03368
 254.06957  0.03409
 254.07945  0.03435
 254.08933  0.03411
 254.09920  0.03427
 254.10908  0.03398
 254.11895  0.03391
 254.12881  0.03367
 254.13869  0.03389
 254.14856  0.03410
 254.15844  0.03435
 254.16832  0.03450
 254.17818  0.03444
 254.18805  0.03459
 254.19793  0.03441
 254.20780  0.03434
 254.21766  0.03404
 254.22753  0.03420
 254.23742  0.03418
 254.24729  0.03187
 254.25715  0.03449
 254.26703  0.03430
 254.27690  0.03407
 254.28676  0.03375
 254.29664  0.03380
 254.30651  0.03381
 254.31637  0.03383
 254.32625  0.03383
 254.33612  0.03338
 254.34598  0.03358
 254.35586  0.03365
 254.36572  0.03341
 254.37559  0.03374
 254.38547  0.03352
 254.39533  0.03371
 254.40521  0.03379
 254.41506  0.03391
 254.42495  0.03408
 254.43480  0.03379
 254.44468  0.03366
 254.45454  0.03356
 254.46441  0.03357
 254.47427  0.03357
 254.48415  0.03351
 254.49401  0.03350
 254.50388  0.03343
 254.51375  0.03337
 254.52362  0.03310
 254.53348  0.03310
 254.54336  0.03327
 254.55322  0.03330
 254.56309  0.03359
 254.57295  0.03346
 254.58282  0.03358
 254.59269  0.03351
 254.60255  0.03329
 254.61241  0.03317
 254.62229  0.03341
 254.63214  0.03341
 254.64203  0.03341
 254.65188  0.03324
 254.66174  0.03337
 254.67162  0.03288
 254.68148  0.03317
 254.69134  0.03311
 254.70120  0.03345
 254.71108  0.03359
 254.72093  0.03330
 254.73079  0.03366
 254.74066  0.03347
 254.75053  0.03355
 254.76039  0.03330
 254.77026  0.03330
 254.78011  0.03325
 254.78998  0.03348
 254.79985  0.03353
 254.80971  0.03282
 254.81957  0.03286
 254.82943  0.03368
 254.83931  0.03356
 254.84916  0.03358
 254.85903  0.03367
 254.86889  0.03368
 254.87874  0.03367
 254.88861  0.03364
 254.89847  0.03355
 254.90833  0.03347
 254.91818  0.03385
 254.92807  0.03376
 254.93792  0.03360
 254.94778  0.03349
 254.95765  0.03377
 254.96750  0.03409
 254.97736  0.03414
 254.98723  0.03373
 254.99709  0.03370
 255.00694  0.03345
 255.01681  0.03337
 255.02667  0.03334
 255.03652  0.03354
 255.04639  0.03370
 255.05625  0.03355
 255.06611  0.03334
 255.07596  0.03314
 255.08583  0.03284
 255.09567  0.03299
 255.10553  0.03302
 255.11540  0.03298
 255.12525  0.03298
 255.13511  0.03282
 255.14498  0.03295
 255.15484  0.03265
 255.16469  0.03280
 255.17454  0.03308
 255.18440  0.03307
 255.19426  0.03308
 255.20413  0.03318
 255.21398  0.03324
 255.22384  0.03315
 255.23369  0.03311
 255.24355  0.03326
 255.25341  0.03323
 255.26326  0.03361
 255.27312  0.03307
 255.28297  0.03314
 255.29283  0.03312
 255.30270  0.03302
 255.31254  0.03310
 255.32240  0.03290
 255.33226  0.03307
 255.34211  0.03307
 255.35196  0.03295
 255.36183  0.03317
 255.37167  0.03302
 255.38153  0.03308
 255.39140  0.03324
 255.40124  0.03336
 255.41110  0.03336
 255.42096  0.03352
 255.43080  0.03369
 255.44066  0.03375
 255.45050  0.03375
 255.46037  0.03383
 255.47023  0.03398
 255.48007  0.03404
 255.48994  0.03406
 255.49978  0.03399
 255.50964  0.03409
 255.51949  0.03444
 255.52935  0.03488
 255.53919  0.03372
 255.54905  0.03366
 255.55890  0.03380
 255.56875  0.03398
 255.57861  0.03425
 255.58846  0.03399
 255.59830  0.03409
 255.60816  0.03381
 255.61801  0.03393
 255.62786  0.03412
 255.63771  0.03406
 255.64756  0.03408
 255.65742  0.03434
 255.66726  0.03418
 255.67712  0.03364
 255.68697  0.03365
 255.69681  0.03371
 255.70667  0.03367
 255.71652  0.03370
 255.72637  0.03387
 255.73622  0.03351
 255.74607  0.03360
 255.75592  0.03341
 255.76577  0.03316
 255.77563  0.03355
 255.78547  0.03367
 255.79531  0.03322
 255.80516  0.03320
 255.81502  0.03336
 255.82486  0.03332
 255.83471  0.03349
 255.84455  0.03328
 255.85441  0.03343
 255.86426  0.03342
 255.87411  0.03372
 255.88395  0.03367
 255.89380  0.03371
 255.90364  0.03375
 255.91350  0.03373
 255.92335  0.03365
 255.93319  0.03307
 255.94303  0.03353
 255.95289  0.03385
 255.96273  0.03363
 255.97259  0.03330
 255.98241  0.03332
 255.99228  0.03343
 256.00211  0.03341
 256.01196  0.03317
 256.02180  0.03348
 256.03166  0.03359
 256.04148  0.03365
 256.05135  0.03354
 256.06118  0.03303
 256.07103  0.03352
 256.08087  0.03342
 256.09073  0.03371
 256.10055  0.03365
