# wl 	 tx
261.9825386 0.0002801
261.9923718 0.0002248
262.0022251 0.0003047
262.0120583 0.0003782
262.0218916 0.0003777
262.0317148 0.0002781
262.0415481 0.0003217
262.0513813 0.0003341
262.0612046 0.0003573
262.0710378 0.0002971
262.0808711 0.0003929
262.0906943 0.0004019
262.1005276 0.0002921
262.1103608 0.0003388
262.1201841 0.0003678
262.1300173 0.0002950
262.1398506 0.0002794
262.1496738 0.0003962
262.1595071 0.0004275
262.1693403 0.0003100
262.1791636 0.0004066
262.1889968 0.0003069
262.1988301 0.0002588
262.2086533 0.0003141
262.2184866 0.0003300
262.2283198 0.0002965
262.2381131 0.0002605
262.2479463 0.0003498
262.2577796 0.0002892
262.2676028 0.0003241
262.2774361 0.0003435
262.2872694 0.0004466
262.2970926 0.0003154
262.3069259 0.0003903
262.3167591 0.0003979
262.3265824 0.0003105
262.3364156 0.0003321
262.3462489 0.0002554
262.3560421 0.0003731
262.3658754 0.0003877
262.3757086 0.0003819
262.3855319 0.0003171
262.3953651 0.0004085
262.4051984 0.0002581
262.4150217 0.0002662
262.4248549 0.0003496
262.4346582 0.0001718
262.4444814 0.0003294
262.4543147 0.0003620
262.4641479 0.0003132
262.4739712 0.0003299
262.4838044 0.0003487
262.4936077 0.0004022
262.5034309 0.0004364
262.5132642 0.0001952
262.5230975 0.0003566
262.5329207 0.0002694
262.5427540 0.0003696
262.5525472 0.0003079
262.5623805 0.0002813
262.5722137 0.0003702
262.5820370 0.0003572
262.5918403 0.0002827
262.6016735 0.0002624
262.6114968 0.0004262
262.6213300 0.0002641
262.6311633 0.0003587
262.6409565 0.0004342
262.6507898 0.0003672
262.6606231 0.0004143
262.6704463 0.0003247
262.6802496 0.0003786
262.6900828 0.0002968
262.6999061 0.0003159
262.7097093 0.0003408
262.7195426 0.0004162
262.7293659 0.0003498
262.7391991 0.0003624
262.7490024 0.0003636
262.7588256 0.0003108
262.7686589 0.0004266
262.7784622 0.0003792
262.7882854 0.0003728
262.7981187 0.0003951
262.8079119 0.0003007
262.8177452 0.0004359
262.8275785 0.0003328
262.8374017 0.0003467
262.8472050 0.0003199
262.8570382 0.0003608
262.8668315 0.0003952
262.8766647 0.0002594
262.8864980 0.0004304
262.8962913 0.0005766
262.9061245 0.0003434
262.9159578 0.0003020
262.9257510 0.0004367
262.9355843 0.0003092
262.9454176 0.0002553
262.9552108 0.0003632
262.9650441 0.0004455
262.9748373 0.0003698
262.9846706 0.0004565
262.9945039 0.0003092
263.0042971 0.0003984
263.0141304 0.0003046
263.0239337 0.0003324
263.0337569 0.0003803
263.0435602 0.0002912
263.0533934 0.0003904
263.0632167 0.0003262
263.0730200 0.0004112
263.0828532 0.0002991
263.0926465 0.0003601
263.1024798 0.0003275
263.1122730 0.0003330
263.1221063 0.0004306
263.1319095 0.0003497
263.1417328 0.0004449
263.1515361 0.0003395
263.1613693 0.0003540
263.1711626 0.0003544
263.1809959 0.0003916
263.1907991 0.0003343
263.2006224 0.0003877
263.2104256 0.0003214
263.2202589 0.0003874
263.2300522 0.0003808
263.2398854 0.0003687
263.2496787 0.0003486
263.2595120 0.0004407
263.2693152 0.0003424
263.2791385 0.0003643
263.2889418 0.0002991
263.2987750 0.0002655
263.3085683 0.0003849
263.3184016 0.0002650
263.3282048 0.0003251
263.3379981 0.0003794
263.3478314 0.0004187
263.3576246 0.0003769
263.3674579 0.0003742
263.3772611 0.0003077
263.3870844 0.0003990
263.3968877 0.0002873
263.4066909 0.0003792
263.4165142 0.0003997
263.4263175 0.0003882
263.4361508 0.0003684
263.4459440 0.0002560
263.4557473 0.0004063
263.4655705 0.0004301
263.4753738 0.0003650
263.4851771 0.0004500
263.4950003 0.0003036
263.5048036 0.0003755
263.5146069 0.0004084
263.5244301 0.0004534
263.5342334 0.0003882
263.5440667 0.0003309
263.5538599 0.0003914
263.5636632 0.0003042
263.5734865 0.0003350
263.5832898 0.0004386
263.5930930 0.0004304
263.6028863 0.0003642
263.6127196 0.0004430
263.6225228 0.0004454
263.6323161 0.0004269
263.6421494 0.0003351
263.6519426 0.0004263
263.6617459 0.0003798
263.6715492 0.0004102
263.6813724 0.0003451
