# wl 	 %tx
 278.11287  49.08249
 278.12258  49.36750
 278.13229  49.51631
 278.14199  49.37263
 278.15174  49.17642
 278.16144  49.56106
 278.17115  49.48557
 278.18086  49.51555
 278.19056  49.41836
 278.20027  49.43335
 278.20998  49.40303
 278.21969  49.47553
 278.22940  49.39100
 278.23914  49.36944
 278.24884  49.34940
 278.25856  49.31677
 278.26826  49.33698
 278.27797  49.30620
 278.28768  49.11604
 278.29739  49.27170
 278.30709  49.26776
 278.31680  49.23511
 278.32651  49.02741
 278.33621  49.09697
 278.34593  49.20557
 278.35563  48.90915
 278.36534  48.96977
 278.37505  48.81061
 278.38479  48.96002
 278.39449  48.82866
 278.40421  48.72350
 278.41391  48.57845
 278.42362  48.77450
 278.43333  48.59569
 278.44303  48.46893
 278.45274  48.43704
 278.46245  48.38716
 278.47216  48.20366
 278.48187  48.03941
 278.49158  48.18352
 278.50125  48.15669
 278.51097  47.90700
 278.52067  47.85437
 278.53038  47.79544
 278.54009  47.72315
 278.54979  47.60409
 278.55950  47.51789
 278.56921  47.40944
 278.57892  47.31638
 278.58862  47.33803
 278.59834  47.14651
 278.60804  47.08699
 278.61775  46.78336
 278.62746  46.95697
 278.63717  46.83675
 278.64687  46.65122
 278.65655  46.62794
 278.66626  46.40840
 278.67596  46.38186
 278.68568  46.33862
 278.69538  46.14244
 278.70510  46.06606
 278.71480  45.87316
 278.72451  45.89771
 278.73419  45.76900
 278.74390  45.50198
 278.75360  45.54418
 278.76331  45.35455
 278.77302  45.36802
 278.78272  45.28163
 278.79241  45.11531
 278.80211  45.01386
 278.81182  44.84227
 278.82153  44.66431
 278.83124  44.70255
 278.84094  44.51429
 278.85062  44.44243
 278.86033  44.28519
 278.87003  44.09067
 278.87975  44.11437
 278.88942  44.06591
 278.89913  43.81335
 278.90884  43.86814
 278.91855  43.75988
 278.92826  43.66229
 278.93794  43.43920
 278.94764  43.34464
 278.95735  43.27978
 278.96706  43.24320
 278.97673  43.13324
 278.98645  43.07495
 278.99615  42.91260
 279.00586  42.96859
 279.01554  42.75221
 279.02525  42.74386
 279.03495  42.64341
 279.04463  42.48077
 279.05434  42.56271
 279.06404  42.37392
 279.07373  42.24582
 279.08343  42.24349
 279.09314  42.19644
 279.10285  42.17929
 279.11253  42.04295
 279.12223  41.94230
 279.13194  41.89132
 279.14162  41.84653
 279.15133  41.78542
 279.16101  41.68134
 279.17071  41.62519
 279.18043  41.68139
 279.19010  41.50607
 279.19980  41.54526
 279.20952  41.51435
 279.21919  41.42646
 279.22890  41.35580
 279.23858  41.34177
 279.24829  41.26951
 279.25799  41.28328
 279.26768  41.26455
 279.27738  41.13215
 279.28705  41.20578
 279.29677  41.09535
 279.30647  41.14642
 279.31615  41.01696
 279.32586  41.05711
 279.33554  41.04468
 279.34524  40.96786
 279.35492  41.00400
 279.36463  41.07555
 279.37434  41.02420
 279.38402  40.91872
 279.39372  40.97595
 279.40341  41.02641
 279.41311  40.92223
 279.42279  40.99124
 279.43250  40.97856
 279.44217  40.98197
 279.45188  40.95570
 279.46156  40.95292
 279.47127  40.90150
 279.48094  41.02398
 279.49066  41.01073
 279.50033  41.03407
 279.51003  41.06373
 279.51972  41.06285
 279.52942  41.07832
 279.53910  41.17796
 279.54881  41.17605
 279.55849  41.19342
 279.56816  41.26306
 279.57787  41.19539
 279.58755  41.41585
 279.59726  41.27179
 279.60694  41.40172
 279.61664  41.39000
 279.62633  41.48010
 279.63600  41.55088
 279.64570  41.60899
 279.65539  41.59060
 279.66509  41.62660
 279.67477  41.74399
 279.68445  41.82111
 279.69416  41.90935
 279.70383  41.88423
 279.71354  41.98573
 279.72322  42.06012
 279.73289  42.16905
 279.74261  42.20387
 279.75228  42.24902
 279.76196  42.33336
 279.77167  42.37118
 279.78134  42.52575
 279.79102  42.51603
 279.80073  42.53514
 279.81041  42.69969
 279.82009  42.79220
 279.82980  42.73544
 279.83947  42.93952
 279.84915  42.98086
 279.85886  43.08264
 279.86853  43.17804
 279.87822  43.20876
 279.88792  43.33492
 279.89760  43.37169
 279.90728  43.43728
 279.91695  43.46375
 279.92666  43.52640
 279.93634  43.70710
 279.94602  43.77687
 279.95569  43.79250
 279.96540  43.84878
 279.97508  43.94410
 279.98475  44.05582
 279.99444  44.24205
 280.00414  44.25884
 280.01383  44.27634
 280.02350  44.43600
 280.03317  44.40290
 280.04286  44.51602
 280.05256  44.70758
 280.06224  44.62839
 280.07192  44.62208
 280.08159  44.88367
 280.09127  44.74328
 280.10098  44.91440
 280.11066  44.99145
 280.12033  45.22824
 280.13002  45.07600
 280.13969  45.17887
 280.14939  45.21519
 280.15908  45.34199
 280.16875  45.32204
 280.17843  45.44178
 280.18811  45.47895
 280.19778  45.59173
 280.20746  45.55088
 280.21714  45.60527
 280.22685  45.72339
 280.23653  45.65923
 280.24621  45.82989
 280.25588  45.73084
 280.26556  45.78850
 280.27524  45.89453
 280.28491  45.78596
 280.29460  45.96759
 280.30427  45.94657
 280.31394  45.93045
 280.32366  46.05847
 280.33333  45.97413
 280.34301  45.96685
 280.35269  46.13023
 280.36236  45.98485
 280.37204  46.10564
 280.38172  45.95754
 280.39140  46.05977
 280.40107  46.12446
 280.41076  45.91867
 280.42043  46.19968
 280.43011  45.90566
 280.43979  46.00025
 280.44946  46.01112
 280.45915  45.99919
 280.46882  45.96263
 280.47849  45.94124
 280.48818  45.92057
 280.49785  45.89224
 280.50753  46.04097
 280.51721  45.92284
 280.52688  45.90520
 280.53656  45.85838
 280.54624  45.79242
 280.55592  45.79807
 280.56559  45.77020
 280.57527  45.61878
 280.58495  45.83443
 280.59462  45.63582
 280.60428  45.52886
 280.61395  45.68962
 280.62362  45.49931
 280.63331  45.66792
 280.64298  45.42625
 280.65267  45.49718
 280.66234  45.36745
 280.67201  45.42064
 280.68170  45.31186
 280.69137  45.19406
 280.70105  45.33547
 280.71070  45.20638
 280.72037  45.20078
 280.73005  45.19299
 280.73973  45.07333
 280.74941  45.00361
 280.75908  45.04421
 280.76876  44.98801
 280.77841  45.05101
 280.78808  44.82079
 280.79777  44.78769
 280.80744  44.90561
 280.81711  44.76331
 280.82680  44.84765
 280.83644  44.76587
 280.84613  44.67472
 280.85580  44.67366
 280.86547  44.72285
 280.87516  44.64779
 280.88480  44.59463
 280.89448  44.57211
 280.90416  44.57899
 280.91383  44.55208
 280.92348  44.53739
 280.93316  44.62287
 280.94284  44.55053
 280.95251  44.42230
 280.96216  44.50229
 280.97184  44.54080
 280.98151  44.38672
 280.99120  44.36926
 281.00084  44.41134
 281.01051  44.31483
 281.02020  44.38670
 281.02987  44.40335
 281.03953  44.36102
 281.04920  44.43771
 281.05887  44.30820
 281.06853  44.48393
 281.07820  44.41468
 281.08788  44.49848
 281.09753  44.40027
 281.10720  44.46907
 281.11688  44.41910
 281.12653  44.53600
 281.13620  44.44275
 281.14588  44.65439
 281.15553  44.58232
 281.16521  44.58536
 281.17488  44.64914
 281.18453  44.72913
 281.19421  44.69375
 281.20388  44.72676
 281.21354  44.74536
 281.22321  44.87919
