# wl 	 tx
290.2143837 0.0068483
290.2240073 0.0069915
290.2336210 0.0070829
290.2432346 0.0070962
290.2528582 0.0069993
290.2624718 0.0070423
290.2721155 0.0070407
290.2817391 0.0070028
290.2913527 0.0068746
290.3009663 0.0068644
290.3105800 0.0068739
290.3202036 0.0068498
290.3298172 0.0067632
290.3394308 0.0067554
290.3490545 0.0067100
290.3586681 0.0067388
290.3682817 0.0066652
290.3779053 0.0065839
290.3875190 0.0065463
290.3971326 0.0065535
290.4067462 0.0065661
290.4163699 0.0065385
290.4259835 0.0064390
290.4355971 0.0064540
290.4452207 0.0064298
290.4548344 0.0063905
290.4644480 0.0063594
290.4740716 0.0062900
290.4836852 0.0063075
290.4932989 0.0062728
290.5029225 0.0062115
290.5125361 0.0061900
290.5221498 0.0061553
290.5317634 0.0061337
290.5413870 0.0060773
290.5510006 0.0061004
290.5606143 0.0060533
290.5702379 0.0060052
290.5798515 0.0059691
290.5894652 0.0059750
290.5990888 0.0059175
290.6087024 0.0058780
290.6183161 0.0058097
290.6279297 0.0058002
290.6375233 0.0057827
290.6471369 0.0057608
290.6567506 0.0057028
290.6663742 0.0056712
290.6759878 0.0056140
290.6856015 0.0055939
290.6952251 0.0055510
290.7048387 0.0055008
290.7144524 0.0054547
290.7240360 0.0054417
290.7336596 0.0054087
290.7432732 0.0053472
290.7528869 0.0053061
290.7625105 0.0052460
290.7721241 0.0052118
290.7817378 0.0051843
290.7913214 0.0051249
290.8009450 0.0050792
290.8105587 0.0050298
290.8201723 0.0049976
290.8297959 0.0049443
290.8393795 0.0048995
290.8489932 0.0048418
290.8586168 0.0047860
290.8682305 0.0047350
290.8778441 0.0046813
290.8874277 0.0046310
290.8970513 0.0045702
290.9066650 0.0045053
290.9162786 0.0044573
290.9258722 0.0043922
290.9354859 0.0043288
290.9450995 0.0042820
290.9547131 0.0042239
290.9643068 0.0041644
290.9739204 0.0041023
290.9835340 0.0040405
290.9931577 0.0039839
291.0027413 0.0039217
291.0123549 0.0038563
291.0219786 0.0037940
291.0315922 0.0037343
291.0411758 0.0036724
291.0507895 0.0036121
291.0604131 0.0035505
291.0699967 0.0034824
291.0796104 0.0034195
291.0892340 0.0033574
291.0988176 0.0032968
291.1084313 0.0032249
291.1180449 0.0031626
