# wl center_tx left_tx right_tx top_tx bottom_tx
261.9825386 0.0002801 0.0003257 0.0002671 0.0002866 0.0002736
261.9923718 0.0002248 0.0001908 0.0003202 0.0002793 0.0003338
262.0022251 0.0003047 0.0003386 0.0003250 0.0003250 0.0002506
262.0120583 0.0003782 0.0003782 0.0002634 0.0003175 0.0003850
262.0218916 0.0003777 0.0004182 0.0003440 0.0003777 0.0003508
262.0317148 0.0002781 0.0003256 0.0003256 0.0003324 0.0003189
262.0415481 0.0003217 0.0003491 0.0003354 0.0003423 0.0003149
262.0513813 0.0003341 0.0003409 0.0003273 0.0003341 0.0003273
262.0612046 0.0003573 0.0003506 0.0002967 0.0003304 0.0003304
262.0710378 0.0002971 0.0003714 0.0003309 0.0004187 0.0003714
262.0808711 0.0003929 0.0004064 0.0003996 0.0004132 0.0004200
262.0906943 0.0004019 0.0003678 0.0004155 0.0004496 0.0004427
262.1005276 0.0002921 0.0003804 0.0003465 0.0003397 0.0003737
262.1103608 0.0003388 0.0004744 0.0003863 0.0004473 0.0003117
262.1201841 0.0003678 0.0003542 0.0002452 0.0004291 0.0003951
262.1300173 0.0002950 0.0003087 0.0003979 0.0002538 0.0003156
262.1398506 0.0002794 0.0003271 0.0003066 0.0003816 0.0003066
262.1496738 0.0003962 0.0004231 0.0002619 0.0003828 0.0003559
262.1595071 0.0004275 0.0003607 0.0003607 0.0004342 0.0003607
262.1693403 0.0003100 0.0003976 0.0002965 0.0003032 0.0003032
262.1791636 0.0004066 0.0003659 0.0004608 0.0003998 0.0002914
262.1889968 0.0003069 0.0003342 0.0003683 0.0004364 0.0003205
262.1988301 0.0002588 0.0002929 0.0003746 0.0003269 0.0003542
262.2086533 0.0003141 0.0002800 0.0003756 0.0002868 0.0003073
262.2184866 0.0003300 0.0003300 0.0002612 0.0003437 0.0003643
262.2283198 0.0002965 0.0002552 0.0001793 0.0002345 0.0002759
262.2381131 0.0002605 0.0003976 0.0003428 0.0002811 0.0003634
262.2479463 0.0003498 0.0003223 0.0003840 0.0002949 0.0003772
262.2577796 0.0002892 0.0003098 0.0003442 0.0003924 0.0003098
262.2676028 0.0003241 0.0004068 0.0002827 0.0003448 0.0003517
262.2774361 0.0003435 0.0004329 0.0003641 0.0004603 0.0003710
262.2872694 0.0004466 0.0004741 0.0004604 0.0004191 0.0004466
262.2970926 0.0003154 0.0003223 0.0003840 0.0004595 0.0004389
262.3069259 0.0003903 0.0003766 0.0003971 0.0003971 0.0004382
262.3167591 0.0003979 0.0003361 0.0003156 0.0004253 0.0004047
262.3265824 0.0003105 0.0003381 0.0002553 0.0003381 0.0002484
262.3364156 0.0003321 0.0004151 0.0003597 0.0003943 0.0003459
262.3462489 0.0002554 0.0003451 0.0002209 0.0002899 0.0003382
262.3560421 0.0003731 0.0003800 0.0003869 0.0004214 0.0004353
262.3658754 0.0003877 0.0003877 0.0003531 0.0004085 0.0004085
262.3757086 0.0003819 0.0003611 0.0003680 0.0004097 0.0004305
262.3855319 0.0003171 0.0004619 0.0004481 0.0004412 0.0004550
