# wl 	 %tx
 247.54220  0.14628
 247.56350  0.14428
 247.58478  0.14493
 247.60609  0.14459
 247.62738  0.14497
 247.64867  0.14228
 247.66997  0.14351
 247.69127  0.14445
 247.71256  0.14383
 247.73385  0.14400
 247.75515  0.14389
 247.77644  0.14464
 247.79772  0.14534
 247.81903  0.14504
 247.84031  0.14367
 247.86161  0.14513
 247.88290  0.14296
 247.90420  0.14405
 247.92549  0.14321
 247.94678  0.14389
 247.96806  0.14451
 247.98937  0.14340
 248.01065  0.14335
 248.03196  0.14159
 248.05324  0.14386
 248.07452  0.14198
 248.09583  0.14284
 248.11711  0.14288
 248.13839  0.14305
 248.15970  0.14294
 248.18098  0.14336
 248.20227  0.14205
 248.22357  0.14216
 248.24485  0.14303
 248.26614  0.14186
 248.28743  0.14287
 248.30872  0.14265
 248.33001  0.14143
 248.35129  0.14229
 248.37260  0.14052
 248.39388  0.14166
 248.41516  0.14314
 248.43645  0.14251
 248.45773  0.14350
 248.47904  0.14408
 248.50032  0.14266
 248.52160  0.14330
 248.54289  0.14251
 248.56417  0.14334
 248.58545  0.14364
 248.60674  0.14340
 248.62803  0.14416
 248.64932  0.14369
 248.67061  0.14252
 248.69189  0.14249
 248.71319  0.14314
 248.73447  0.14396
 248.75576  0.14457
 248.77704  0.14244
 248.79832  0.14171
 248.81961  0.14256
 248.84089  0.14357
 248.86217  0.14399
 248.88347  0.14498
 248.90473  0.14480
 248.92602  0.14479
 248.94730  0.14378
 248.96859  0.14347
 248.98988  0.14583
 249.01116  0.14733
 249.03245  0.14718
 249.05373  0.14664
 249.07501  0.14747
 249.09629  0.14766
 249.11757  0.14754
 249.13886  0.14763
 249.16014  0.14757
 249.18142  0.14826
 249.20270  0.14883
 249.22398  0.14806
 249.24526  0.14925
 249.26655  0.14800
 249.28782  0.14866
 249.30911  0.14730
 249.33039  0.14742
 249.35166  0.14699
 249.37295  0.14681
 249.39423  0.14784
 249.41551  0.14913
 249.43679  0.14720
 249.45807  0.14788
 249.47934  0.14901
 249.50063  0.14814
 249.52191  0.14617
 249.54318  0.14909
 249.56446  0.14788
 249.58574  0.14823
 249.60702  0.14792
 249.62829  0.14919
 249.64958  0.14924
 249.67085  0.14872
 249.69214  0.14830
 249.71340  0.14931
 249.73468  0.14900
 249.75596  0.14806
 249.77724  0.14758
 249.79852  0.14843
 249.81980  0.14640
 249.84106  0.14773
 249.86234  0.14769
 249.88362  0.14861
 249.90489  0.14711
 249.92618  0.14769
 249.94744  0.14799
 249.96872  0.14788
 249.99000  0.14618
 250.01127  0.14708
 250.03254  0.14715
 250.05383  0.14722
 250.07510  0.14827
 250.09637  0.14808
 250.11763  0.14845
 250.13892  0.14764
 250.16019  0.14892
 250.18147  0.14820
 250.20273  0.14836
 250.22401  0.14676
