# wl 	 tx
369.0733282 0.1968519
369.0940058 0.2000301
369.1146533 0.2016845
369.1353309 0.2024429
369.1559785 0.2019821
369.1766660 0.2028762
369.1973136 0.2032118
369.2179611 0.2042711
369.2386387 0.2044793
369.2592863 0.2055721
369.2799338 0.2061929
369.3006114 0.2068693
369.3212590 0.2071687
369.3419365 0.2085263
369.3625841 0.2081548
369.3832317 0.2094846
369.4039092 0.2100664
369.4245568 0.2108020
369.4452044 0.2115156
369.4658519 0.2114713
369.4865295 0.2135851
369.5071771 0.2137802
369.5278347 0.2134680
369.5485122 0.2156282
369.5691598 0.2157514
369.5898074 0.2164710
369.6104550 0.2176595
369.6311325 0.2177453
369.6517801 0.2187370
369.6724277 0.2196006
369.6930753 0.2194078
369.7137528 0.2204758
369.7344004 0.2207265
369.7550480 0.2225676
369.7756956 0.2227502
369.7963432 0.2239200
369.8170207 0.2237482
369.8376683 0.2238230
369.8583159 0.2244780
369.8789635 0.2263302
369.8996111 0.2255708
369.9202587 0.2267621
369.9409462 0.2270340
369.9615938 0.2274405
369.9822414 0.2275468
370.0028890 0.2284997
370.0235366 0.2284415
370.0441842 0.2288849
370.0648318 0.2291417
370.0854794 0.2305460
370.1061270 0.2294941
370.1268046 0.2304149
370.1474522 0.2287615
370.1680998 0.2304344
370.1887473 0.2309541
370.2093949 0.2310042
370.2300425 0.2302999
370.2506901 0.2300477
370.2713377 0.2302074
370.2919853 0.2305098
370.3126329 0.2306214
370.3332805 0.2292670
370.3539281 0.2295426
370.3745757 0.2301415
370.3952333 0.2293280
370.4158809 0.2298210
370.4365285 0.2301452
370.4571761 0.2289818
370.4778237 0.2282015
370.4984714 0.2283794
370.5191190 0.2272819
370.5397666 0.2269800
370.5603842 0.2275285
370.5810318 0.2256772
370.6016794 0.2252077
370.6223270 0.2247572
370.6429746 0.2244396
370.6636222 0.2239347
370.6842698 0.2230233
370.7049174 0.2225840
370.7255651 0.2224540
370.7461827 0.2200028
370.7668303 0.2206983
370.7874779 0.2194331
370.8081255 0.2189165
370.8287731 0.2179109
370.8494207 0.2171239
370.8700384 0.2175207
370.8906860 0.2154008
370.9113336 0.2155202
370.9319812 0.2149545
370.9526288 0.2131039
370.9732465 0.2126988
370.9938941 0.2115896
371.0145517 0.2107211
371.0351993 0.2107203
371.0558170 0.2097818
371.0764646 0.2084777
371.0971122 0.2083208
371.1177598 0.2068369
371.1383775 0.2067231
371.1590251 0.2062948
371.1796727 0.2054864
371.2002904 0.2035285
371.2209380 0.2036181
371.2415856 0.2024201
371.2622032 0.2017126
371.2828509 0.2012081
371.3034985 0.2008442
371.3241161 0.2000127
371.3447638 0.1998177
371.3654114 0.1987306
371.3860290 0.1976686
371.4066767 0.1980135
371.4273243 0.1964819
371.4479419 0.1959510
371.4685896 0.1961827
371.4892072 0.1949775
371.5098549 0.1948189
371.5305025 0.1943104
371.5511201 0.1926128
371.5717678 0.1930295
371.5923854 0.1926636
371.6130331 0.1921138
371.6336507 0.1917459
371.6542984 0.1912946
371.6749160 0.1905419
371.6955636 0.1909944
371.7161813 0.1902654
371.7368289 0.1898061
371.7574466 0.1894834
371.7780942 0.1893827
371.7987119 0.1885330
371.8193595 0.1892109
371.8399772 0.1890574
371.8606248 0.1885109
371.8812425 0.1885323
371.9018901 0.1883834
371.9225078 0.1876404
371.9431554 0.1883543
371.9637731 0.1879368
371.9843908 0.1874833
372.0050384 0.1877537
372.0256561 0.1876171
372.0463037 0.1872442
372.0669214 0.1875992
372.0875390 0.1878545
372.1081867 0.1876426
372.1288044 0.1880681
372.1494520 0.1875890
372.1700697 0.1877183
