# wl center_tx left_tx right_tx top_tx bottom_tx
369.0733282 0.1968519 0.2077210 0.1973468 0.1993626 0.2038687
369.0940058 0.2000301 0.2116792 0.2007469 0.2026577 0.2077771
369.1146533 0.2016845 0.2143412 0.2021189 0.2041086 0.2099078
369.1353309 0.2024429 0.2156321 0.2029005 0.2050865 0.2114128
369.1559785 0.2019821 0.2149367 0.2024884 0.2046768 0.2106298
369.1766660 0.2028762 0.2159893 0.2034362 0.2055331 0.2118273
369.1973136 0.2032118 0.2162888 0.2037882 0.2057903 0.2121834
369.2179611 0.2042711 0.2177854 0.2047277 0.2067678 0.2134483
369.2386387 0.2044793 0.2179972 0.2048125 0.2068439 0.2136924
369.2592863 0.2055721 0.2191740 0.2059723 0.2079674 0.2149386
369.2799338 0.2061929 0.2200231 0.2066018 0.2082881 0.2157749
369.3006114 0.2068693 0.2207183 0.2077132 0.2090365 0.2165169
369.3212590 0.2071687 0.2210004 0.2076475 0.2092875 0.2165922
369.3419365 0.2085263 0.2225056 0.2089717 0.2105140 0.2181452
369.3625841 0.2081548 0.2215170 0.2087086 0.2100904 0.2171755
369.3832317 0.2094846 0.2230174 0.2097844 0.2112475 0.2184756
369.4039092 0.2100664 0.2239985 0.2104861 0.2117997 0.2193204
369.4245568 0.2108020 0.2247585 0.2114780 0.2129338 0.2199685
369.4452044 0.2115156 0.2257365 0.2121218 0.2137524 0.2207059
369.4658519 0.2114713 0.2253931 0.2120877 0.2134792 0.2202997
369.4865295 0.2135851 0.2277176 0.2140987 0.2154835 0.2225103
369.5071771 0.2137802 0.2276233 0.2142623 0.2156537 0.2222402
369.5278347 0.2134680 0.2269127 0.2141001 0.2153406 0.2215633
369.5485122 0.2156282 0.2293150 0.2162508 0.2174869 0.2238890
369.5691598 0.2157514 0.2294018 0.2164362 0.2178555 0.2237502
369.5898074 0.2164710 0.2304962 0.2173623 0.2187250 0.2245367
369.6104550 0.2176595 0.2316190 0.2184286 0.2196949 0.2252687
369.6311325 0.2177453 0.2313561 0.2181691 0.2194536 0.2247366
369.6517801 0.2187370 0.2320493 0.2192067 0.2206027 0.2255352
369.6724277 0.2196006 0.2330599 0.2202838 0.2218429 0.2265330
369.6930753 0.2194078 0.2324197 0.2203723 0.2216848 0.2258816
369.7137528 0.2204758 0.2334185 0.2214937 0.2228828 0.2267597
369.7344004 0.2207265 0.2331869 0.2216418 0.2229945 0.2263975
369.7550480 0.2225676 0.2349815 0.2234301 0.2248676 0.2277628
369.7756956 0.2227502 0.2354307 0.2237766 0.2254990 0.2276372
369.7963432 0.2239200 0.2362640 0.2249119 0.2267793 0.2282625
369.8170207 0.2237482 0.2357890 0.2249033 0.2265963 0.2276464
369.8376683 0.2238230 0.2354943 0.2250018 0.2267362 0.2272734
369.8583159 0.2244780 0.2361084 0.2258081 0.2275230 0.2274369
369.8789635 0.2263302 0.2375497 0.2276265 0.2293829 0.2288498
369.8996111 0.2255708 0.2365566 0.2269362 0.2287727 0.2275924
369.9202587 0.2267621 0.2376017 0.2283132 0.2301779 0.2283554
369.9409462 0.2270340 0.2378316 0.2287595 0.2309017 0.2282894
369.9615938 0.2274405 0.2380387 0.2293812 0.2316189 0.2282135
369.9822414 0.2275468 0.2378633 0.2294187 0.2317424 0.2277497
370.0028890 0.2284997 0.2381160 0.2302629 0.2325266 0.2279770
370.0235366 0.2284415 0.2375415 0.2302442 0.2325068 0.2273434
370.0441842 0.2288849 0.2377891 0.2307659 0.2331198 0.2272267
370.0648318 0.2291417 0.2381011 0.2313221 0.2337127 0.2271329
