# wl 	 %tx
 258.37663  0.07390
 258.39790  0.07414
 258.41918  0.07565
 258.44043  0.07615
 258.46170  0.07707
 258.48295  0.07905
 258.50423  0.07888
 258.52548  0.08002
 258.54675  0.08126
 258.56803  0.08262
 258.58928  0.08237
 258.61056  0.08322
 258.63181  0.08530
 258.65309  0.08554
 258.67433  0.08589
 258.69561  0.08869
 258.71686  0.08961
 258.73813  0.09127
 258.75938  0.09050
 258.78066  0.09187
 258.80191  0.09158
 258.82318  0.09268
 258.84443  0.09287
 258.86571  0.09265
 258.88695  0.09318
 258.90823  0.09329
 258.92948  0.09266
 258.95075  0.09189
 258.97200  0.09257
 258.99328  0.09105
 259.01452  0.08983
 259.03577  0.08888
 259.05706  0.08762
 259.07831  0.08690
 259.09958  0.08539
 259.12083  0.08449
 259.14211  0.08102
 259.16335  0.08082
 259.18460  0.07859
 259.20588  0.07756
 259.22712  0.07592
 259.24837  0.07334
 259.26965  0.07228
 259.29089  0.07019
 259.31217  0.06906
 259.33342  0.06631
 259.35467  0.06600
 259.37594  0.06399
 259.39719  0.06217
 259.41844  0.06203
 259.43971  0.05982
 259.46096  0.05939
 259.48221  0.05724
 259.50348  0.05658
 259.52473  0.05532
 259.54598  0.05531
 259.56723  0.05408
 259.58851  0.05245
 259.60976  0.05328
 259.63101  0.05244
 259.65225  0.05093
 259.67353  0.05084
 259.69478  0.05068
 259.71602  0.05079
 259.73727  0.04998
 259.75855  0.05036
 259.77979  0.04949
 259.80104  0.05053
 259.82229  0.04960
 259.84356  0.04981
 259.86481  0.04988
 259.88606  0.05000
 259.90731  0.05046
 259.92855  0.05110
 259.94980  0.05140
 259.97108  0.05117
 259.99232  0.05209
 260.01357  0.05317
 260.03482  0.05351
 260.05606  0.05420
 260.07731  0.05513
 260.09859  0.05602
 260.11984  0.05706
 260.14108  0.05838
 260.16233  0.05880
 260.18359  0.06034
 260.20483  0.06144
 260.22608  0.06312
 260.24733  0.06459
 260.26857  0.06637
 260.28982  0.06712
 260.31110  0.06853
 260.33234  0.06963
 260.35359  0.07178
 260.37484  0.07338
 260.39609  0.07459
 260.41733  0.07475
 260.43858  0.07815
 260.45983  0.07985
 260.48107  0.08041
 260.50232  0.08126
 260.52357  0.08271
 260.54481  0.08355
 260.56606  0.08503
 260.58731  0.08502
 260.60856  0.08626
 260.62980  0.08626
 260.65105  0.08589
 260.67230  0.08679
 260.69354  0.08660
 260.71479  0.08624
 260.73604  0.08607
 260.75728  0.08633
 260.77853  0.08609
 260.79978  0.08502
 260.82103  0.08465
 260.84224  0.08367
 260.86349  0.08409
 260.88474  0.08398
 260.90598  0.08290
 260.92723  0.08222
 260.94848  0.08118
 260.96972  0.08177
 260.99097  0.08174
 261.01222  0.08096
 261.03344  0.08096
 261.05468  0.08032
 261.07593  0.08048
 261.09718  0.08049
 261.11842  0.07988
 261.13968  0.08123
 261.16093  0.08043
 261.18214  0.08138
 261.20339  0.08120
 261.22464  0.08169
 261.24589  0.08196
 261.26713  0.08272
 261.28835  0.08401
 261.30960  0.08352
 261.33084  0.08472
 261.35209  0.08606
 261.37334  0.08638
 261.39455  0.08721
 261.41580  0.08881
 261.43705  0.08956
 261.45829  0.09062
 261.47951  0.09165
 261.50076  0.09263
 261.52201  0.09302
 261.54322  0.09333
 261.56447  0.09508
 261.58572  0.09568
 261.60696  0.09643
 261.62818  0.09690
 261.64943  0.09730
 261.67068  0.09792
 261.69189  0.09840
 261.71314  0.09949
 261.73439  0.09902
 261.75560  0.09883
 261.77685  0.09792
 261.79810  0.09874
 261.81931  0.09743
 261.84056  0.09720
 261.86181  0.09719
 261.88303  0.09600
 261.90427  0.09485
 261.92549  0.09359
 261.94674  0.09240
 261.96798  0.09167
 261.98920  0.09025
 262.01045  0.08960
 262.03166  0.08797
 262.05291  0.08691
 262.07416  0.08637
 262.09538  0.08490
 262.11662  0.08322
 262.13784  0.08256
 262.15909  0.08121
 262.18030  0.08013
 262.20155  0.07997
 262.22277  0.07812
 262.24401  0.07832
 262.26523  0.07674
 262.28648  0.07698
 262.30770  0.07501
 262.32894  0.07475
 262.35016  0.07465
 262.37141  0.07402
 262.39262  0.07345
 262.41387  0.07412
 262.43509  0.07308
 262.45633  0.07348
 262.47755  0.07387
 262.49880  0.07310
 262.52002  0.07283
 262.54126  0.07313
 262.56248  0.07327
 262.58370  0.07306
 262.60494  0.07402
 262.62616  0.07449
 262.64741  0.07505
 262.66863  0.07517
 262.68984  0.07599
 262.71109  0.07591
 262.73231  0.07711
 262.75355  0.07761
 262.77477  0.07797
 262.79599  0.07891
 262.81723  0.07916
 262.83845  0.08017
 262.85967  0.08152
 262.88092  0.08165
 262.90213  0.08241
 262.92335  0.08335
 262.94460  0.08322
 262.96581  0.08401
 262.98703  0.08468
 263.00828  0.08518
 263.02949  0.08642
 263.05071  0.08727
 263.07193  0.08744
 263.09318  0.08780
 263.11439  0.08854
 263.13560  0.08830
 263.15682  0.08851
 263.17806  0.08915
 263.19928  0.08817
 263.22050  0.08914
 263.24172  0.08855
 263.26296  0.08907
 263.28418  0.08902
 263.30540  0.08849
 263.32661  0.08871
 263.34783  0.08851
 263.36908  0.08830
 263.39029  0.08708
 263.41151  0.08785
 263.43273  0.08723
 263.45395  0.08758
 263.47516  0.08728
 263.49641  0.08691
 263.51763  0.08561
 263.53884  0.08639
 263.56006  0.08604
 263.58128  0.08589
 263.60250  0.08215
 263.62371  0.08385
 263.64496  0.08578
 263.66618  0.08629
 263.68739  0.08365
 263.70861  0.08600
 263.72983  0.08580
 263.75104  0.08558
 263.77226  0.08732
 263.79348  0.08732
 263.81470  0.08669
 263.83591  0.08845
 263.85713  0.08812
 263.87835  0.08853
 263.89956  0.08956
 263.92078  0.09005
 263.94200  0.09140
 263.96322  0.09149
 263.98443  0.09215
 264.00565  0.09113
 264.02687  0.09408
 264.04808  0.09577
 264.06929  0.09633
 264.09051  0.09728
 264.11173  0.09919
 264.13294  0.10045
 264.15416  0.10104
 264.17538  0.10275
 264.19659  0.10366
 264.21781  0.10463
 264.23903  0.10491
 264.26024  0.10744
 264.28146  0.10800
 264.30268  0.10858
 264.32390  0.10985
 264.34511  0.11040
 264.36633  0.11146
 264.38752  0.11286
 264.40873  0.11237
 264.42995  0.11214
 264.45117  0.11278
 264.47239  0.11315
 264.49360  0.11236
 264.51482  0.11245
 264.53604  0.11263
 264.55722  0.11306
 264.57844  0.11228
 264.59966  0.11164
 264.62088  0.11103
 264.64209  0.11008
 264.66328  0.11006
 264.68450  0.10846
 264.70570  0.10737
 264.72692  0.10732
 264.74814  0.10630
 264.76933  0.10528
 264.79054  0.10474
 264.81176  0.10403
 264.83298  0.10326
 264.85416  0.10275
 264.87538  0.10169
 264.89660  0.10124
 264.91781  0.10096
 264.93900  0.09926
 264.96022  0.09925
 264.98144  0.09830
 265.00265  0.09784
 265.02384  0.09759
 265.04506  0.09807
 265.06627  0.09779
 265.08746  0.10054
 265.10868  0.10141
 265.12990  0.09770
 265.15108  0.09761
 265.17230  0.09732
 265.19352  0.09693
 265.21469  0.09760
 265.23591  0.09803
 265.25713  0.09796
 265.27832  0.09862
 265.29953  0.09883
 265.32072  0.09906
 265.34194  0.09979
 265.36315  0.10001
 265.38434  0.10112
 265.40556  0.10139
 265.42675  0.10221
 265.44796  0.10188
 265.46915  0.10275
 265.49037  0.10315
 265.51158  0.10389
 265.53277  0.10439
 265.55399  0.10462
 265.57518  0.10489
 265.59639  0.10500
 265.61757  0.10588
 265.63879  0.10556
 265.65997  0.10565
 265.68119  0.10546
 265.70238  0.10600
 265.72360  0.10489
 265.74478  0.10471
 265.76600  0.10440
 265.78719  0.10341
 265.80840  0.10175
 265.82959  0.10148
 265.85081  0.10079
 265.87200  0.09961
 265.89318  0.09828
 265.91440  0.09813
 265.93559  0.09646
 265.95680  0.09480
 265.97799  0.09361
 265.99921  0.09299
 266.02039  0.09126
 266.04157  0.09027
 266.06279  0.08897
 266.08398  0.08798
 266.10516  0.08625
 266.12638  0.08507
 266.14757  0.08317
 266.16879  0.08255
 266.18997  0.08085
 266.21116  0.07980
 266.23238  0.07880
 266.25356  0.07753
 266.27475  0.07671
 266.29597  0.07613
 266.31716  0.07549
 266.33834  0.07515
 266.35952  0.07378
 266.38074  0.07382
 266.40192  0.07338
 266.42311  0.07236
 266.44433  0.07226
 266.46552  0.07151
 266.48670  0.07159
 266.50789  0.07188
 266.52911  0.07130
 266.55029  0.07182
 266.57148  0.07158
 266.59267  0.07226
 266.61389  0.07204
 266.63507  0.07271
 266.65626  0.07396
 266.67744  0.07415
 266.69862  0.07372
 266.71984  0.07476
 266.74103  0.07511
 266.76222  0.07665
 266.78340  0.07729
 266.80459  0.07899
 266.82578  0.07938
 266.84699  0.08099
 266.86818  0.08269
 266.88937  0.08507
 266.91056  0.08666
 266.93174  0.08770
 266.95292  0.08931
 266.97411  0.09221
 266.99529  0.09409
 267.01648  0.09674
 267.03770  0.09897
 267.05889  0.10153
 267.08007  0.10470
 267.10126  0.10761
 267.12245  0.11079
 267.14364  0.11398
 267.16482  0.11684
 267.18601  0.12000
 267.20720  0.12347
 267.22838  0.12715
 267.24956  0.13014
 267.27075  0.13325
 267.29194  0.13659
 267.31312  0.13979
 267.33431  0.14181
 267.35550  0.14456
 267.37668  0.14733
 267.39787  0.14794
 267.41906  0.15011
 267.44025  0.15087
 267.46143  0.15176
 267.48262  0.15179
 267.50380  0.15156
 267.52498  0.15090
 267.54617  0.14955
 267.56736  0.14810
 267.58855  0.14634
 267.60973  0.14626
 267.63089  0.14246
 267.65208  0.13994
 267.67326  0.13720
 267.69445  0.13402
 267.71564  0.13144
 267.73683  0.12917
 267.75800  0.12637
 267.77919  0.12454
 267.80035  0.12132
 267.82154  0.11867
 267.84272  0.11611
 267.86391  0.11256
 267.88510  0.11119
 267.90628  0.10916
 267.92744  0.10652
 267.94863  0.10532
 267.96982  0.10320
 267.99099  0.10149
 268.01218  0.09956
 268.03334  0.09842
 268.05452  0.09724
 268.07571  0.09623
 268.09690  0.09547
 268.11806  0.09406
 268.13924  0.09354
 268.16043  0.09265
 268.18162  0.09235
 268.20278  0.09155
 268.22395  0.09185
 268.24514  0.09171
 268.26633  0.09118
 268.28748  0.09109
 268.30867  0.09137
 268.32986  0.09119
 268.35102  0.09152
 268.37220  0.09193
 268.39339  0.09265
 268.41455  0.09380
 268.43572  0.09418
 268.45691  0.09544
 268.47807  0.09573
 268.49926  0.09655
 268.52044  0.09809
 268.54160  0.09906
 268.56279  0.10035
 268.58395  0.10192
 268.60513  0.10380
 268.62632  0.10455
 268.64747  0.10586
 268.66865  0.10863
 268.68981  0.10914
 268.71100  0.11124
 268.73219  0.11267
 268.75334  0.11467
 268.77453  0.11544
 268.79569  0.11784
 268.81687  0.11940
 268.83803  0.11987
 268.85921  0.12232
 268.88037  0.12321
 268.90155  0.12510
 268.92271  0.12656
 268.94390  0.12666
 268.96506  0.12732
 268.98624  0.12823
 269.00740  0.12829
 269.02859  0.12862
 269.04973  0.12884
 269.07092  0.12877
 269.09208  0.12819
 269.11327  0.12770
 269.13442  0.12626
 269.15558  0.12646
 269.17677  0.12464
 269.19792  0.12367
 269.21911  0.12246
 269.24026  0.12100
 269.26145  0.11982
 269.28260  0.11852
 269.30376  0.11706
 269.32495  0.11534
 269.34611  0.11331
 269.36726  0.11203
 269.38845  0.11001
 269.40961  0.10895
 269.43075  0.10732
 269.45194  0.10525
 269.47310  0.10459
 269.49426  0.10283
 269.51544  0.10214
 269.53660  0.10043
 269.55776  0.09964
 269.57895  0.09865
 269.60010  0.09658
 269.62125  0.09660
 269.64244  0.09567
 269.66359  0.09502
 269.68475  0.09387
 269.70591  0.09300
 269.72710  0.09374
 269.74825  0.09311
 269.76941  0.09290
 269.79056  0.09281
 269.81175  0.09272
 269.83290  0.09328
 269.85406  0.09274
 269.87522  0.09282
 269.89637  0.09351
 269.91756  0.09389
 269.93872  0.09457
 269.95988  0.09556
 269.98102  0.09626
 270.00218  0.09694
 270.02334  0.09764
 270.04453  0.09898
 270.06568  0.09956
 270.08684  0.10057
 270.10800  0.10243
 270.12915  0.10332
 270.15030  0.10524
 270.17146  0.10672
 270.19262  0.10901
 270.21380  0.10986
 270.23496  0.11137
 270.25612  0.11342
 270.27728  0.11497
 270.29843  0.11721
 270.31958  0.12006
 270.34074  0.12166
 270.36189  0.12373
 270.38305  0.12590
 270.40421  0.12682
 270.42537  0.12872
 270.44652  0.13098
 270.46767  0.13236
 270.48883  0.13404
 270.50999  0.13561
 270.53114  0.13693
 270.55230  0.13891
 270.57346  0.13898
 270.59461  0.14047
 270.61577  0.14116
 270.63692  0.14066
 270.65808  0.14235
 270.67923  0.14192
 270.70039  0.14149
 270.72155  0.14148
 270.74271  0.14154
 270.76386  0.14053
 270.78501  0.14047
 270.80617  0.13984
 270.82729  0.13876
 270.84845  0.13766
 270.86961  0.13662
 270.89077  0.13504
 270.91192  0.13471
 270.93308  0.13258
 270.95423  0.13190
 270.97539  0.13102
 270.99651  0.12888
 271.01767  0.12830
 271.03883  0.12768
 271.05999  0.12559
 271.08114  0.12451
 271.10229  0.12350
 271.12342  0.12226
 271.14457  0.12155
 271.16573  0.12105
 271.18689  0.12018
 271.20802  0.11973
 271.22917  0.11952
 271.25032  0.11896
 271.27148  0.11821
 271.29264  0.11788
 271.31376  0.11695
 271.33492  0.11679
 271.35608  0.11750
 271.37719  0.11744
 271.39835  0.11774
 271.41951  0.11733
 271.44067  0.11781
 271.46179  0.11883
 271.48295  0.11878
