# wl 	 tx
298.7021120 0.0016073
298.7231574 0.0016008
298.7442028 0.0016142
298.7652382 0.0016135
298.7862836 0.0016236
298.8073290 0.0016197
298.8283744 0.0016256
298.8494098 0.0016431
298.8704552 0.0016441
298.8915006 0.0016487
298.9125361 0.0016526
298.9335815 0.0016613
298.9546269 0.0016659
298.9756723 0.0016728
298.9967077 0.0016813
299.0177531 0.0016902
299.0387985 0.0016969
299.0598339 0.0017134
299.0808494 0.0017178
299.1018948 0.0017320
299.1229402 0.0017355
299.1439756 0.0017471
299.1650211 0.0017530
299.1860665 0.0017654
299.2071019 0.0017783
299.2281473 0.0017823
299.2491927 0.0018002
299.2702282 0.0018058
299.2912436 0.0018168
299.3122890 0.0018266
299.3333344 0.0018399
299.3543699 0.0018542
299.3754153 0.0018578
299.3964607 0.0018663
299.4174961 0.0018826
299.4385116 0.0018840
299.4595570 0.0018943
299.4806024 0.0019021
299.5016379 0.0019182
299.5226833 0.0019283
299.5436987 0.0019376
299.5647342 0.0019418
299.5857796 0.0019420
299.6068250 0.0019594
299.6278605 0.0019647
299.6488759 0.0019712
299.6699214 0.0019732
299.6909668 0.0019797
299.7120022 0.0019849
299.7330177 0.0019905
299.7540631 0.0019955
299.7750985 0.0019968
299.7961440 0.0020011
299.8171594 0.0020025
299.8381949 0.0020022
299.8592403 0.0020061
299.8802558 0.0020086
299.9013012 0.0020043
299.9223367 0.0020058
299.9433521 0.0020108
299.9643976 0.0020087
299.9854330 0.0020071
300.0064485 0.0020048
300.0274939 0.0020065
300.0485293 0.0020014
300.0695448 0.0019976
300.0905902 0.0019963
300.1116257 0.0019946
300.1326412 0.0019895
300.1536866 0.0019809
300.1747021 0.0019828
300.1957375 0.0019782
300.2167830 0.0019786
300.2377984 0.0019770
300.2588339 0.0019613
300.2798494 0.0019649
300.3008948 0.0019574
300.3219003 0.0019505
300.3429457 0.0019528
300.3639912 0.0019436
300.3849967 0.0019365
300.4060421 0.0019287
300.4270576 0.0019239
300.4481030 0.0019193
300.4691085 0.0019136
300.4901540 0.0019173
300.5111694 0.0019064
300.5322049 0.0019025
300.5532204 0.0018962
300.5742658 0.0018940
300.5952713 0.0018841
300.6163168 0.0018849
300.6373322 0.0018830
300.6583677 0.0018807
300.6793832 0.0018762
300.7003987 0.0018699
300.7214341 0.0018612
300.7424496 0.0018574
300.7634951 0.0018537
300.7845006 0.0018498
300.8055460 0.0018443
300.8265615 0.0018386
300.8475770 0.0018352
300.8686125 0.0018372
300.8896279 0.0018287
300.9106434 0.0018247
300.9316789 0.0018248
300.9526944 0.0018235
300.9737398 0.0018200
300.9947453 0.0018059
301.0157608 0.0018078
301.0368063 0.0018025
301.0578118 0.0017941
301.0788273 0.0017901
301.0998728 0.0017870
301.1208783 0.0017844
301.1418937 0.0017789
301.1629092 0.0017703
301.1839447 0.0017704
301.2049602 0.0017644
301.2259757 0.0017618
301.2470112 0.0017450
301.2680267 0.0017460
301.2890422 0.0017361
301.3100477 0.0017276
301.3310931 0.0017238
301.3521086 0.0017197
301.3731141 0.0017183
301.3941296 0.0017096
301.4151751 0.0016993
301.4361806 0.0016902
301.4571961 0.0016862
301.4782116 0.0016727
301.4992171 0.0016736
301.5202626 0.0016654
301.5412781 0.0016543
