# wl 	 %tx
 369.11758  0.00718
 369.13826  0.00700
 369.15890  0.00690
 369.17958  0.00683
 369.20023  0.00673
 369.22092  0.00661
 369.24156  0.00643
 369.26221  0.00627
 369.28289  0.00605
 369.30354  0.00598
 369.32418  0.00587
 369.34486  0.00578
 369.36551  0.00571
 369.38619  0.00568
 369.40683  0.00561
 369.42748  0.00561
 369.44816  0.00551
 369.46881  0.00545
 369.48945  0.00542
 369.51010  0.00543
 369.53078  0.00538
 369.55143  0.00530
 369.57208  0.00519
 369.59276  0.00509
 369.61341  0.00500
 369.63406  0.00496
 369.65470  0.00496
 369.67538  0.00489
 369.69603  0.00477
 369.71668  0.00468
 369.73733  0.00461
 369.75800  0.00450
 369.77865  0.00443
 369.79930  0.00432
 369.81995  0.00424
 369.84059  0.00419
 369.86127  0.00415
 369.88192  0.00413
 369.90257  0.00408
 369.92321  0.00400
 369.94386  0.00392
 369.96451  0.00386
 369.98520  0.00381
 370.00584  0.00379
 370.02649  0.00375
 370.04714  0.00367
 370.06779  0.00363
 370.08843  0.00361
 370.10908  0.00357
 370.12973  0.00352
 370.15038  0.00346
 370.17105  0.00340
 370.19170  0.00332
 370.21235  0.00329
 370.23300  0.00328
 370.25364  0.00325
 370.27429  0.00319
 370.29494  0.00315
 370.31559  0.00308
 370.33624  0.00304
 370.35688  0.00299
 370.37753  0.00294
 370.39818  0.00291
 370.41883  0.00286
 370.43948  0.00281
 370.46013  0.00279
 370.48078  0.00278
 370.50143  0.00272
 370.52207  0.00267
 370.54272  0.00272
 370.56337  0.00272
 370.58402  0.00264
 370.60463  0.00261
 370.62528  0.00258
 370.64593  0.00255
 370.66658  0.00250
 370.68722  0.00244
 370.70787  0.00239
 370.72852  0.00240
 370.74917  0.00237
 370.76982  0.00236
 370.79043  0.00231
 370.81108  0.00230
 370.83173  0.00225
 370.85238  0.00221
 370.87302  0.00215
 370.89367  0.00212
 370.91429  0.00208
 370.93494  0.00206
 370.95558  0.00208
 370.97623  0.00212
 370.99688  0.00211
 371.01750  0.00212
 371.03814  0.00215
 371.05880  0.00214
 371.07945  0.00214
 371.10007  0.00214
 371.12071  0.00213
 371.14136  0.00213
 371.16201  0.00212
 371.18263  0.00211
 371.20328  0.00208
 371.22392  0.00202
 371.24454  0.00193
 371.26519  0.00191
 371.28584  0.00188
 371.30645  0.00183
 371.32710  0.00180
 371.34775  0.00177
 371.36837  0.00176
 371.38901  0.00172
 371.40966  0.00171
 371.43028  0.00171
 371.45093  0.00171
 371.47157  0.00171
 371.49219  0.00169
 371.51284  0.00169
 371.53346  0.00166
 371.55410  0.00164
 371.57475  0.00163
 371.59537  0.00162
 371.61602  0.00161
 371.63664  0.00161
 371.65728  0.00160
 371.67790  0.00153
 371.69855  0.00158
 371.71917  0.00157
 371.73981  0.00158
 371.76043  0.00160
 371.78108  0.00160
 371.80170  0.00157
 371.82234  0.00154
 371.84296  0.00154
 371.86361  0.00153
 371.88423  0.00150
 371.90487  0.00148
 371.92549  0.00149
 371.94614  0.00150
 371.96676  0.00151
 371.98741  0.00147
 372.00802  0.00146
 372.02864  0.00146
 372.04929  0.00146
 372.06991  0.00144
 372.09055  0.00143
 372.11117  0.00142
 372.13179  0.00142
 372.15244  0.00140
 372.17305  0.00141
 372.19370  0.00139
 372.21432  0.00137
 372.23494  0.00136
 372.25558  0.00135
 372.27620  0.00134
 372.29682  0.00143
 372.31744  0.00131
 372.33809  0.00132
 372.35870  0.00133
 372.37932  0.00134
 372.39998  0.00132
 372.42059  0.00131
 372.44120  0.00129
 372.46182  0.00128
 372.48248  0.00128
 372.50310  0.00127
 372.52370  0.00129
 372.54432  0.00129
