Date and Time:                Fri Sep 9 16:26:56.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              312
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



290.52313	3373
290.54425	3266
290.56534	3223
290.58646	3250
290.60754	3263
290.62863	3281
290.64975	3282
290.67084	3318
290.69193	3274
290.71304	3265
290.73413	3263
290.75522	3235
290.77634	3227
290.79742	3263
290.81851	3253
290.83963	3278
290.86072	3288
290.88181	3280
290.90292	3300
290.92401	3297
290.9451	3269
290.96619	3282
290.9873	3295
291.00839	3297
291.02948	3286
291.05057	3287
291.07169	3257
291.09277	3240
291.11386	3286
291.13495	3279
291.15607	3330
291.17715	3289
291.19824	3326
291.21933	3288
291.24042	3278
291.26154	3274
291.28262	3298
291.30371	3320
291.3248	3352
291.34589	3344
291.36697	3330
291.38806	3336
291.40918	3319
291.43027	3319
291.45135	3326
291.47244	3359
291.49353	3328
291.51462	3340
291.53571	3324
291.55679	3300
291.57791	3334
291.599	3338
291.62009	3325
291.64117	3356
291.66226	3344
291.68335	3336
291.70444	3333
291.72552	3308
291.74661	3358
291.7677	3332
291.78879	3349
291.80988	3335
291.83096	3367
291.85205	3343
291.87314	3350
291.89423	3356
291.91531	3339
291.9364	3310
291.95749	3299
291.97858	3300
291.99966	3295
292.02075	3295
292.04184	3289
292.06293	3274
292.08401	3296
292.1051	3266
292.12619	3276
292.14725	3277
292.16833	3272
292.18942	3245
292.21051	3275
292.2316	3290
292.25269	3298
292.27377	3331
292.29486	3322
292.31595	3344
292.33701	3339
292.35809	3331
292.37918	3298
292.40027	3300
292.42136	3327
292.44244	3322
292.4635	3314
292.48459	3335
292.50568	3299
292.52676	3357
292.54785	3323
292.56891	3351
292.59	3347
292.61108	3390
292.63217	3363
292.65326	3329
292.67432	3358
292.6954	3383
292.71649	3425
292.73758	3411
292.75864	3450
292.77972	3478
292.80081	3464
292.82187	3505
292.84296	3531
292.86404	3543
292.8851	3561
292.90619	3532
292.92728	3580
292.94836	3596
292.96942	3606
