Date and Time:                Fri Sep 9 16:28:31.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              312
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



290.52313	3372
290.54425	3207
290.56534	3251
290.58646	3249
290.60754	3265
290.62863	3324
290.64975	3292
290.67084	3312
290.69193	3302
290.71304	3281
290.73413	3285
290.75522	3254
290.77634	3241
290.79742	3233
290.81851	3293
290.83963	3292
290.86072	3278
290.88181	3282
290.90292	3324
290.92401	3292
290.9451	3300
290.96619	3333
290.9873	3309
291.00839	3323
291.02948	3311
291.05057	3275
291.07169	3277
291.09277	3284
291.11386	3296
291.13495	3304
291.15607	3339
291.17715	3314
291.19824	3345
291.21933	3275
291.24042	3303
291.26154	3337
291.28262	3326
291.30371	3343
291.3248	3361
291.34589	3394
291.36697	3371
291.38806	3384
291.40918	3339
291.43027	3326
291.45135	3372
291.47244	3384
291.49353	3381
291.51462	3363
291.53571	3380
291.55679	3322
291.57791	3356
291.599	3366
291.62009	3357
291.64117	3346
291.66226	3405
291.68335	3369
291.70444	3339
291.72552	3362
291.74661	3369
291.7677	3397
291.78879	3381
291.80988	3406
291.83096	3382
291.85205	3385
291.87314	3364
291.89423	3380
291.91531	3375
291.9364	3373
291.95749	3322
291.97858	3346
291.99966	3316
292.02075	3315
292.04184	3310
292.06293	3303
292.08401	3302
292.1051	3328
292.12619	3309
292.14725	3323
292.16833	3312
292.18942	3318
292.21051	3312
292.2316	3357
292.25269	3348
292.27377	3366
292.29486	3383
292.31595	3386
292.33701	3399
292.35809	3376
292.37918	3345
292.40027	3362
292.42136	3373
292.44244	3369
292.4635	3379
292.48459	3385
292.50568	3374
292.52676	3364
292.54785	3372
292.56891	3379
292.59	3388
292.61108	3462
292.63217	3413
292.65326	3432
292.67432	3404
292.6954	3450
292.71649	3453
292.73758	3494
292.75864	3503
292.77972	3517
292.80081	3526
292.82187	3537
292.84296	3568
292.86404	3599
292.8851	3594
292.90619	3602
292.92728	3608
292.94836	3618
292.96942	3641
