Date and Time:                Fri Sep 9 16:27:37.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              312
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



290.52313	3351
290.54425	3242
290.56534	3226
290.58646	3243
290.60754	3259
290.62863	3293
290.64975	3286
290.67084	3264
290.69193	3298
290.71304	3260
290.73413	3254
290.75522	3215
290.77634	3219
290.79742	3193
290.81851	3243
290.83963	3224
290.86072	3233
290.88181	3249
290.90292	3282
290.92401	3257
290.9451	3235
290.96619	3259
290.9873	3235
291.00839	3222
291.02948	3218
291.05057	3204
291.07169	3162
291.09277	3198
291.11386	3198
291.13495	3201
291.15607	3197
291.17715	3229
291.19824	3208
291.21933	3181
291.24042	3197
291.26154	3186
291.28262	3231
291.30371	3214
291.3248	3240
291.34589	3236
291.36697	3215
291.38806	3219
291.40918	3221
291.43027	3201
291.45135	3229
291.47244	3231
291.49353	3237
291.51462	3215
291.53571	3210
291.55679	3219
291.57791	3216
291.599	3224
291.62009	3221
291.64117	3213
291.66226	3229
291.68335	3205
291.70444	3200
291.72552	3218
291.74661	3223
291.7677	3239
291.78879	3253
291.80988	3231
291.83096	3256
291.85205	3221
291.87314	3237
291.89423	3237
291.91531	3239
291.9364	3199
291.95749	3209
291.97858	3176
291.99966	3199
292.02075	3199
292.04184	3179
292.06293	3204
292.08401	3185
292.1051	3167
292.12619	3192
292.14725	3194
292.16833	3184
292.18942	3192
292.21051	3209
292.2316	3217
292.25269	3254
292.27377	3255
292.29486	3259
292.31595	3281
292.33701	3277
292.35809	3264
292.37918	3251
292.40027	3254
292.42136	3297
292.44244	3281
292.4635	3307
292.48459	3297
292.50568	3298
292.52676	3305
292.54785	3329
292.56891	3328
292.59	3386
292.61108	3387
292.63217	3398
292.65326	3372
292.67432	3406
292.6954	3410
292.71649	3458
292.73758	3507
292.75864	3505
292.77972	3548
292.80081	3519
292.82187	3552
292.84296	3592
292.86404	3606
292.8851	3633
292.90619	3641
292.92728	3693
292.94836	3669
292.96942	3682
