Date and Time:                Fri Sep 9 16:30:26.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              312
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



290.52313	16167
290.54425	15383
290.56534	15322
290.58646	15465
290.60754	15629
290.62863	15756
290.64975	15663
290.67084	15696
290.69193	15680
290.71304	15720
290.73413	15657
290.75522	15550
290.77634	15654
290.79742	15747
290.81851	15945
290.83963	16051
290.86072	16192
290.88181	16361
290.90292	16532
290.92401	16411
290.9451	16347
290.96619	16437
290.9873	16390
291.00839	16328
291.02948	16185
291.05057	16054
291.07169	15922
291.09277	15816
291.11386	15782
291.13495	15911
291.15607	16020
291.17715	16017
291.19824	16024
291.21933	15947
291.24042	15732
291.26154	15787
291.28262	15880
291.30371	15981
291.3248	16105
291.34589	16109
291.36697	16035
291.38806	16015
291.40918	16019
291.43027	16030
291.45135	16004
291.47244	16079
291.49353	16081
291.51462	16066
291.53571	15991
291.55679	15998
291.57791	15953
291.599	15987
291.62009	15961
291.64117	15962
291.66226	15954
291.68335	15931
291.70444	15859
291.72552	15883
291.74661	15921
291.7677	15992
291.78879	16038
291.80988	16201
291.83096	16144
291.85205	16152
291.87314	16068
291.89423	16093
291.91531	16083
291.9364	15991
291.95749	15964
291.97858	15938
291.99966	15995
292.02075	15823
292.04184	15746
292.06293	15710
292.08401	15677
292.1051	15714
292.12619	15691
292.14725	15678
292.16833	15655
292.18942	15588
292.21051	15682
292.2316	15697
292.25269	15725
292.27377	15855
292.29486	15994
292.31595	15964
292.33701	15898
292.35809	15905
292.37918	15738
292.40027	15749
292.42136	15778
292.44244	15865
292.4635	15892
292.48459	15844
292.50568	15795
292.52676	15753
292.54785	15757
292.56891	15823
292.59	15915
292.61108	15963
292.63217	15972
292.65326	15956
292.67432	15926
292.6954	15994
292.71649	16008
292.73758	16066
292.75864	16272
292.77972	16355
292.80081	16310
292.82187	16288
292.84296	16396
292.86404	16470
292.8851	16482
292.90619	16461
292.92728	16475
292.94836	16407
292.96942	16381
