Date and Time:                Fri Sep 9 17:14:58.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.16
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              384.5
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



363.44	301
363.46072	302
363.48141	300
363.50214	295
363.52283	298
363.54355	306
363.56424	307
363.58496	299
363.60565	299
363.62634	300
363.64706	293
363.66776	304
363.68848	301
363.70917	298
363.72986	300
363.75058	304
363.77127	302
363.79199	301
363.81268	306
363.83337	302
363.8541	300
363.87479	295
363.89548	301
363.9162	303
363.93689	301
363.95758	303
363.9783	301
363.99899	300
364.01968	306
364.04037	305
364.0611	302
364.08179	299
364.10248	304
364.12317	301
364.14389	301
364.16458	297
364.18527	304
364.20596	308
364.22668	299
364.24738	308
364.26807	302
364.28876	300
364.30945	305
364.33017	300
364.35086	302
364.37155	302
364.39224	304
364.41293	301
364.43362	301
364.45435	307
364.47504	298
364.49573	302
364.51642	307
364.53711	298
364.5578	297
364.57849	298
364.59918	297
364.61987	297
364.64056	305
364.66129	302
364.68198	297
364.70267	299
364.72336	305
364.74405	297
364.76474	299
364.78543	297
364.80612	300
364.82681	297
364.8475	302
364.86819	302
364.88889	297
364.90958	301
364.93027	305
364.95096	300
364.97165	302
364.99234	301
365.01303	303
365.03369	301
365.05438	303
365.07507	302
365.09576	296
365.11646	298
365.13715	301
365.15784	303
365.17853	294
365.19922	301
365.21991	297
365.24057	303
365.26126	303
365.28195	296
365.30264	300
365.32333	300
365.34402	302
365.36469	300
365.38538	302
365.40607	302
365.42676	301
365.44745	302
365.46811	298
365.4888	293
365.50949	299
365.53018	295
365.55084	305
365.57153	305
365.59222	304
365.61292	302
365.63358	302
365.65427	301
365.67496	298
365.69565	300
365.71631	296
365.737	302
365.75769	296
365.77835	300
365.79904	305
365.81973	302
365.84039	296
365.86108	307
365.88177	294
365.90244	299
365.92313	301
365.94379	301
365.96448	304
365.98517	297
366.00583	303
366.02652	304
366.04718	305
366.06787	296
366.08856	294
366.10922	302
366.12991	298
366.15057	304
366.17126	304
