Date and Time:                Fri Sep 9 17:12:22.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.16
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              384.5
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



363.44	21871
363.46072	20698
363.48141	20660
363.50214	20740
363.52283	20905
363.54355	21078
363.56424	20837
363.58496	20715
363.60565	20714
363.62634	20542
363.64706	20400
363.66776	20198
363.68848	20092
363.70917	20202
363.72986	20193
363.75058	20145
363.77127	20075
363.79199	20113
363.81268	20036
363.83337	19762
363.8541	19608
363.87479	19614
363.89548	19592
363.9162	19398
363.93689	19300
363.95758	19259
363.9783	18903
363.99899	18872
364.01968	18783
364.04037	18841
364.0611	18901
364.08179	18902
364.10248	18786
364.12317	18603
364.14389	18420
364.16458	18396
364.18527	18436
364.20596	18458
364.22668	18590
364.24738	18569
364.26807	18438
364.28876	18389
364.30945	18281
364.33017	18251
364.35086	18183
364.37155	18185
364.39224	18166
364.41293	18078
364.43362	17955
364.45435	17785
364.47504	17778
364.49573	17764
364.51642	17652
364.53711	17588
364.5578	17582
364.57849	17457
364.59918	17349
364.61987	17337
364.64056	17358
364.66129	17395
364.68198	17365
364.70267	17463
364.72336	17491
364.74405	17315
364.76474	17227
364.78543	17264
364.80612	17216
364.82681	17108
364.8475	17034
364.86819	17120
364.88889	17114
364.90958	16963
364.93027	16720
364.95096	16700
364.97165	16770
364.99234	16678
365.01303	16703
365.03369	16696
365.05438	16700
365.07507	16630
365.09576	16599
365.11646	16659
365.13715	16718
365.15784	16812
365.17853	16870
365.19922	16871
365.21991	16959
365.24057	16919
365.26126	16723
365.28195	16798
365.30264	16824
365.32333	16885
365.34402	17043
365.36469	17004
365.38538	16970
365.40607	16937
365.42676	16855
365.44745	17088
365.46811	17165
365.4888	17296
365.50949	17332
365.53018	17367
365.55084	17335
365.57153	17434
365.59222	17457
365.61292	17642
365.63358	17830
365.65427	17923
365.67496	17946
365.69565	17977
365.71631	18160
365.737	18227
365.75769	18356
365.77835	18407
365.79904	18364
365.81973	18415
