Date and Time:                Fri Sep 9 19:10:09.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.02
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              422
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



401.17471	298
401.19519	302
401.2157	306
401.23618	303
401.25665	295
401.27713	301
401.29761	301
401.31808	304
401.33859	302
401.35907	306
401.37955	298
401.40002	303
401.4205	303
401.44098	297
401.46146	306
401.48193	300
401.50241	304
401.52289	299
401.5434	301
401.56387	300
401.58435	304
401.60483	301
401.62531	301
401.64578	296
401.66626	302
401.68674	302
401.70721	297
401.72769	296
401.74817	305
401.76865	296
401.78912	301
401.8096	303
401.83008	298
401.85056	295
401.871	298
401.89148	299
401.91196	297
401.93243	304
401.95291	302
401.97339	301
401.99387	296
402.01434	299
402.03482	293
402.0553	296
402.07574	300
402.09622	303
402.1167	298
402.13718	302
402.15765	298
402.17813	298
402.19858	305
402.21906	297
402.23953	300
402.26001	303
402.28049	302
402.30093	299
402.32141	298
402.34189	299
402.36237	301
402.38281	304
402.40329	301
402.42377	299
402.44424	301
402.46469	301
402.48517	295
402.50565	305
402.52609	297
402.54657	297
402.56705	305
402.58749	300
402.60797	297
402.62845	303
402.6489	303
402.66937	298
402.68985	299
402.7103	297
402.73077	298
402.75125	298
402.7717	299
402.79218	298
402.81262	296
402.8331	301
402.85355	302
402.87402	300
402.8945	304
402.91495	300
402.93542	305
402.95587	295
402.97635	300
402.9968	297
403.01727	305
403.03772	300
403.0582	291
403.07864	298
403.09912	299
403.11957	297
403.14005	307
403.16049	300
403.18097	304
403.20142	301
403.22186	300
403.24234	299
403.26279	299
403.28326	302
403.30371	300
403.32416	299
403.34464	300
403.36508	297
403.38556	305
403.40601	304
403.42645	303
403.44693	298
403.46738	299
403.48782	303
403.5083	299
403.52875	303
403.54919	299
403.56967	297
403.59012	299
403.61057	299
403.63101	298
403.65149	304
403.67194	301
403.69238	299
403.71283	305
403.73331	302
403.75375	298
403.7742	296
403.79465	300
403.81512	301
403.83557	298
403.85602	298
403.87646	302
