Date and Time:                Fri Sep 9 19:07:40.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.02
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              422
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



401.17471	24203
401.19519	23036
401.2157	23129
401.23618	23207
401.25665	23334
401.27713	23288
401.29761	23294
401.31808	23229
401.33859	23241
401.35907	23203
401.37955	23222
401.40002	23164
401.4205	23080
401.44098	23200
401.46146	23233
401.48193	23274
401.50241	23235
401.52289	23339
401.5434	23160
401.56387	23196
401.58435	23105
401.60483	23122
401.62531	23199
401.64578	23139
401.66626	23102
401.68674	23031
401.70721	23031
401.72769	22936
401.74817	22979
401.76865	23021
401.78912	23067
401.8096	23144
401.83008	23167
401.85056	23107
401.871	22965
401.89148	22954
401.91196	23090
401.93243	23131
401.95291	23278
401.97339	23310
401.99387	23224
402.01434	23215
402.03482	23225
402.0553	23264
402.07574	23189
402.09622	23249
402.1167	23246
402.13718	23243
402.15765	23190
402.17813	23172
402.19858	23197
402.21906	23241
402.23953	23254
402.26001	23161
402.28049	23129
402.30093	23154
402.32141	23084
402.34189	23075
402.36237	23123
402.38281	23175
402.40329	23168
402.42377	23217
402.44424	23265
402.46469	23263
402.48517	23154
402.50565	23285
402.52609	23291
402.54657	23200
402.56705	23181
402.58749	23223
402.60797	23195
402.62845	23064
402.6489	22988
402.66937	23000
402.68985	23033
402.7103	23050
402.73077	23021
402.75125	22942
402.7717	23010
402.79218	22985
402.81262	22946
402.8331	22931
402.85355	22959
402.87402	23033
402.8945	23159
402.91495	23054
402.93542	23031
402.95587	22938
402.97635	22928
402.9968	22895
403.01727	22925
403.03772	22936
403.0582	23017
403.07864	23057
403.09912	22936
403.11957	22883
403.14005	22853
403.16049	22991
403.18097	23004
403.20142	23035
403.22186	23017
403.24234	23050
403.26279	23043
403.28326	23009
403.30371	23146
403.32416	23072
403.34464	23128
403.36508	23161
403.38556	23160
403.40601	23195
403.42645	23203
403.44693	23272
403.46738	23307
403.48782	23259
403.5083	23243
403.52875	23189
403.54919	23199
