# wl 	 %tx
 192.03805  0.06849
 192.05961  0.06649
 192.08116  0.06770
 192.10272  0.06929
 192.12429  0.06767
 192.14585  0.06590
 192.16743  0.06642
 192.18899  0.06795
 192.21054  0.06865
 192.23210  0.06790
 192.25367  0.06466
 192.27523  0.06363
 192.29679  0.06943
 192.31835  0.06763
 192.33991  0.06523
 192.36148  0.06629
 192.38303  0.07584
 192.40460  0.06371
 192.42616  0.06673
 192.44773  0.06750
 192.46927  0.06837
 192.49084  0.07533
 192.51241  0.06563
 192.53396  0.06662
 192.55552  0.06350
 192.57708  0.06687
 192.59864  0.07238
 192.62021  0.07217
 192.64175  0.07224
 192.66331  0.06628
 192.68488  0.06863
 192.70643  0.06930
 192.72800  0.06803
 192.74955  0.07458
 192.77112  0.07120
 192.79266  0.07536
 192.81423  0.07036
 192.83578  0.06871
 192.85735  0.06816
 192.87889  0.06767
 192.90047  0.07489
 192.92201  0.06843
 192.94358  0.07246
 192.96513  0.06861
 192.98670  0.07351
 193.00824  0.07274
 193.02979  0.06726
 193.05136  0.06925
 193.07290  0.07215
 193.09447  0.07533
 193.11602  0.08666
 193.13758  0.08423
 193.15914  0.07229
 193.18069  0.07560
 193.20224  0.07466
 193.22381  0.07445
 193.24535  0.07157
 193.26691  0.06847
 193.28847  0.07822
 193.31002  0.07475
 193.33157  0.07250
 193.35312  0.07329
 193.37469  0.07363
 193.39623  0.07353
 193.41779  0.07573
 193.43933  0.07535
 193.46090  0.07172
 193.48245  0.07456
 193.50400  0.07384
 193.52555  0.07614
 193.54710  0.07591
 193.56865  0.07478
 193.59022  0.07802
 193.61177  0.08106
 193.63332  0.07552
 193.65487  0.08095
 193.67642  0.07770
 193.69797  0.07788
 193.71951  0.07893
 193.74107  0.08165
 193.76261  0.07766
 193.78417  0.07973
 193.80572  0.07622
 193.82729  0.07965
 193.84883  0.07789
 193.87039  0.08010
 193.89193  0.07991
 193.91349  0.07920
 193.93503  0.07593
 193.95657  0.08280
 193.97812  0.07821
 193.99967  0.08341
 194.02122  0.08117
 194.04277  0.08311
 194.06432  0.08043
 194.08587  0.07994
 194.10742  0.08740
 194.12897  0.08304
 194.15052  0.08416
 194.17207  0.08288
 194.19361  0.08207
 194.21515  0.08802
 194.23671  0.07979
 194.25825  0.08607
 194.27981  0.08640
 194.30135  0.08033
 194.32289  0.07893
 194.34444  0.08290
 194.36600  0.08481
 194.38754  0.08766
 194.40908  0.08268
 194.43063  0.08323
 194.45218  0.08533
 194.47373  0.08649
 194.49526  0.08105
 194.51681  0.08571
 194.53836  0.08356
 194.55990  0.07859
 194.58144  0.08263
 194.60300  0.08204
 194.62453  0.08447
 194.64608  0.08771
 194.66763  0.08071
 194.68917  0.08238
 194.71072  0.09087
 194.73226  0.08638
 194.75380  0.08642
 194.77536  0.08421
 194.79689  0.08860
 194.81844  0.08934
 194.83997  0.10095
 194.86153  0.09024
 194.88306  0.08807
 194.90460  0.08735
 194.92614  0.09146
 194.94769  0.09048
 194.96923  0.09153
 194.99077  0.09077
 195.01231  0.09115
 195.03386  0.08709
 195.05540  0.09097
 195.07693  0.09518
 195.09849  0.08980
 195.12002  0.09447
 195.14157  0.08997
 195.16310  0.09220
 195.18464  0.09111
 195.20619  0.09297
 195.22773  0.09223
 195.24926  0.09479
 195.27081  0.09444
 195.29234  0.09633
 195.31387  0.09610
 195.33543  0.09519
 195.35696  0.09513
 195.37850  0.09230
 195.40004  0.09439
 195.42158  0.10131
 195.44311  0.09835
 195.46465  0.09835
 195.48618  0.09792
 195.50774  0.10076
 195.52927  0.09734
 195.55081  0.10159
 195.57234  0.09824
 195.59388  0.10058
 195.61543  0.09880
 195.63697  0.10019
 195.65850  0.09968
 195.68004  0.10294
 195.70157  0.10537
 195.72311  0.10649
 195.74464  0.10135
 195.76618  0.10747
 195.78771  0.10028
 195.80925  0.10188
 195.83079  0.10331
 195.85232  0.10477
 195.87386  0.11142
 195.89539  0.10684
 195.91693  0.10463
 195.93846  0.10323
 195.96000  0.10686
 195.98153  0.10827
 196.00307  0.10564
 196.02460  0.10910
 196.04613  0.11275
 196.06766  0.10959
 196.08920  0.11340
 196.11073  0.10844
 196.13227  0.10984
 196.15380  0.11239
 196.17534  0.11177
 196.19687  0.11257
 196.21841  0.11047
 196.23993  0.11430
 196.26147  0.11594
 196.28300  0.11067
 196.30453  0.11628
 196.32607  0.11215
 196.34760  0.11442
 196.36912  0.11062
 196.39065  0.11437
 196.41219  0.11675
 196.43372  0.11630
 196.45525  0.11833
 196.47678  0.11905
 196.49832  0.11601
 196.51983  0.11779
 196.54137  0.11886
 196.56290  0.11902
 196.58444  0.12053
 196.60596  0.11816
 196.62750  0.12111
 196.64901  0.12171
 196.67055  0.12256
 196.69208  0.12528
 196.71361  0.12281
 196.73514  0.12620
 196.75668  0.12620
 196.77819  0.12445
 196.79973  0.12505
 196.82125  0.12533
 196.84278  0.12933
 196.86430  0.12707
 196.88583  0.12895
 196.90736  0.12780
 196.92889  0.13122
 196.95041  0.13070
 196.97194  0.12550
 196.99347  0.12735
 197.01500  0.12920
 197.03652  0.13126
 197.05805  0.12942
 197.07958  0.12657
 197.10109  0.13421
 197.12263  0.13217
 197.14415  0.13247
 197.16569  0.13046
 197.18720  0.13553
 197.20873  0.13370
 197.23026  0.13334
 197.25178  0.14224
 197.27330  0.13752
 197.29484  0.13664
 197.31635  0.14018
 197.33788  0.13771
 197.35941  0.13676
 197.38093  0.14138
 197.40245  0.13928
 197.42397  0.14581
 197.44550  0.14426
 197.46702  0.14548
 197.48854  0.14274
 197.51006  0.14044
 197.53158  0.14590
 197.55311  0.14482
 197.57464  0.14538
 197.59615  0.14523
 197.61768  0.15031
 197.63919  0.14357
 197.66072  0.15007
 197.68223  0.14729
 197.70377  0.14876
 197.72529  0.15282
 197.74681  0.15417
 197.76833  0.15335
 197.78985  0.15487
 197.81137  0.15291
 197.83289  0.15404
 197.85441  0.15479
 197.87593  0.15700
 197.89745  0.15681
 197.91897  0.15788
 197.94049  0.16003
 197.96201  0.15667
 197.98352  0.15747
 198.00505  0.16129
 198.02656  0.16153
 198.04809  0.15981
 198.06960  0.16360
 198.09113  0.16120
 198.11263  0.16376
 198.13414  0.16336
 198.15567  0.16489
 198.17718  0.16725
 198.19871  0.16775
 198.22022  0.16842
 198.24175  0.16428
 198.26325  0.16290
 198.28477  0.16530
 198.30629  0.16491
 198.32781  0.16413
 198.34933  0.16201
 198.37084  0.16107
 198.39235  0.16594
 198.41388  0.16701
 198.43539  0.16675
 198.45690  0.17041
 198.47842  0.17082
 198.49994  0.17143
 198.52144  0.17940
 198.54297  0.17641
 198.56448  0.17390
 198.58599  0.17929
 198.60751  0.18295
 198.62903  0.17823
 198.65053  0.18464
 198.67205  0.18524
 198.69357  0.18678
 198.71508  0.18210
 198.73659  0.18602
 198.75810  0.18835
 198.77962  0.18842
 198.80113  0.18809
 198.82264  0.19070
 198.84415  0.19367
 198.86567  0.19235
 198.88718  0.19344
 198.90869  0.19483
 198.93020  0.19422
 198.95172  0.19367
 198.97322  0.19616
 198.99474  0.19989
 199.01624  0.19726
 199.03777  0.19982
 199.05927  0.19924
 199.08078  0.20471
 199.10229  0.20414
 199.12380  0.20791
 199.14531  0.20491
 199.16682  0.20886
 199.18832  0.21038
 199.20985  0.20884
 199.23135  0.21023
 199.25286  0.21147
 199.27436  0.21318
 199.29588  0.21112
