# wl 	 tx
192.2293989 0.0006326
192.2509409 0.0006303
192.2724630 0.0006330
192.2940051 0.0006280
192.3155472 0.0006328
192.3370893 0.0006352
192.3586414 0.0006200
192.3801835 0.0006109
192.4017056 0.0006080
192.4232476 0.0006079
192.4447897 0.0006184
192.4663318 0.0006152
192.4878639 0.0006150
192.5094060 0.0006159
192.5309481 0.0006199
192.5524902 0.0006278
192.5740223 0.0008361
192.5955644 0.0006858
192.6171065 0.0006321
192.6386486 0.0006370
192.6601707 0.0006251
192.6817128 0.0006406
192.7032648 0.0006438
192.7247870 0.0006529
192.7463290 0.0006302
192.7678612 0.0006300
192.7894032 0.0006321
192.8109453 0.0006518
192.8324675 0.0006569
192.8540096 0.0006575
192.8755517 0.0006582
192.8970838 0.0006391
192.9186259 0.0006347
192.9401580 0.0006868
192.9617001 0.0006592
192.9832222 0.0006685
193.0047643 0.0006673
193.0262964 0.0006616
193.0478385 0.0006515
193.0693606 0.0006441
193.0909127 0.0006552
193.1124348 0.0006681
193.1339770 0.0006823
193.1555091 0.0006850
193.1770512 0.0006856
193.1985733 0.0006857
193.2201054 0.0006802
193.2416475 0.0006726
193.2631697 0.0006715
193.2847118 0.0006892
193.3062439 0.0006957
193.3277760 0.0006903
193.3493181 0.0006937
193.3708402 0.0007018
193.3923724 0.0007048
193.4139145 0.0007044
193.4354366 0.0006912
193.4569687 0.0006977
193.4785108 0.0006936
193.5000330 0.0007149
193.5215651 0.0007020
193.5430972 0.0007136
193.5646394 0.0007121
193.5861615 0.0007167
193.6076936 0.0007258
193.6292158 0.0007263
193.6507579 0.0007227
193.6722900 0.0007165
193.6938121 0.0007235
193.7153443 0.0007271
193.7368664 0.0007252
193.7583985 0.0007268
193.7799407 0.0007362
193.8014728 0.0007423
193.8229949 0.0007554
193.8445271 0.0007465
193.8660492 0.0007500
193.8875814 0.0007336
193.9091035 0.0007412
193.9306356 0.0007354
193.9521578 0.0007470
193.9736899 0.0007452
193.9952221 0.0007536
194.0167642 0.0007552
194.0382863 0.0007599
194.0598185 0.0007578
194.0813406 0.0007601
194.1028728 0.0007667
194.1243949 0.0007788
194.1459071 0.0007592
194.1674392 0.0007688
194.1889614 0.0007638
194.2104935 0.0007707
194.2320157 0.0007836
194.2535478 0.0007871
194.2750800 0.0007827
194.2966021 0.0007678
194.3181343 0.0007922
194.3396564 0.0008007
194.3611886 0.0007967
194.3827007 0.0007927
194.4042229 0.0008071
194.4257550 0.0007853
194.4472772 0.0007913
194.4688093 0.0007979
194.4903315 0.0008012
194.5118437 0.0008133
194.5333758 0.0008334
194.5549080 0.0008180
194.5764301 0.0008187
194.5979423 0.0008096
194.6194745 0.0008116
194.6409966 0.0008226
194.6625288 0.0008266
194.6840410 0.0008119
194.7055631 0.0007893
194.7270953 0.0007770
194.7486075 0.0007726
194.7701296 0.0007950
194.7916618 0.0007882
194.8131740 0.0007645
194.8346962 0.0008211
194.8562283 0.0008053
194.8777405 0.0007994
194.8992727 0.0008089
194.9207848 0.0008399
194.9423070 0.0008411
194.9638392 0.0008153
194.9853514 0.0008067
195.0068735 0.0008309
195.0283857 0.0008653
195.0499179 0.0008476
195.0714301 0.0008367
195.0929522 0.0008233
195.1144644 0.0008415
195.1359966 0.0008731
195.1575088 0.0008766
195.1790310 0.0008791
195.2005432 0.0008520
195.2220753 0.0008510
195.2435875 0.0008555
195.2650997 0.0008730
195.2866319 0.0008990
195.3081441 0.0009064
195.3296663 0.0009035
195.3511785 0.0009037
195.3726906 0.0008940
195.3942228 0.0008880
195.4157350 0.0008992
195.4372472 0.0009159
195.4587694 0.0009209
195.4802816 0.0009263
195.5017938 0.0009299
195.5233260 0.0009185
195.5448382 0.0009208
195.5663504 0.0009240
195.5878726 0.0009322
195.6093848 0.0009426
195.6308970 0.0009498
195.6524092 0.0009633
195.6739214 0.0009471
195.6954536 0.0009699
195.7169658 0.0009687
195.7384780 0.0009720
195.7599902 0.0009577
195.7815024 0.0009622
195.8030346 0.0009824
195.8245468 0.0009857
195.8460590 0.0009940
195.8675712 0.0010059
195.8890834 0.0010139
195.9105956 0.0010126
195.9321078 0.0010037
195.9536200 0.0010146
195.9751322 0.0010091
195.9966544 0.0010032
196.0181666 0.0010137
196.0396789 0.0010165
196.0611911 0.0010292
196.0827033 0.0010236
196.1042155 0.0010334
196.1257277 0.0010375
196.1472399 0.0010399
196.1687521 0.0010409
196.1902644 0.0010513
196.2117766 0.0010468
196.2332788 0.0010663
196.2547910 0.0010677
196.2763032 0.0010768
196.2978155 0.0010663
196.3193277 0.0010812
196.3408399 0.0010870
196.3623521 0.0010890
196.3838643 0.0010904
196.4053766 0.0010895
196.4268788 0.0010782
196.4483910 0.0010913
196.4699032 0.0011100
196.4914155 0.0011074
196.5129277 0.0011221
196.5344399 0.0011179
196.5559322 0.0011300
196.5774444 0.0011185
196.5989566 0.0011209
196.6204688 0.0011286
196.6419711 0.0011451
196.6634833 0.0011486
196.6849955 0.0011487
196.7064878 0.0011592
196.7280000 0.0011576
196.7495122 0.0011724
196.7710245 0.0011759
196.7925267 0.0011689
196.8140390 0.0011849
196.8355312 0.0011817
196.8570434 0.0011934
196.8785557 0.0012007
196.9000579 0.0012150
196.9215702 0.0012222
196.9430824 0.0012132
196.9645746 0.0012241
196.9860869 0.0012235
197.0075891 0.0012354
197.0291014 0.0012376
197.0505936 0.0012453
197.0721059 0.0012527
197.0936081 0.0012557
197.1151204 0.0012546
197.1366126 0.0012617
197.1581249 0.0012484
197.1796271 0.0012465
197.2011394 0.0012497
197.2226316 0.0012619
197.2441439 0.0012643
197.2656461 0.0012181
197.2871384 0.0012879
197.3086506 0.0012906
197.3301529 0.0012793
197.3516651 0.0012756
197.3731574 0.0013076
197.3946597 0.0013238
197.4161719 0.0013257
197.4376642 0.0013159
197.4591664 0.0013306
197.4806787 0.0013629
197.5021710 0.0013843
197.5236732 0.0013661
197.5451855 0.0013651
197.5666777 0.0013480
197.5881800 0.0013630
197.6096723 0.0013925
197.6311845 0.0013966
197.6526868 0.0013952
197.6741791 0.0013873
197.6956813 0.0013934
197.7171736 0.0013934
197.7386859 0.0014248
197.7601881 0.0014320
197.7816804 0.0014461
197.8031827 0.0014600
197.8246750 0.0014430
197.8461772 0.0014537
197.8676695 0.0014538
197.8891818 0.0014639
197.9106841 0.0014881
197.9321763 0.0014872
197.9536786 0.0015102
197.9751709 0.0015083
197.9966732 0.0015107
198.0181655 0.0015176
198.0396677 0.0015155
198.0611600 0.0015304
198.0826623 0.0015448
198.1041546 0.0015552
198.1256569 0.0015602
198.1471491 0.0015767
198.1686414 0.0015745
198.1901437 0.0015801
198.2116360 0.0015844
198.2331383 0.0015837
198.2546306 0.0015893
198.2761329 0.0016028
198.2976152 0.0016072
