# wl 	 %tx
 178.17837  0.04869
 178.19998  0.05618
 178.22158  0.05492
 178.24317  0.05282
 178.26477  0.05141
 178.28637  0.05356
 178.30796  0.05480
 178.32957  0.05617
 178.35117  0.05943
 178.37276  0.05254
 178.39436  0.04660
 178.41596  0.05536
 178.43755  0.05618
 178.45916  0.05362
 178.48075  0.05464
 178.50235  0.05486
 178.52395  0.05574
 178.54554  0.04890
 178.56714  0.04853
 178.58874  0.05394
 178.61034  0.05053
 178.63192  0.05244
 178.65353  0.05010
 178.67511  0.05406
 178.69671  0.05500
 178.71831  0.05199
 178.73991  0.05450
 178.76150  0.05203
 178.78310  0.05397
 178.80469  0.05608
 178.82629  0.05132
 178.84789  0.05566
 178.86949  0.05672
 178.89107  0.05007
 178.91266  0.05069
 178.93426  0.05278
 178.95585  0.05196
 178.97746  0.05571
 178.99905  0.05436
 179.02063  0.05310
 179.04223  0.05488
 179.06382  0.05265
 179.08541  0.05066
 179.10702  0.05235
 179.12861  0.05189
 179.15019  0.04945
 179.17178  0.04771
 179.19338  0.05122
 179.21497  0.05457
 179.23656  0.05277
 179.25815  0.05095
 179.27975  0.05354
 179.30134  0.05154
 179.32292  0.05646
 179.34451  0.00908
 179.36612  0.05165
 179.38771  0.05424
 179.40930  0.05068
 179.43088  0.05443
 179.45247  0.05648
 179.47405  0.05573
 179.49567  0.05423
 179.51725  0.05242
 179.53884  0.05643
 179.56043  0.05034
 179.58201  0.05283
 179.60360  0.05270
 179.62519  0.05699
 179.64678  0.05409
 179.66837  0.05230
 179.68995  0.05775
 179.71154  0.04911
 179.73313  0.05443
 179.75472  0.05671
 179.77631  0.05441
 179.79790  0.05425
 179.81948  0.05163
 179.84107  0.05320
 179.86267  0.05320
 179.88425  0.05040
 179.90584  0.05090
 179.92743  0.05379
 179.94901  0.05205
 179.97060  0.05120
 179.99219  0.05216
 180.01378  0.05826
 180.03537  0.05152
 180.05695  0.05143
 180.07853  0.05166
 180.10011  0.05329
 180.12171  0.05421
 180.14329  0.05295
 180.16488  0.05263
 180.18647  0.05458
 180.20804  0.04834
 180.22962  0.05797
 180.25122  0.05292
 180.27281  0.05010
 180.29438  0.05351
 180.31597  0.05094
 180.33755  0.05043
 180.35914  0.04958
 180.38072  0.05498
 180.40231  0.05355
 180.42389  0.05269
 180.44546  0.05039
 180.46705  0.05228
 180.48864  0.05161
 180.51023  0.04660
 180.53180  0.03073
 180.55339 -0.09197
 180.57496  0.05337
 180.59655  0.05374
 180.61813  0.05278
 180.63972  0.05335
 180.66130  0.05158
 180.68287  0.05085
 180.70446  0.04974
 180.72605  0.05492
 180.74763  0.04672
 180.76921  0.05076
 180.79079  0.05239
 180.81237  0.05327
 180.83394  0.05171
 180.85553  0.04853
 180.87711  0.04970
 180.89870  0.05590
 180.92027  0.05331
 180.94185  0.05069
 180.96343  0.04998
 180.98500  0.04801
 181.00659  0.05207
 181.02816  0.05253
 181.04975  0.04448
 181.07132  0.05388
 181.09289  0.05273
 181.11448  0.05066
 181.13606  0.04619
 181.15765  0.05525
 181.17922  0.04989
 181.20079  0.05736
 181.22238  0.04947
 181.24396  0.05306
 181.26553  0.05683
 181.28710  0.04879
 181.30869  0.05261
 181.33026  0.05356
 181.35183  0.04704
 181.37343  0.04997
 181.39500  0.05161
 181.41657  0.04859
 181.43814  0.04864
 181.45971  0.05030
 181.48130  0.05026
 181.50288  0.05052
 181.52445  0.04567
 181.54602  0.05112
 181.56759  0.04882
 181.58918  0.04942
 181.61075  0.05232
 181.63233  0.05085
 181.65390  0.05183
 181.67547  0.05239
 181.69704  0.05536
 181.71861  0.05060
 181.74020  0.05125
 181.76177  0.05183
 181.78334  0.04835
 181.80491  0.05304
 181.82648  0.04858
 181.84805  0.05318
 181.86965  0.04967
 181.89122  0.05302
 181.91279  0.05989
 181.93435  0.05257
 181.95592  0.05286
 181.97749  0.05193
 181.99907  0.05014
 182.02064  0.05847
 182.04221  0.05174
 182.06378  0.04619
 182.08535  0.04892
 182.10694  0.05400
 182.12851  0.05302
 182.15008  0.05009
 182.17165  0.05245
 182.19321  0.05228
 182.21478  0.05252
 182.23636  0.05081
 182.25793  0.05168
 182.27950  0.04935
 182.30107  0.05484
 182.32263  0.05366
 182.34420  0.05293
 182.36578  0.05096
 182.38735  0.05153
 182.40891  0.05710
 182.43048  0.05204
 182.45205  0.05327
 182.47363  0.05585
 182.49519  0.04839
 182.51676  0.05342
 182.53833  0.05102
 182.55988  0.04992
 182.58146  0.04807
 182.60304  0.05159
 182.62459  0.05714
 182.64616  0.04964
 182.66774  0.05287
 182.68929  0.05528
 182.71087  0.05027
 182.73244  0.04680
 182.75400  0.05030
 182.77557  0.05505
 182.79713  0.05600
 182.81870  0.05062
 182.84026  0.04970
 182.86183  0.05830
 182.88339  0.05077
 182.90496  0.05220
 182.92652  0.05162
 182.94810  0.05570
 182.96966  0.05469
 182.99123  0.05233
 183.01278  0.04869
 183.03435  0.04804
 183.05591  0.05070
 183.07749  0.05297
 183.09905  0.05239
 183.12062  0.05147
 183.14217  0.05013
 183.16373  0.05407
 183.18531  0.05115
 183.20687  0.05203
 183.22842  0.05186
 183.24999  0.05041
 183.27155  0.04953
 183.29311  0.05449
 183.31469  0.05165
 183.33624  0.04849
 183.35780  0.05184
 183.37937  0.04700
 183.40093  0.05220
 183.42248  0.05503
 183.44405  0.05160
 183.46562  0.05241
 183.48717  0.05380
 183.50873  0.05229
 183.53029  0.05203
 183.55185  0.05091
 183.57342  0.05201
 183.59498  0.04911
 183.61654  0.05246
 183.63809  0.05519
 183.65966  0.04858
 183.68121  0.05275
 183.70278  0.05314
 183.72434  0.05200
 183.74590  0.05231
 183.76745  0.05097
 183.78902  0.05398
 183.81057  0.05040
 183.83213  0.05309
 183.85369  0.05086
 183.87524  0.05313
 183.89681  0.05376
 183.91836  0.05104
 183.93992  0.05103
 183.96148  0.05137
 183.98303  0.04844
 184.00459  0.04996
 184.02615  0.05049
 184.04771  0.05223
 184.06927  0.05187
 184.09082  0.05630
 184.11238  0.05222
 184.13394  0.05124
 184.15550  0.05453
 184.17705  0.05355
 184.19860  0.05472
 184.22015  0.04312
 184.24171  0.05151
 184.26327  0.05128
 184.28483  0.05082
 184.30639  0.05392
 184.32793  0.05332
 184.34948  0.05365
 184.37105  0.05066
 184.39260  0.05138
 184.41416  0.05318
 184.43570  0.05178
 184.45726  0.05394
 184.47881  0.04837
 184.50038  0.05196
 184.52192  0.05336
 184.54347  0.05289
 184.56503  0.04846
 184.58657  0.05187
 184.60814  0.05019
 184.62969  0.05126
 184.65123  0.04960
 184.67279  0.05464
 184.69435  0.04885
 184.71590  0.05400
 184.73745  0.05047
 184.75899  0.04774
 184.78055  0.04963
 184.80210  0.05017
 184.82365  0.05215
 184.84521  0.04851
 184.86675  0.05146
 184.88831  0.04771
 184.90985  0.05232
 184.93140  0.05039
 184.95296  0.04979
 184.97451  0.04646
 184.99605  0.05018
 185.01761  0.05064
 185.03915  0.05056
 185.06071  0.04790
 185.08225  0.04942
 185.10381  0.04783
 185.12535  0.04843
 185.14689  0.04778
 185.16845  0.04614
 185.19000  0.04804
 185.21155  0.04621
 185.23310  0.04183
 185.25464  0.04537
 185.27619  0.04360
 185.29774  0.04120
 185.31928  0.03808
 185.34084  0.04012
 185.36238  0.04278
 185.38392  0.03544
 185.40547  0.04195
 185.42703  0.03861
 185.44857  0.03898
 185.47011  0.05648
 185.49165  0.04652
 185.51321  0.04832
 185.53476  0.04424
 185.55630  0.04896
 185.57784  0.04286
 185.59938  0.04882
 185.62093  0.04567
 185.64248  0.04716
 185.66403  0.04672
 185.68557  0.04520
 185.70711  0.04941
 185.72865  0.04949
 185.75020  0.04700
 185.77174  0.05175
 185.79328  0.04563
 185.81483  0.04980
 185.83638  0.05152
 185.85793  0.05514
 185.87947  0.04819
 185.90101  0.04485
 185.92255  0.04968
 185.94409  0.04569
 185.96563  0.04923
 185.98718  0.04788
 186.00872  0.05005
 186.03026  0.04480
 186.05180  0.04821
 186.07333  0.04908
 186.09488  0.04748
 186.11642  0.04865
 186.13796  0.04963
 186.15950  0.04794
 186.18104  0.05542
 186.20259  0.04867
 186.22413  0.04641
 186.24567  0.04851
 186.26720  0.04620
 186.28874  0.04469
 186.31029  0.04964
 186.33183  0.04413
 186.35337  0.04446
 186.37490  0.04650
 186.39644  0.04863
 186.41798  0.04420
 186.43953  0.04528
 186.46105  0.04524
 186.48259  0.04393
 186.50414  0.04708
 186.52568  0.04549
 186.54721  0.04378
 186.56875  0.04652
 186.59029  0.04357
 186.61182  0.02530
 186.63336  0.05279
 186.65491  0.04641
 186.67643  0.04864
 186.69798  0.04476
 186.71950  0.04569
 186.74104  0.05251
 186.76259  0.05113
 186.78412  0.05006
 186.80566  0.04956
 186.82718  0.04609
 186.84872  0.04691
 186.87026  0.04588
 186.89180  0.05436
 186.91333  0.04987
 186.93487  0.04538
 186.95639  0.04881
 186.97794  0.04747
 186.99947  0.04846
 187.02101  0.04932
 187.04253  0.04850
 187.06407  0.04785
 187.08560  0.05040
