# wl 	 %tx
 213.14042  7.07205
 213.16189  7.37956
 213.18337  7.43883
 213.20484  7.50851
 213.22632  7.52763
 213.24778  7.49830
 213.26925  7.51656
 213.29072  7.54663
 213.31220  7.60108
 213.33367  7.62079
 213.35515  7.65938
 213.37661  7.72468
 213.39808  7.75225
 213.41956  7.73861
 213.44103  7.74318
 213.46250  7.72103
 213.48396  7.72996
 213.50544  7.74762
 213.52690  7.72361
 213.54838  7.73422
 213.56985  7.77375
 213.59133  7.77433
 213.61278  7.75717
 213.63426  7.76960
 213.65572  7.76600
 213.67719  7.75848
 213.69867  7.74567
 213.72012  7.75110
 213.74160  7.75552
 213.76307  7.79807
 213.78454  7.78677
 213.80601  7.80379
 213.82747  7.80066
 213.84894  7.83996
 213.87040  7.81832
 213.89187  7.82413
 213.91334  7.82172
 213.93481  7.79458
 213.95627  7.79694
 213.97775  7.78731
 213.99920  7.82195
 214.02068  7.84021
 214.04213  7.87838
 214.06361  7.86889
 214.08507  7.85926
 214.10655  7.83732
 214.12800  7.82664
 214.14946  7.85460
 214.17094  7.84042
 214.19240  7.81197
 214.21386  7.82471
 214.23533  7.84450
 214.25679  7.84910
 214.27825  7.83643
 214.29973  7.84085
 214.32118  7.83091
 214.34264  7.82030
 214.36411  7.80895
 214.38558  7.80375
 214.40703  7.82904
 214.42849  7.84304
 214.44997  7.85075
 214.47143  7.83896
 214.49289  7.87367
 214.51435  7.88065
 214.53582  7.90110
 214.55728  7.88340
 214.57874  7.91071
 214.60020  7.91712
 214.62166  7.96281
 214.64311  7.95940
 214.66459  7.95031
 214.68606  7.94720
 214.70751  7.93627
 214.72897  7.93869
 214.75043  7.94868
 214.77189  7.96135
 214.79335  7.99406
 214.81481  7.97983
 214.83626  7.95409
 214.85773  7.96317
 214.87918  7.96744
 214.90065  7.95690
 214.92210  7.96429
 214.94356  7.97063
 214.96503  7.91976
 214.98648  7.88854
 215.00794  7.91155
 215.02940  7.93831
 215.05086  7.91831
 215.07232  7.93733
 215.09378  7.95140
 215.11523  7.95453
 215.13670  7.94224
 215.15815  7.91811
 215.17962  7.89396
 215.20106  7.90446
 215.22252  7.92305
 215.24398  7.91480
 215.26544  7.88218
 215.28690  7.90907
 215.30835  7.89074
 215.32980  7.88639
 215.35126  7.88139
 215.37272  7.89371
 215.39417  7.86065
 215.41562  7.82818
 215.43709  7.81884
 215.45854  7.81667
 215.48000  7.86588
 215.50144  7.94012
 215.52291  7.91621
 215.54436  7.87795
 215.56581  7.87241
 215.58726  7.82645
 215.60873  7.85781
 215.63017  7.88637
 215.65163  7.87212
 215.67309  7.84650
 215.69453  7.83249
 215.71600  7.85073
 215.73743  7.84279
 215.75890  7.83382
 215.78034  7.85407
