# wl center_tx left_tx right_tx top_tx bottom_tx
232.3860335 0.0172880 0.0171337 0.0167752 0.0164097 0.0174300
232.4073968 0.0171813 0.0168653 0.0167426 0.0162285 0.0173440
232.4287602 0.0171649 0.0171640 0.0167975 0.0162921 0.0173095
232.4501135 0.0171293 0.0171602 0.0166271 0.0161912 0.0171733
232.4714769 0.0171407 0.0168090 0.0166464 0.0162269 0.0172388
232.4928602 0.0170045 0.0167661 0.0165989 0.0160806 0.0171976
232.5142136 0.0169712 0.0170221 0.0166574 0.0160603 0.0171721
232.5355769 0.0170302 0.0169986 0.0165536 0.0160817 0.0170711
232.5569403 0.0170465 0.0167806 0.0164669 0.0160661 0.0170943
232.5783036 0.0168591 0.0167106 0.0166162 0.0159940 0.0170805
232.5996770 0.0168559 0.0168709 0.0164684 0.0160208 0.0169479
232.6210403 0.0168038 0.0167972 0.0163582 0.0159591 0.0169299
232.6423937 0.0168833 0.0164983 0.0163869 0.0158543 0.0169623
232.6637570 0.0167495 0.0166139 0.0164422 0.0158571 0.0169704
232.6851204 0.0167519 0.0168050 0.0164251 0.0158944 0.0168941
232.7064837 0.0167151 0.0166557 0.0162035 0.0158089 0.0167812
232.7278371 0.0166752 0.0163865 0.0162214 0.0157130 0.0168289
232.7492004 0.0166033 0.0163576 0.0162126 0.0156817 0.0167501
232.7705638 0.0166186 0.0166563 0.0162700 0.0157368 0.0167430
232.7919371 0.0165350 0.0164795 0.0160675 0.0156197 0.0165745
232.8133005 0.0165552 0.0162342 0.0161424 0.0155799 0.0166537
232.8346639 0.0163764 0.0162908 0.0161093 0.0155252 0.0166190
232.8560172 0.0164132 0.0165327 0.0161120 0.0155171 0.0165515
232.8773806 0.0164569 0.0163430 0.0159526 0.0155208 0.0164475
232.8987439 0.0163943 0.0161276 0.0159787 0.0154763 0.0165658
232.9201073 0.0162856 0.0162047 0.0159554 0.0154802 0.0164851
232.9414607 0.0163380 0.0164153 0.0160198 0.0154896 0.0163220
232.9628240 0.0163033 0.0161756 0.0158546 0.0153692 0.0162799
232.9841874 0.0162308 0.0158900 0.0158843 0.0152657 0.0163725
233.0055308 0.0161340 0.0160449 0.0158197 0.0152370 0.0162616
233.0268941 0.0162037 0.0161850 0.0157834 0.0152567 0.0161991
233.0482575 0.0161215 0.0159521 0.0156812 0.0152353 0.0162015
233.0696109 0.0160504 0.0158152 0.0156563 0.0152036 0.0162270
233.0909742 0.0160365 0.0159888 0.0157906 0.0152016 0.0162029
233.1123376 0.0159735 0.0160724 0.0156199 0.0151478 0.0160033
233.1337009 0.0159940 0.0158352 0.0155411 0.0151311 0.0160481
233.1550643 0.0159395 0.0156201 0.0155737 0.0150278 0.0160045
233.1764177 0.0159365 0.0159030 0.0156113 0.0151059 0.0161204
233.1977611 0.0158700 0.0159273 0.0154534 0.0150368 0.0158848
233.2191244 0.0158916 0.0157418 0.0154606 0.0149769 0.0159758
233.2404878 0.0158405 0.0155648 0.0154933 0.0149595 0.0159602
233.2618512 0.0156987 0.0156615 0.0154207 0.0148553 0.0159088
233.2832145 0.0157807 0.0157826 0.0153452 0.0148610 0.0157339
233.3045679 0.0157593 0.0155495 0.0153311 0.0148823 0.0158221
233.3259213 0.0156833 0.0154128 0.0152808 0.0148446 0.0158209
233.3472747 0.0155813 0.0155506 0.0153069 0.0147675 0.0157208
233.3686380 0.0156156 0.0157261 0.0152675 0.0147709 0.0156314
233.3900014 0.0155867 0.0153963 0.0151484 0.0147287 0.0156322
233.4113448 0.0155539 0.0152276 0.0151830 0.0146981 0.0156856
233.4327082 0.0155084 0.0154109 0.0151862 0.0147100 0.0155910
233.4540716 0.0154506 0.0154886 0.0150243 0.0146665 0.0155248
233.4754149 0.0154747 0.0151970 0.0150280 0.0145508 0.0155220
233.4967683 0.0153622 0.0150812 0.0150544 0.0145015 0.0155157
233.5181317 0.0152826 0.0153537 0.0150749 0.0145018 0.0154939
233.5394751 0.0153587 0.0153514 0.0149283 0.0144352 0.0152769
233.5608385 0.0153359 0.0151060 0.0149084 0.0144643 0.0154107
233.5822018 0.0152915 0.0150057 0.0149225 0.0144064 0.0153859
233.6035452 0.0151542 0.0151020 0.0148584 0.0142815 0.0152302
233.6249086 0.0152289 0.0151977 0.0148874 0.0143949 0.0151968
233.6462720 0.0151496 0.0148766 0.0147510 0.0143132 0.0151050
233.6676154 0.0151342 0.0148705 0.0148330 0.0142919 0.0152789
233.6889788 0.0150540 0.0150057 0.0147665 0.0142024 0.0151572
