# wl center%tx left%tx right%tx top%tx bottom%tx
 255.49744 -0.00198  0.00000  0.00527 -0.00659 -0.00330
 255.51870  0.00625 -0.00278  0.00555  0.01458  0.00694
 255.53997  0.01458  0.00694  0.00625  0.00347  0.01180
 255.56122  0.00966  0.00345  0.01035  0.00483  0.00966
 255.58248  0.00000  0.00409  0.00955  0.00478  0.00000
 255.60373  0.00813 -0.00136  0.01152  0.00949  0.00474
 255.62499  0.01564  0.01632  0.01292  0.00748  0.01496
 255.64624  0.01635  0.00545  0.00613  0.00817  0.01430
 255.66749  0.00272 -0.00409  0.00341  0.00272  0.01294
 255.68875  0.01223  0.00611  0.01155  0.01291  0.00747
 255.71000  0.00272 -0.00136 -0.00204  0.00272 -0.00272
 255.73126  0.00548  0.00205  0.00411  0.00137  0.01164
 255.75251  0.00410 -0.00273  0.00615  0.00205  0.00342
 255.77377  0.01155  0.00883  0.01087  0.01902  0.01699
 255.79502  0.00542 -0.00610 -0.00203 -0.00271  0.00000
 255.81629  0.00067  0.00135  0.00674  0.00135  0.00067
 255.83754  0.00676 -0.00068 -0.00270  0.00405  0.00338
 255.85879  0.01676 -0.00402  0.01072  0.00201  0.00536
 255.88005  0.01538  0.00803  0.00602  0.00736  0.01404
 255.90130  0.00404  0.00269  0.00539  0.00135  0.00471
 255.92255 -0.00203 -0.01216 -0.00473 -0.00676 -0.00879
 255.94381  0.00202  0.00739  0.01075  0.01075  0.01008
 255.96506 -0.00134 -0.00134 -0.00134 -0.00268  0.00335
 255.98632 -0.00536  0.00603 -0.00134 -0.00268 -0.00536
 256.00757 -0.00202 -0.00202 -0.00067 -0.00605 -0.00202
 256.02882  0.01280 -0.00404  0.00943  0.00741  0.00943
 256.05008  0.00674  0.00741  0.01213  0.01348  0.00809
 256.07133  0.00611  0.00679  0.00271  0.00543  0.00136
 256.09258  0.01218  0.00338  0.00338  0.00880  0.00068
 256.11383 -0.00402 -0.00469  0.00067  0.00402 -0.00536
 256.13508  0.00399  0.00731  0.00199  0.01063  0.00664
 256.15634  0.00066 -0.00198  0.00132  0.00198  0.00331
 256.17759 -0.00264 -0.01190 -0.00397 -0.00397  0.00066
 256.19885  0.00066  0.00133  0.00465  0.00996  0.00863
 256.22010  0.01199  0.00533  0.00599  0.00133  0.00533
 256.24136  0.00730  0.00996  0.00730  0.00531  0.00996
 256.26259 -0.00329  0.00197 -0.00263  0.00197 -0.00132
 256.28384  0.00065 -0.00065  0.00916  0.00262  0.00327
 256.30510  0.00453  0.00324  0.00583 -0.00065  0.01101
 256.32635 -0.00194 -0.00065  0.00194 -0.00388  0.00065
 256.34761  0.00452  0.00323  0.00775 -0.00129  0.00388
 256.36886 -0.00194  0.00452 -0.00129  0.00323  0.01549
 256.39011  0.00322 -0.00645  0.00000 -0.00322 -0.00129
