# wl center_tx left_tx right_tx top_tx bottom_tx
261.5247382 -0.0000244 -0.0000428 -0.0000489 -0.0000367 -0.0000550
261.5459625 0.0000449 -0.0000321 0.0000064 -0.0000256 0.0000641
261.5671867 0.0000836 0.0000322 0.0000579 0.0000193 0.0000515
261.5884410 0.0000322 -0.0000258 -0.0000193 0.0000193 -0.0000386
261.6096652 0.0000898 -0.0000064 0.0000706 0.0000706 0.0000192
261.6308895 0.0000890 0.0000508 -0.0000127 0.0000318 0.0000381
261.6521138 0.0000253 0.0000253 -0.0000063 0.0000569 0.0000190
261.6733380 -0.0000446 0.0000255 0.0000319 -0.0000446 0.0001020
261.6945623 0.0000835 0.0000706 0.0000770 0.0000257 0.0000257
261.7157865 0.0000128 -0.0000321 -0.0000192 -0.0000513 -0.0000449
261.7370108 -0.0000129 -0.0000064 -0.0001286 -0.0000579 -0.0000386
261.7582351 0.0000713 -0.0000130 0.0000389 0.0000584 0.0000195
261.7794593 0.0000850 0.0000784 0.0000261 0.0001111 -0.0000261
261.8006836 0.0000195 -0.0000065 -0.0000065 0.0000714 0.0001038
261.8219478 0.0001292 0.0000452 -0.0000258 0.0000646 0.0000711
261.8431721 -0.0000709 -0.0000903 -0.0000258 -0.0000193 0.0000451
261.8643963 0.0000064 -0.0000387 -0.0000322 -0.0000258 -0.0000644
261.8856206 0.0000387 0.0000258 0.0000902 0.0000902 0.0001096
261.9068449 0.0000705 -0.0000192 0.0000769 0.0000128 0.0000641
261.9280691 0.0000064 -0.0000514 -0.0000321 0.0000064 0.0000257
261.9492934 -0.0000258 0.0000258 0.0001031 0.0001031 -0.0000129
261.9705177 0.0000192 -0.0000770 0.0000192 -0.0000321 -0.0000642
261.9917419 0.0000577 -0.0000385 -0.0000513 0.0000257 -0.0000513
262.0129662 -0.0000128 0.0000064 -0.0000641 -0.0000897 -0.0000064
262.0341905 0.0000450 0.0000064 0.0000193 0.0000514 -0.0000257
262.0554148 -0.0000577 0.0000064 -0.0000577 -0.0000577 -0.0000513
262.0766390 0.0000641 0.0000705 0.0000000 0.0000449 0.0000577
262.0978633 0.0000193 0.0000321 0.0000706 0.0000449 -0.0000449
262.1190876 0.0001280 0.0001408 -0.0000064 0.0000768 0.0000576
262.1403118 0.0000384 0.0000256 -0.0000064 0.0000320 0.0000192
262.1615361 0.0000192 0.0000192 -0.0000255 -0.0000319 -0.0000192
262.1827604 0.0000253 0.0000127 0.0000000 0.0000570 -0.0000127
262.2039847 0.0000570 0.0000316 0.0000380 0.0000000 0.0000000
262.2251790 -0.0001015 -0.0000825 -0.0000317 -0.0000825 -0.0001078
262.2464032 0.0000064 -0.0000064 0.0000127 0.0000445 0.0000318
262.2676275 0.0000508 0.0000127 -0.0000063 0.0000444 -0.0000063
262.2888518 0.0000252 -0.0000883 0.0000378 0.0000126 0.0000252
262.3100761 0.0000315 -0.0000566 -0.0000315 -0.0000692 0.0000126
262.3313003 -0.0000502 0.0000000 -0.0000314 -0.0000502 -0.0000941
262.3525246 0.0000063 0.0000314 0.0000251 0.0000188 0.0000063
262.3737489 0.0000063 0.0000377 0.0000314 0.0000377 0.0000000
262.3949732 -0.0001007 -0.0000629 -0.0001133 -0.0000441 -0.0000189
262.4161975 -0.0000506 -0.0000443 -0.0000696 -0.0000633 -0.0000949
262.4374217 0.0000190 -0.0000063 0.0000063 0.0000190 0.0000443
262.4586160 -0.0000189 -0.0000315 0.0000189 -0.0000693 0.0000189
262.4798403 -0.0000125 -0.0000437 0.0000125 0.0000000 -0.0000187
262.5010646 0.0000747 0.0000373 0.0000187 0.0000373 -0.0000062
262.5222889 0.0001058 0.0001245 0.0000125 0.0001058 0.0000498
262.5435132 0.0000312 0.0000312 0.0000125 0.0000687 0.0000250
262.5647375 -0.0000375 -0.0001499 -0.0000562 -0.0000437 -0.0000500
262.5859617 -0.0000750 -0.0000937 -0.0001000 -0.0000125 -0.0000312
262.6071560 0.0001000 0.0000188 0.0000125 0.0000438 0.0000250
262.6283803 0.0000748 0.0000561 0.0000374 -0.0000187 -0.0000187
262.6496046 -0.0000557 -0.0000495 0.0000124 -0.0000619 -0.0000062
262.6708289 0.0000618 -0.0000062 0.0000062 0.0000000 -0.0000062
262.6920532 -0.0000681 -0.0000248 -0.0000929 -0.0000433 -0.0000248
262.7132775 -0.0000062 0.0000497 0.0000062 0.0000000 -0.0000062
262.7344718 0.0000186 0.0000186 0.0000000 -0.0000062 0.0000496
262.7556961 -0.0000062 0.0000803 0.0001544 0.0000370 0.0001050
262.7769204 -0.0000306 -0.0001103 -0.0000796 0.0000000 -0.0000306
262.7981447 0.0000123 -0.0000307 0.0000430 0.0000615 0.0000000
262.8193390 0.0000061 0.0000123 -0.0000061 0.0000430 -0.0000798
262.8405633 -0.0000306 -0.0001162 0.0000245 -0.0000122 -0.0000489
262.8617876 0.0000490 0.0000368 0.0000061 -0.0000061 0.0000245
262.8830118 -0.0000183 -0.0000122 -0.0000367 0.0000489 -0.0000183
262.9042062 -0.0001039 -0.0001406 -0.0000611 -0.0000244 -0.0000611
262.9254305 0.0000307 0.0000246 -0.0000246 -0.0000184 0.0000246
262.9466548 0.0000185 -0.0000246 0.0000615 0.0000246 0.0000431
262.9678790 0.0000557 0.0000248 -0.0000372 -0.0000310 0.0000000
262.9890734 0.0000188 0.0000813 0.0000500 -0.0000500 0.0000625
263.0102977 0.0000313 0.0000000 0.0000000 -0.0000063 -0.0000063
263.0315319 0.0000251 -0.0000125 0.0000501 0.0000877 -0.0000689
263.0527562 -0.0000627 -0.0000313 -0.0000251 0.0000063 -0.0000439
263.0739406 0.0000501 0.0000438 0.0000313 0.0000689 -0.0000125
263.0951749 0.0000500 -0.0000250 -0.0000749 -0.0000625 0.0000375
263.1163992 0.0000500 0.0000438 0.0000000 0.0000688 0.0000250
263.1375935 -0.0000250 0.0000125 -0.0001127 -0.0000563 -0.0000438
263.1588178 0.0000125 0.0001000 0.0000313 0.0001125 0.0000625
263.1800421 0.0000624 0.0000500 0.0000999 0.0000187 0.0000375
263.2012364 0.0000437 -0.0000812 -0.0000125 0.0000375 -0.0000062
263.2224607 -0.0000062 -0.0000872 -0.0000436 -0.0000125 -0.0000311
263.2436850 0.0000745 0.0000621 0.0000435 0.0001242 0.0000124
263.2648793 0.0000616 0.0000493 0.0000246 0.0000739 0.0000616
263.2861036 0.0000367 0.0000000 -0.0000306 -0.0000551 0.0000122
263.3073279 -0.0000367 0.0000306 -0.0000489 -0.0000428 0.0000061
263.3285223 0.0000732 0.0000671 0.0000305 0.0000915 0.0001159
263.3497466 -0.0000122 -0.0000122 -0.0000487 0.0000122 0.0000061
