# wl center_tx left_tx right_tx top_tx bottom_tx
290.2193837 0.0000113 0.0000028 0.0000395 0.0000085 0.0000226
290.2290073 0.0000533 0.0000059 0.0000385 0.0000178 0.0000178
290.2386210 0.0000339 0.0000280 0.0000368 0.0000250 0.0000368
290.2482346 -0.0000103 -0.0000279 0.0000220 0.0000220 0.0000162
290.2578582 0.0000264 0.0000029 0.0000264 0.0000205 0.0000351
290.2674718 0.0000191 0.0000074 0.0000015 0.0000103 0.0000103
290.2771155 0.0000164 0.0000283 0.0000402 0.0000283 0.0000313
290.2867391 0.0000815 0.0000519 0.0000282 0.0000311 0.0000548
290.2963527 0.0000161 0.0000219 0.0000015 -0.0000102 -0.0000102
290.3059663 0.0000513 0.0000308 -0.0000044 0.0000396 0.0000220
290.3155800 0.0000147 0.0000000 0.0000147 0.0000059 -0.0000118
290.3252036 0.0000118 0.0000385 0.0000296 0.0000118 0.0000267
290.3348172 0.0000148 0.0000445 0.0000563 0.0000326 0.0000682
290.3444308 0.0000459 0.0000044 0.0000222 0.0000281 -0.0000192
290.3540545 0.0000134 0.0000312 0.0000104 0.0000460 0.0000342
290.3636681 0.0000478 0.0000179 0.0000179 -0.0000060 0.0000119
290.3732817 0.0000059 0.0000415 0.0000445 0.0000148 0.0000504
290.3829053 -0.0000219 -0.0000277 -0.0000160 0.0000044 0.0000160
290.3925190 0.0000189 0.0000305 0.0000422 0.0000247 0.0000422
290.4021326 0.0000044 0.0000073 0.0000454 0.0000073 0.0000865
290.4117462 0.0000207 0.0000326 0.0000237 0.0000296 0.0000355
290.4213699 0.0000431 0.0000431 0.0000134 0.0000283 0.0000372
290.4309835 0.0000283 0.0000164 -0.0000074 -0.0000223 -0.0000045
290.4405971 -0.0000030 0.0000179 0.0000119 0.0000269 0.0000000
290.4502207 0.0000045 -0.0000105 -0.0000105 -0.0000135 -0.0000135
290.4598344 0.0000241 0.0000091 0.0000181 0.0000211 -0.0000030
290.4694480 -0.0000180 0.0000330 0.0000000 -0.0000210 -0.0000180
290.4790716 0.0000464 0.0000225 0.0000524 -0.0000045 0.0000255
290.4886852 0.0000648 0.0000618 0.0000347 0.0000588 0.0000347
290.4982989 0.0000422 0.0000392 0.0000332 0.0000241 0.0000513
290.5079225 0.0000631 0.0000240 0.0000691 0.0000240 0.0000090
290.5175361 0.0000376 0.0000286 0.0000617 0.0000557 0.0000075
290.5271498 0.0000181 0.0000090 0.0000030 -0.0000211 0.0000241
290.5367634 0.0000346 0.0000346 0.0000526 0.0000346 0.0000676
290.5463870 0.0000467 -0.0000136 0.0000437 0.0000256 0.0000226
290.5560006 0.0000197 -0.0000258 -0.0000045 -0.0000106 -0.0000167
290.5656143 0.0000198 0.0000441 0.0000350 0.0000623 0.0000410
290.5752379 0.0000471 0.0000380 0.0000258 0.0000137 0.0000714
290.5848515 0.0000182 0.0000425 0.0000547 0.0000121 0.0000638
290.5944652 0.0000319 0.0000471 0.0000532 0.0000228 0.0000198
290.6040888 0.0000579 0.0000274 0.0000365 0.0000183 0.0000700
290.6137024 -0.0000030 0.0000332 0.0000121 0.0000181 0.0000453
290.6233161 0.0000105 -0.0000194 0.0000045 0.0000463 0.0000373
290.6329297 0.0000432 0.0000253 -0.0000313 0.0000283 -0.0000015
290.6425233 0.0000195 0.0000195 0.0000374 0.0000374 0.0000464
290.6521369 0.0000437 0.0000406 0.0000828 0.0000527 0.0000557
290.6617506 0.0000332 0.0000302 0.0000302 0.0000272 -0.0000060
290.6713742 0.0000000 0.0000121 0.0000060 0.0000060 -0.0000030
290.6809878 0.0000435 0.0000285 0.0000135 0.0000225 -0.0000045
290.6906015 0.0000000 -0.0000120 0.0000359 0.0000179 0.0000299
290.7002251 0.0000443 0.0000148 0.0000266 0.0000325 0.0000148
290.7098387 0.0000147 0.0000206 0.0000264 0.0000235 0.0000235
