# wl 	 %tx
 367.07230  0.00634
 367.09299  0.00132
 367.11367  0.00175
 367.13431  0.00131
 367.15499  0.00350
 367.17567  0.00219
 367.19635 -0.00175
 367.21702  0.00174
 367.23767  0.00044
 367.25835 -0.00219
 367.27903  0.00482
 367.29970  0.00175
 367.32035  0.00743
 367.34104 -0.00044
 367.36172  0.00175
 367.38236  0.00870
 367.40304  0.00261
 367.42372  0.00652
 367.44440  0.00174
 367.46504  0.00261
 367.48572  0.00130
 367.50640  0.00305
 367.52705  0.00436
 367.54772  0.00174
 367.56840  0.00480
 367.58905  0.00391
 367.60973  0.00217
 367.63041 -0.00390
 367.65106  0.00174
 367.67174  0.00434
 367.69239  0.00218
 367.71306  0.00130
 367.73374 -0.00261
 367.75439 -0.00043
 367.77507  0.00000
 367.79571  0.00652
 367.81639 -0.00044
 367.83704  0.00087
 367.85772  0.00217
 367.87839  0.00217
 367.89904 -0.00130
 367.91973  0.00000
 367.94038  0.00304
 367.96105  0.00391
 367.98170 -0.00174
 368.00238  0.00043
 368.02303  0.00304
 368.04370  0.00043
 368.06435  0.00649
 368.08503 -0.00217
 368.10568  0.00259
 368.12636  0.00475
 368.14700 -0.00043
 368.16765 -0.00302
 368.18833 -0.00259
 368.20898  0.00043
 368.22966 -0.00129
 368.25031  0.00043
 368.27099  0.00215
 368.29164 -0.00086
 368.31228  0.00472
 368.33296  0.00086
 368.35361 -0.00086
 368.37426  0.00043
 368.39493 -0.00172
 368.41558  0.00215
 368.43626 -0.00129
 368.45691 -0.00472
 368.47755 -0.00129
 368.49823 -0.00300
 368.51888  0.00257
 368.53953 -0.00555
 368.56017  0.00086
 368.58086 -0.00214
 368.60151  0.00897
 368.62216  0.00640
 368.64283  0.00853
 368.66348 -0.00043
 368.68413  0.00213
 368.70478  0.00341
 368.72545 -0.00256
 368.74610  0.00597
 368.76675  0.00000
 368.78740  0.00552
 368.80807 -0.00425
 368.82872  0.00806
 368.84937  0.00085
 368.87002  0.00594
 368.89066  0.00426
 368.91134 -0.00043
 368.93199  0.00510
 368.95264 -0.00255
 368.97328  0.00170
 368.99394  0.00723
 369.01459 -0.00340
 369.03524  0.00510
 369.05591  0.00425
 369.07656 -0.00085
 369.09721 -0.00042
 369.11786  0.00085
 369.13850  0.00170
 369.15915 -0.00085
 369.17980  0.00127
