# wl center%tx left%tx right%tx top%tx bottom%tx
 379.09194 -0.00082  0.00356  0.00137  0.00164  0.00274
 379.10076  0.00213  0.00156  0.00298  0.00298 -0.00071
 379.10962  0.00534  0.00056  0.00338  0.00563  0.00338
 379.11847  0.00183  0.00183  0.00408  0.00070  0.00183
 379.12730  0.00324 -0.00127  0.00212 -0.00268  0.00099
 379.13615  0.00435  0.00211  0.00548  0.00351  0.00407
 379.14501  0.00000  0.00341 -0.00199  0.00256  0.00227
 379.15383  0.00255 -0.00142  0.00000 -0.00057 -0.00142
 379.16269 -0.00070 -0.00070 -0.00014  0.00042 -0.00183
 379.17154  0.00450  0.00000  0.00253  0.00225 -0.00084
 379.18036  0.00339  0.00565  0.00311  0.00311  0.00198
 379.18922 -0.00255  0.00226  0.00113 -0.00226  0.00141
 379.19807  0.00256  0.00227  0.00142  0.00170  0.00170
 379.20690 -0.00085 -0.00085  0.00000  0.00141  0.00028
 379.21575 -0.00341 -0.00227 -0.00028  0.00142  0.00057
 379.22461  0.00655  0.00484  0.00256  0.00398  0.00398
 379.23343  0.00439  0.00184  0.00383  0.00553  0.00156
 379.24229  0.00168  0.00280  0.00477  0.00252  0.00196
 379.25111  0.00028 -0.00196  0.00112 -0.00364 -0.00336
 379.25997  0.00225  0.00253  0.00450  0.00562  0.00225
 379.26879  0.00198 -0.00028  0.00282  0.00056  0.00169
 379.27765  0.00170 -0.00057 -0.00142  0.00341  0.00170
 379.28650  0.00669  0.00385  0.00498  0.00527  0.00071
 379.29532 -0.00100  0.00185  0.00185  0.00128 -0.00270
 379.30418  0.00315  0.00286  0.00200 -0.00114  0.00258
 379.31300  0.00186 -0.00072  0.00215  0.00387  0.00244
 379.32186  0.00142  0.00313 -0.00057  0.00456 -0.00142
 379.33068  0.00300  0.00300  0.00300  0.00157  0.00157
 379.33954  0.00314  0.00429  0.00314  0.00200  0.00200
 379.34836  0.00386  0.00072  0.00415  0.00358  0.00186
 379.35722  0.00329  0.00529  0.00415  0.00300 -0.00043
 379.36607  0.00302  0.00187 -0.00215  0.00445  0.00215
 379.37490  0.00387  0.00158  0.00587  0.00014  0.00358
 379.38375  0.00514  0.00228  0.00200  0.00457  0.00285
 379.39258  0.00259  0.00259  0.00374  0.00287  0.00316
 379.40143  0.00057  0.00287  0.00373  0.00316  0.00143
 379.41025  0.00417  0.00043  0.00503  0.00474  0.00561
 379.41911  0.00317  0.00115  0.00317  0.00000 -0.00029
 379.42793 -0.00058  0.00346  0.00433  0.00260 -0.00087
 379.43676  0.00086 -0.00086  0.00058  0.00316  0.00230
 379.44561  0.00405  0.00202  0.00260  0.00434  0.00173
 379.45444  0.00072  0.00302  0.00043  0.00359  0.00216
 379.46329 -0.00372  0.00172  0.00114  0.00114  0.00200
 379.47212  0.00057  0.00228  0.00512  0.00057  0.00142
 379.48097  0.00329  0.00557  0.00700  0.00443  0.00414
 379.48980  0.00143  0.00143 -0.00057  0.00344  0.00229
 379.49865 -0.00043  0.00130  0.00417  0.00446  0.00331
 379.50748  0.00215  0.00244  0.00388  0.00273 -0.00129
 379.51630  0.00515  0.00315  0.00515  0.00659  0.00086
 379.52515  0.00257 -0.00029  0.00057  0.00029  0.00228
 379.53398  0.00255 -0.00142 -0.00028  0.00000  0.00000
 379.54283 -0.00057  0.00028 -0.00028  0.00198  0.00028
 379.55166  0.00313  0.00341  0.00341  0.00227  0.00171
 379.56048  0.00368  0.00453  0.00340  0.00368  0.00227
 379.56934  0.00255  0.00085  0.00453  0.00227  0.00142
 379.57816 -0.00071 -0.00014  0.00128  0.00270  0.00270
 379.58702 -0.00071 -0.00043  0.00043  0.00270  0.00014
 379.59584 -0.00156  0.00014  0.00241  0.00298 -0.00298
 379.60467  0.00283  0.00255  0.00509  0.00509  0.00198
 379.61352  0.00521  0.00380  0.00239  0.00183  0.00239
 379.62235  0.00495  0.00212  0.00269  0.00212  0.00156
 379.63116  0.00441  0.00185  0.00128  0.00128  0.00071
 379.64002  0.00171  0.00199  0.00199  0.00313  0.00341
 379.64884  0.00099  0.00383  0.00241  0.00355  0.00383
 379.65766  0.00200 -0.00114  0.00228  0.00371  0.00228
 379.66652  0.00543  0.00171  0.00343  0.00200  0.00343
 379.67534  0.00214  0.00357  0.00414  0.00386  0.00357
 379.68417  0.00129  0.00014 -0.00014  0.00214 -0.00243
 379.69302  0.00259 -0.00115  0.00115  0.00144  0.00172
 379.70185 -0.00100  0.00273  0.00072 -0.00043 -0.00187
 379.71067  0.00543  0.00086  0.00171  0.00171 -0.00029
 379.71950 -0.00386 -0.00157 -0.00214  0.00071 -0.00014
 379.72835 -0.00085 -0.00028  0.00114  0.00085  0.00285
 379.73718  0.00314  0.00713  0.00456  0.00969  0.00485
 379.74600 -0.00184 -0.00128 -0.00071 -0.00128  0.00269
 379.75486  0.00754  0.00555  0.00128  0.00384  0.00299
 379.76368  0.00270  0.00242  0.00384  0.00498  0.00583
 379.77250  0.00085  0.00085  0.00057  0.00114 -0.00171
 379.78133  0.00726  0.00783  0.00555  0.00327  0.00327
 379.79018 -0.00457 -0.00086 -0.00029  0.00000  0.00114
 379.79901  0.00499  0.00043  0.00157  0.00071  0.00043
 379.80783  0.00172  0.00057  0.00431  0.00057  0.00259
 379.81666  0.00456  0.00513  0.00627  0.00456  0.00285
 379.82548  0.00229  0.00344  0.00086  0.00172  0.00000
 379.83434  0.00244  0.00388  0.00446  0.00532  0.00101
 379.84316  0.00245  0.00504  0.00447  0.00447  0.00389
 379.85199 -0.00029  0.00172  0.00574  0.00344  0.00086
 379.86081  0.00358  0.00043  0.00587  0.00129  0.00272
 379.86964  0.00288  0.00058  0.00375  0.00288  0.00260
 379.87849  0.00115  0.00805  0.00718  0.00287  0.00402
 379.88731  0.00215 -0.00100  0.00244  0.00100  0.00358
 379.89614  0.00433  0.00289  0.00087  0.00231  0.00000
 379.90496 -0.00014 -0.00072  0.00159  0.00101  0.00043
 379.91379  0.00374  0.00173  0.00202  0.00374  0.00288
 379.92261  0.00229  0.00172  0.00258  0.00000  0.00315
 379.93147  0.00071  0.00129  0.00329  0.00100  0.00300
 379.94028  0.00086  0.00229  0.00171  0.00029 -0.00086
 379.94911  0.00114 -0.00143  0.00258  0.00086  0.00200
 379.95793  0.00200  0.00200  0.00343  0.00229  0.00372
 379.96676 -0.00014  0.00359  0.00416  0.00445  0.00388
 379.97558  0.00230 -0.00029  0.00259  0.00259  0.00201
 379.98441  0.00402 -0.00287  0.00172  0.00229  0.00229
