# wl center%tx left%tx right%tx top%tx bottom%tx
 376.12430 -0.00270  0.00048 -0.00080 -0.00111  0.00000
 376.14492 -0.00033  0.00017  0.00017  0.00167  0.00100
 376.16554  0.00067  0.00167  0.00251 -0.00033 -0.00017
 376.18616  0.00000 -0.00218  0.00134 -0.00034 -0.00201
 376.20677 -0.00017 -0.00150 -0.00166 -0.00100 -0.00050
 376.22739 -0.00033 -0.00050 -0.00050  0.00149 -0.00050
 376.24804  0.00347  0.00364  0.00265  0.00198  0.00248
 376.26866  0.00050  0.00150  0.00167 -0.00017  0.00067
 376.28927  0.00151 -0.00084  0.00134  0.00117  0.00000
 376.30989  0.00117  0.00101 -0.00017  0.00017  0.00151
 376.33051 -0.00051 -0.00152  0.00000 -0.00118 -0.00152
 376.35113  0.00254  0.00136  0.00051 -0.00017  0.00102
 376.37175  0.00017  0.00051 -0.00017  0.00085 -0.00188
 376.39236  0.00102  0.00034  0.00017  0.00068  0.00068
 376.41298  0.00186  0.00186  0.00152  0.00169  0.00051
 376.43360  0.00135  0.00084  0.00186  0.00000 -0.00051
 376.45422  0.00101  0.00101  0.00068  0.00068  0.00068
 376.47483  0.00051  0.00017  0.00186 -0.00135  0.00034
 376.49545  0.00152  0.00236  0.00135  0.00017  0.00135
 376.51607  0.00254  0.00102  0.00203 -0.00034 -0.00068
 376.53669 -0.00034  0.00085  0.00237  0.00221  0.00102
 376.55731  0.00034 -0.00135 -0.00034 -0.00017 -0.00473
 376.57789  0.00084  0.00135  0.00101  0.00051  0.00118
 376.59851 -0.00186  0.00102  0.00118  0.00017 -0.00102
 376.61913  0.00085  0.00153  0.00323  0.00102  0.00085
 376.63975  0.00136  0.00170  0.00017  0.00102 -0.00017
 376.66036  0.00154 -0.00120 -0.00034 -0.00103 -0.00120
 376.68098  0.00137 -0.00137  0.00103 -0.00017 -0.00017
 376.70160  0.00000 -0.00068  0.00086 -0.00120  0.00034
 376.72222 -0.00068 -0.00034 -0.00205 -0.00017 -0.00392
 376.74284  0.00085 -0.00017 -0.00034  0.00136  0.00186
 376.76345 -0.00051  0.00304  0.00135  0.00135  0.00068
 376.78407 -0.00152  0.00051  0.00051 -0.00051  0.00101
 376.80466 -0.00017  0.00136 -0.00051  0.00034 -0.00068
 376.82528  0.00102  0.00085 -0.00136 -0.00085  0.00085
 376.84589 -0.00289 -0.00390 -0.00323 -0.00221 -0.00204
 376.86651 -0.02140 -0.02123 -0.02157 -0.01803 -0.02022
 376.88713  0.00017 -0.00101 -0.00084  0.00017 -0.00017
 376.90775  0.00000 -0.00017 -0.00050  0.00050  0.00117
 376.92834  0.00218  0.00251  0.00285  0.00218  0.00201
 376.94895 -0.00034  0.00101  0.00067  0.00017  0.00168
 376.96957  0.00017 -0.00084  0.00118 -0.00151 -0.00067
 376.99019 -0.00118 -0.00017 -0.00067  0.00034  0.00051
 377.01081  0.00218  0.00303  0.00185  0.00218  0.00017
 377.03139  0.00034 -0.00236 -0.00101 -0.00034  0.00000
 377.05201 -0.00017 -0.00067 -0.00151 -0.00050 -0.00101
 377.07263  0.00067  0.00117 -0.00017  0.00217 -0.00117
 377.09325  0.00100  0.00151  0.00017 -0.00100 -0.00117
 377.11384  0.00134 -0.00101 -0.00017 -0.00084 -0.00017
