Date and Time:                Mon Jan 30 18:00:41.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              262.5
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



240.76587	530
240.7872	521
240.80855	503
240.8299	501
240.85123	506
240.87257	501
240.89392	496
240.91525	515
240.9366	484
240.95793	495
240.97928	494
241.00063	523
241.02196	503
241.0433	503
241.06464	496
241.08598	501
241.10732	507
241.12866	496
241.14999	530
241.17134	495
241.19267	493
241.21402	499
241.23535	505
241.25668	487
241.27803	493
241.29936	504
241.32071	494
241.34204	487
241.36337	472
241.38472	472
241.40605	467
241.42738	481
241.44873	486
241.47006	494
241.49139	486
241.51274	498
241.53407	490
241.5554	495
241.57674	499
241.59808	505
241.61942	478
241.64075	497
241.66208	478
241.68341	479
241.70476	492
241.72609	492
241.74742	486
241.76875	467
241.79008	506
241.81142	476
241.83275	476
241.8541	478
241.87543	480
241.89676	496
241.91809	494
241.93942	492
241.96075	480
241.98209	527
242.00342	485
242.02475	471
242.04608	490
242.06741	478
242.08875	514
242.11008	472
242.13141	476
242.15274	463
242.17407	481
242.1954	480
242.21674	499
242.23805	483
242.25938	472
242.28072	474
242.30205	507
242.32338	467
242.34471	492
242.36604	496
242.38736	481
242.40869	470
242.43002	471
242.45135	484
242.47269	464
242.494	486
242.51534	464
242.53667	466
242.55798	470
242.57932	482
242.60065	473
242.62198	478
242.6433	474
242.66463	474
242.68596	476
242.70728	460
242.72861	457
242.74992	465
242.77126	467
242.79259	451
242.8139	486
242.83524	463
242.85655	459
242.87788	456
242.8992	464
242.92053	453
242.94185	460
242.96318	475
242.9845	453
243.00583	462
243.02715	457
243.04848	463
243.06979	483
243.09113	488
243.11244	452
243.13377	459
243.15509	453
243.17641	457
243.19774	463
243.21906	457
243.24037	458
243.2617	468
243.28302	452
243.30434	472
243.32567	440
243.34698	454
243.3683	457
243.38962	453
243.41095	452
243.43227	473
243.45358	457
243.4749	452
243.49623	456
243.51755	478
243.53886	456
243.56018	456
243.5815	445
