Date and Time:                Mon Jan 30 17:58:36.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.7
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              262.5
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



240.76587	304
240.7872	299
240.80855	304
240.8299	299
240.85123	298
240.87257	296
240.89392	301
240.91525	305
240.9366	299
240.95793	303
240.97928	302
241.00063	304
241.02196	300
241.0433	301
241.06464	304
241.08598	301
241.10732	299
241.12866	304
241.14999	303
241.17134	302
241.19267	301
241.21402	307
241.23535	301
241.25668	308
241.27803	304
241.29936	304
241.32071	304
241.34204	304
241.36337	303
241.38472	301
241.40605	301
241.42738	302
241.44873	301
241.47006	299
241.49139	306
241.51274	302
241.53407	304
241.5554	308
241.57674	304
241.59808	306
241.61942	297
241.64075	304
241.66208	301
241.68341	300
241.70476	308
241.72609	304
241.74742	308
241.76875	305
241.79008	301
241.81142	309
241.83275	306
241.8541	309
241.87543	303
241.89676	308
241.91809	300
241.93942	301
241.96075	302
241.98209	299
242.00342	300
242.02475	304
242.04608	301
242.06741	307
242.08875	305
242.11008	303
242.13141	297
242.15274	305
242.17407	302
242.1954	307
242.21674	296
242.23805	301
242.25938	308
242.28072	301
242.30205	296
242.32338	301
242.34471	300
242.36604	301
242.38736	300
242.40869	299
242.43002	299
242.45135	302
242.47269	305
242.494	301
242.51534	302
242.53667	299
242.55798	300
242.57932	308
242.60065	299
242.62198	300
242.6433	306
242.66463	301
242.68596	304
242.70728	301
242.72861	299
242.74992	300
242.77126	299
242.79259	296
242.8139	302
242.83524	305
242.85655	305
242.87788	301
242.8992	307
242.92053	306
242.94185	302
242.96318	298
242.9845	304
243.00583	301
243.02715	308
243.04848	302
243.06979	302
243.09113	303
243.11244	306
243.13377	304
243.15509	298
243.17641	296
243.19774	305
243.21906	299
243.24037	310
243.2617	294
243.28302	303
243.30434	301
243.32567	296
243.34698	304
243.3683	302
243.38962	302
243.41095	302
243.43227	301
243.45358	304
243.4749	305
243.49623	305
243.51755	303
243.53886	297
243.56018	306
243.5815	303
