Date and Time:                Mon Jan 30 17:52:32.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              262.5
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



240.76587	50093
240.7872	48711
240.80855	49320
240.8299	49620
240.85123	49848
240.87257	50015
240.89392	50150
240.91525	50239
240.9366	50312
240.95793	50351
240.97928	50370
241.00063	50331
241.02196	50250
241.0433	50115
241.06464	49890
241.08598	49488
241.10732	48749
241.12866	48081
241.14999	47740
241.17134	47402
241.19267	47222
241.21402	47001
241.23535	46415
241.25668	46370
241.27803	45948
241.29936	45773
241.32071	45839
241.34204	45276
241.36337	45146
241.38472	45079
241.40605	44786
241.42738	44682
241.44873	44541
241.47006	44341
241.49139	43869
241.51274	43913
241.53407	43632
241.5554	43480
241.57674	43308
241.59808	43403
241.61942	42708
241.64075	42535
241.66208	41994
241.68341	41683
241.70476	41450
241.72609	41540
241.74742	41360
241.76875	41180
241.79008	40975
241.81142	40820
241.83275	40438
241.8541	40177
241.87543	39844
241.89676	39955
241.91809	39929
241.93942	39648
241.96075	39316
241.98209	39076
242.00342	39127
242.02475	39179
242.04608	38799
242.06741	38385
242.08875	38270
242.11008	38158
242.13141	37779
242.15274	37592
242.17407	37387
242.1954	37142
242.21674	36511
242.23805	36087
242.25938	35914
242.28072	35638
242.30205	35484
242.32338	35194
242.34471	35200
242.36604	34898
242.38736	34549
242.40869	34266
242.43002	34143
242.45135	33889
242.47269	33865
242.494	33631
242.51534	33670
242.53667	33673
242.55798	33582
242.57932	33376
242.60065	33305
242.62198	33142
242.6433	32696
242.66463	32512
242.68596	32396
242.70728	32169
242.72861	31894
242.74992	31693
242.77126	31514
242.79259	31393
242.8139	31053
242.83524	30911
242.85655	30949
242.87788	30959
242.8992	30756
242.92053	30395
242.94185	30118
242.96318	30092
242.9845	29978
243.00583	30083
243.02715	29921
243.04848	29903
243.06979	29649
243.09113	29440
243.11244	29245
243.13377	28991
243.15509	28762
243.17641	28737
243.19774	28678
243.21906	28457
243.24037	28257
