Date and Time:                Mon Jan 30 17:52:07.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.7
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              262.5
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



240.76587	5274
240.7872	5020
240.80855	5035
240.8299	5046
240.85123	5016
240.87257	5060
240.89392	5109
240.91525	5101
240.9366	5075
240.95793	5063
240.97928	4996
241.00063	5018
241.02196	4994
241.0433	5052
241.06464	5034
241.08598	5050
241.10732	5037
241.12866	5069
241.14999	5098
241.17134	5118
241.19267	5077
241.21402	5084
241.23535	5112
241.25668	5130
241.27803	5113
241.29936	5104
241.32071	5118
241.34204	5130
241.36337	5156
241.38472	5146
241.40605	5168
241.42738	5182
241.44873	5222
241.47006	5203
241.49139	5214
241.51274	5225
241.53407	5222
241.5554	5284
241.57674	5267
241.59808	5293
241.61942	5278
241.64075	5216
241.66208	5240
241.68341	5218
241.70476	5215
241.72609	5284
241.74742	5309
241.76875	5298
241.79008	5285
241.81142	5328
241.83275	5345
241.8541	5318
241.87543	5374
241.89676	5320
241.91809	5378
241.93942	5338
241.96075	5380
241.98209	5388
242.00342	5430
242.02475	5427
242.04608	5417
242.06741	5430
242.08875	5390
242.11008	5431
242.13141	5420
242.15274	5437
242.17407	5436
242.1954	5416
242.21674	5365
242.23805	5351
242.25938	5361
242.28072	5376
242.30205	5372
242.32338	5369
242.34471	5389
242.36604	5372
242.38736	5358
242.40869	5391
242.43002	5370
242.45135	5385
242.47269	5383
242.494	5444
242.51534	5476
242.53667	5488
242.55798	5492
242.57932	5494
242.60065	5530
242.62198	5516
242.6433	5499
242.66463	5513
242.68596	5518
242.70728	5510
242.72861	5506
242.74992	5455
242.77126	5487
242.79259	5532
242.8139	5467
242.83524	5470
242.85655	5526
242.87788	5554
242.8992	5556
242.92053	5528
242.94185	5567
242.96318	5592
242.9845	5563
243.00583	5606
243.02715	5699
243.04848	5684
243.06979	5638
243.09113	5661
243.11244	5640
243.13377	5674
243.15509	5611
243.17641	5679
243.19774	5676
243.21906	5688
