Date and Time:                Mon Jan 30 17:45:28.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              305
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



283.48544	543
283.50656	521
283.52771	515
283.54883	507
283.56998	522
283.59109	507
283.61224	501
283.63336	518
283.65451	497
283.67563	511
283.69678	506
283.7179	530
283.73904	505
283.76016	509
283.78131	496
283.80243	507
283.82358	515
283.8447	495
283.86584	525
283.88696	502
283.90811	497
283.92923	506
283.95035	515
283.9715	507
283.99261	499
284.01376	507
284.03488	502
284.056	493
284.07715	483
284.09827	493
284.11942	483
284.14053	499
284.16165	499
284.1828	511
284.20392	506
284.22504	509
284.24619	505
284.2673	503
284.28842	513
284.30957	512
284.33069	499
284.35181	502
284.37296	486
284.39407	493
284.41519	500
284.43634	500
284.45746	485
284.47858	471
284.49969	506
284.52084	489
284.54196	487
284.56308	496
284.5842	486
284.60535	503
284.62646	501
284.64758	491
284.6687	500
284.68985	522
284.71097	492
284.73209	480
284.7532	505
284.77432	480
284.79547	520
284.81659	481
284.83771	488
284.85883	476
284.87994	491
284.90106	487
284.92221	499
284.94333	489
284.96445	479
284.98557	489
285.00668	511
285.0278	478
285.04892	491
285.07004	501
285.09116	492
285.1123	473
285.13342	478
285.15454	485
285.17566	474
285.19678	491
285.2179	477
285.23901	479
285.26013	470
285.28125	472
285.30237	469
285.32349	474
285.3446	473
285.36572	481
285.38684	478
285.40796	474
285.42908	474
285.4502	474
285.47131	469
285.49243	466
285.51355	493
285.53467	470
285.55579	474
285.5769	467
285.59802	477
285.61914	464
285.64026	468
285.66138	474
285.6825	457
285.70358	463
285.7247	473
285.74582	468
285.76694	482
285.78806	505
285.80917	459
285.83029	456
285.85141	456
285.87253	456
285.89362	467
285.91473	471
285.93585	458
285.95697	482
285.97809	467
285.99921	481
286.02029	453
286.04141	456
286.06253	467
286.08365	464
286.10477	463
286.12585	489
286.14697	460
286.16809	468
286.18921	458
286.2103	480
286.23141	463
286.25253	469
286.27365	441
286.29474	454
