Date and Time:                Mon Jan 30 17:38:53.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              305
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



283.48544	16525
283.50656	15809
283.52771	15788
283.54883	15750
283.56998	15872
283.59109	15968
283.61224	15889
283.63336	15876
283.65451	15822
283.67563	15839
283.69678	15715
283.7179	15509
283.73904	15515
283.76016	15620
283.78131	15672
283.80243	15588
283.82358	15682
283.8447	15636
283.86584	15797
283.88696	15788
283.90811	15714
283.92923	15775
283.95035	15745
283.9715	15738
283.99261	15694
284.01376	15622
284.03488	15630
284.056	15673
284.07715	15704
284.09827	15748
284.11942	15791
284.14053	15883
284.16165	15904
284.1828	15858
284.20392	15811
284.22504	15844
284.24619	15836
284.2673	15929
284.28842	15993
284.30957	15942
284.33069	15906
284.35181	15909
284.37296	15758
284.39407	15812
284.41519	15839
284.43634	16057
284.45746	16050
284.47858	16108
284.49969	16024
284.52084	15937
284.54196	15984
284.56308	16003
284.5842	15954
284.60535	16135
284.62646	16123
284.64758	16075
284.6687	16019
284.68985	16108
284.71097	16091
284.73209	16216
284.7532	16078
284.77432	16173
284.79547	16213
284.81659	16156
284.83771	16160
284.85883	16155
284.87994	16166
284.90106	16082
284.92221	15918
284.94333	15771
284.96445	15693
284.98557	15763
285.00668	15767
285.0278	15660
285.04892	15715
285.07004	15697
285.09116	15644
285.1123	15640
285.13342	15743
285.15454	15701
285.17566	15743
285.19678	15819
285.2179	15994
285.23901	15996
285.26013	16069
285.28125	16064
285.30237	16125
285.32349	16034
285.3446	15974
285.36572	15939
285.38684	15987
285.40796	16004
285.42908	15926
285.4502	15915
285.47131	15880
285.49243	15940
285.51355	15817
285.53467	15844
285.55579	15946
285.5769	16133
285.59802	16136
285.61914	16033
285.64026	16049
285.66138	16125
285.6825	16259
285.70358	16367
285.7247	16466
285.74582	16602
285.76694	16502
285.78806	16449
285.80917	16440
285.83029	16429
285.85141	16437
285.87253	16460
285.89362	16523
285.91473	16556
285.93585	16452
