Date and Time:                Mon Jan 30 17:26:52.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	315
203.10698	307
203.12848	317
203.14999	314
203.17151	307
203.19302	311
203.21452	309
203.23604	305
203.25755	310
203.27905	315
203.30057	309
203.32208	309
203.34358	309
203.3651	307
203.38661	309
203.40811	314
203.42963	311
203.45113	306
203.47264	312
203.49416	309
203.51566	310
203.53717	309
203.55867	305
203.58018	304
203.60168	308
203.6232	310
203.6447	306
203.66621	307
203.68771	304
203.70923	306
203.73073	311
203.75224	310
203.77374	306
203.79526	308
203.81676	301
203.83827	305
203.85977	307
203.88127	311
203.90279	310
203.92429	307
203.94579	312
203.9673	305
203.9888	305
204.01031	310
204.03181	307
204.05331	306
204.07481	312
204.09633	311
204.11783	313
204.13933	304
204.16084	312
204.18234	311
204.20384	313
204.22534	308
204.24684	313
204.26836	307
204.28986	311
204.31136	308
204.33286	310
204.35435	307
204.37587	310
204.39737	309
204.41887	308
204.44037	310
204.46187	313
204.48337	304
204.50487	312
204.52637	306
204.54787	302
204.56937	310
204.59087	315
204.61237	302
204.63387	307
204.65536	310
204.67688	306
204.69836	309
204.71986	310
204.74136	306
204.76286	313
204.78436	307
204.80586	304
204.82736	305
204.84886	306
204.87036	310
204.89186	305
204.91336	311
204.93486	304
204.95636	303
204.97784	308
204.99934	307
205.02084	309
205.04234	308
205.06384	306
205.08534	308
205.10683	309
205.12833	305
205.14983	309
205.17133	305
205.19281	301
205.21431	308
205.23581	311
205.25731	302
205.27879	306
205.30029	303
205.32179	301
205.34328	311
205.36478	311
205.38628	306
205.40776	309
205.42926	306
205.45074	310
205.47224	309
205.49374	306
205.51523	304
205.53673	301
205.55821	310
205.57971	303
205.6012	310
205.6227	309
205.6442	303
205.66568	308
205.68718	315
205.70866	309
205.73015	313
205.75165	310
205.77313	303
205.79463	309
205.81612	304
205.83762	309
205.8591	311
205.88058	311
205.90208	316
205.92357	308
