Date and Time:                Mon Jan 30 17:25:03.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	6263
203.10698	5986
203.12848	6031
203.14999	6013
203.17151	6047
203.19302	6113
203.21452	6191
203.23604	6188
203.25755	6195
203.27905	6202
203.30057	6208
203.32208	6226
203.34358	6220
203.3651	6284
203.38661	6296
203.40811	6321
203.42963	6359
203.45113	6408
203.47264	6455
203.49416	6485
203.51566	6504
203.53717	6560
203.55867	6578
203.58018	6577
203.60168	6641
203.6232	6683
203.6447	6737
203.66621	6800
203.68771	6806
203.70923	6875
203.73073	6875
203.75224	6949
203.77374	6969
203.79526	7012
203.81676	7023
203.83827	7104
203.85977	7150
203.88127	7191
203.90279	7257
203.92429	7323
203.94579	7264
203.9673	7342
203.9888	7309
204.01031	7340
204.03181	7380
204.05331	7410
204.07481	7470
204.09633	7500
204.11783	7596
204.13933	7599
204.16084	7666
204.18234	7662
204.20384	7727
204.22534	7742
204.24684	7796
204.26836	7849
204.28986	7881
204.31136	7933
204.33286	7943
204.35435	8040
204.37587	8076
204.39737	8065
204.41887	8173
204.44037	8137
204.46187	8179
204.48337	8269
204.50487	8262
204.52637	8266
204.54787	8283
204.56937	8287
204.59087	8312
204.61237	8412
204.63387	8472
204.65536	8512
204.67688	8545
204.69836	8535
204.71986	8527
204.74136	8590
204.76286	8654
204.78436	8694
204.80586	8751
204.82736	8762
204.84886	8831
204.87036	8881
204.89186	8954
204.91336	9001
204.93486	9094
204.95636	9113
204.97784	9115
204.99934	9187
205.02084	9209
205.04234	9181
205.06384	9293
205.08534	9313
205.10683	9392
205.12833	9480
205.14983	9512
205.17133	9517
205.19281	9628
205.21431	9695
205.23581	9698
205.25731	9721
205.27879	9781
205.30029	9871
205.32179	9909
205.34328	9971
205.36478	10032
205.38628	10137
205.40776	10136
205.42926	10121
205.45074	10135
205.47224	10168
205.49374	10272
205.51523	10304
205.53673	10412
205.55821	10395
205.57971	10416
