Date and Time:                Mon Jan 30 17:14:11.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	6159
203.10698	5920
203.12848	5931
203.14999	5957
203.17151	5979
203.19302	6050
203.21452	6068
203.23604	6121
203.25755	6122
203.27905	6130
203.30057	6164
203.32208	6125
203.34358	6133
203.3651	6192
203.38661	6216
203.40811	6262
203.42963	6324
203.45113	6338
203.47264	6383
203.49416	6438
203.51566	6424
203.53717	6470
203.55867	6540
203.58018	6511
203.60168	6593
203.6232	6600
203.6447	6672
203.66621	6724
203.68771	6716
203.70923	6799
203.73073	6867
203.75224	6892
203.77374	6887
203.79526	6944
203.81676	6970
203.83827	7001
203.85977	7043
203.88127	7112
203.90279	7176
203.92429	7229
203.94579	7258
203.9673	7236
203.9888	7253
204.01031	7242
204.03181	7346
204.05331	7381
204.07481	7390
204.09633	7426
204.11783	7511
204.13933	7501
204.16084	7580
204.18234	7615
204.20384	7680
204.22534	7695
204.24684	7731
204.26836	7803
204.28986	7777
204.31136	7857
204.33286	7888
204.35435	7985
204.37587	7954
204.39737	8020
204.41887	8068
204.44037	8045
204.46187	8138
204.48337	8135
204.50487	8126
204.52637	8181
204.54787	8209
204.56937	8199
204.59087	8244
204.61237	8299
204.63387	8376
204.65536	8369
204.67688	8425
204.69836	8454
204.71986	8505
204.74136	8494
204.76286	8553
204.78436	8569
204.80586	8605
204.82736	8716
204.84886	8700
204.87036	8754
204.89186	8796
204.91336	8937
204.93486	8986
204.95636	9009
204.97784	9020
204.99934	9038
205.02084	9122
205.04234	9164
205.06384	9167
205.08534	9225
205.10683	9269
205.12833	9379
205.14983	9387
205.17133	9400
205.19281	9516
205.21431	9567
205.23581	9597
205.25731	9561
205.27879	9673
205.30029	9751
205.32179	9762
205.34328	9825
205.36478	9932
205.38628	10045
205.40776	10020
205.42926	10021
205.45074	10038
205.47224	10103
205.49374	10084
205.51523	10140
205.53673	10286
205.55821	10342
205.57971	10344
