Date and Time:                Mon Jan 30 17:15:52.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	6277
203.10698	6021
203.12848	6065
203.14999	6049
203.17151	6055
203.19302	6132
203.21452	6159
203.23604	6197
203.25755	6225
203.27905	6197
203.30057	6253
203.32208	6199
203.34358	6219
203.3651	6303
203.38661	6331
203.40811	6363
203.42963	6443
203.45113	6434
203.47264	6494
203.49416	6473
203.51566	6543
203.53717	6631
203.55867	6672
203.58018	6661
203.60168	6717
203.6232	6754
203.6447	6808
203.66621	6886
203.68771	6893
203.70923	6900
203.73073	6962
203.75224	7037
203.77374	7025
203.79526	7076
203.81676	7110
203.83827	7167
203.85977	7251
203.88127	7279
203.90279	7323
203.92429	7391
203.94579	7388
203.9673	7434
203.9888	7414
204.01031	7428
204.03181	7483
204.05331	7522
204.07481	7566
204.09633	7621
204.11783	7677
204.13933	7725
204.16084	7728
204.18234	7755
204.20384	7791
204.22534	7905
204.24684	7941
204.26836	7933
204.28986	7992
204.31136	8059
204.33286	8129
204.35435	8152
204.37587	8167
204.39737	8178
204.41887	8226
204.44037	8300
204.46187	8292
204.48337	8373
204.50487	8410
204.52637	8371
204.54787	8408
204.56937	8358
204.59087	8452
204.61237	8549
204.63387	8634
204.65536	8663
204.67688	8636
204.69836	8714
204.71986	8712
204.74136	8767
204.76286	8773
204.78436	8832
204.80586	8877
204.82736	8917
204.84886	8949
204.87036	9026
204.89186	9083
204.91336	9143
204.93486	9242
204.95636	9281
204.97784	9352
204.99934	9305
205.02084	9378
205.04234	9370
205.06384	9456
205.08534	9512
205.10683	9563
205.12833	9673
205.14983	9667
205.17133	9699
205.19281	9768
205.21431	9871
205.23581	9915
205.25731	9925
205.27879	9991
205.30029	10087
205.32179	10086
205.34328	10232
205.36478	10250
205.38628	10344
205.40776	10317
205.42926	10354
205.45074	10364
205.47224	10371
205.49374	10393
205.51523	10480
205.53673	10653
205.55821	10620
205.57971	10703
