Date and Time:                Mon Jan 30 17:12:32.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	12158
203.10698	11566
203.12848	11637
203.14999	11602
203.17151	11637
203.19302	11719
203.21452	11782
203.23604	11701
203.25755	11698
203.27905	11660
203.30057	11614
203.32208	11581
203.34358	11511
203.3651	11594
203.38661	11651
203.40811	11704
203.42963	11731
203.45113	11719
203.47264	11814
203.49416	11820
203.51566	11840
203.53717	11852
203.55867	11846
203.58018	11878
203.60168	11875
203.6232	11866
203.6447	11920
203.66621	11966
203.68771	11990
203.70923	11944
203.73073	12019
203.75224	12027
203.77374	12056
203.79526	12020
203.81676	12051
203.83827	12023
203.85977	12095
203.88127	12084
203.90279	12195
203.92429	12164
203.94579	12150
203.9673	12148
203.9888	12106
204.01031	12079
204.03181	12103
204.05331	12194
204.07481	12224
204.09633	12242
204.11783	12246
204.13933	12192
204.16084	12232
204.18234	12231
204.20384	12273
204.22534	12306
204.24684	12234
204.26836	12273
204.28986	12339
204.31136	12306
204.33286	12326
204.35435	12415
204.37587	12352
204.39737	12330
204.41887	12364
204.44037	12407
204.46187	12351
204.48337	12342
204.50487	12259
204.52637	12306
204.54787	12254
204.56937	12226
204.59087	12238
204.61237	12342
204.63387	12320
204.65536	12366
204.67688	12347
204.69836	12331
204.71986	12266
204.74136	12261
204.76286	12277
204.78436	12320
204.80586	12393
204.82736	12375
204.84886	12365
204.87036	12355
204.89186	12346
204.91336	12436
204.93486	12523
204.95636	12463
204.97784	12447
204.99934	12466
205.02084	12491
205.04234	12421
205.06384	12443
205.08534	12469
205.10683	12547
205.12833	12559
205.14983	12556
205.17133	12540
205.19281	12573
205.21431	12662
205.23581	12632
205.25731	12615
205.27879	12591
205.30029	12583
205.32179	12621
205.34328	12684
205.36478	12769
205.38628	12786
205.40776	12707
205.42926	12604
205.45074	12664
205.47224	12703
205.49374	12667
205.51523	12708
205.53673	12798
205.55821	12731
